鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
信義區,房地(土地+建物)+車位,松德路１６９巷２６號四樓,23.31,住,,,1141103,土地1建物1車位1,四層,二十二層,住宅大樓(11層含以上有電梯),住家用,1140605.0,207.01,3,2,2,有,有,68000000,371394.0,坡道平面,33.34,3500000,,RPRNMLPJJIKGFDA57DA,94.96,13.26,9.36,有,,
大同區,房地(土地+建物)+車位,承德路三段１２２巷１２號二樓,12.42,住,,,1141106,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,1090824.0,69.28999999999999,1,2,1,有,有,17600000,237428.0,塔式車位,1.48,1500000,,RPPNMLQKJIKGFBA37DA,32.35,2.93,3.63,有,13.0,5.0
中山區,房地(土地+建物)+車位,通北街６５巷２０號七樓,33.55,住,,,1141103,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,870508.0,165.8,3,2,2,有,有,30680000,185042.0,坡道平面,0.0,0,陽台外推；,RPQNMLNKJIKGFCA27DA,86.74,2.61,10.71,有,21.0,27.0
南港區,房地(土地+建物)+車位,經貿二路２３５巷２０號六樓,19.08,住,,,1141102,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,1031002.0,113.75,2,2,1,有,有,35500000,330864.0,其他,12.5,2000000,陽台外推；,RPUOMLRJJIKGFDA18DA,60.71,1.66,7.02,有,22.0,11.0
北投區,房地(土地+建物),中山北路七段２１９巷３弄８７號六樓之１,15.6,住,,,1141101,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,730920.0,70.81,1,2,2,有,有,10500000,148284.0,,0.0,0,陽台外推；,RPTNMLPJJIKGFEA87DA,58.31,0.0,8.48,有,,41.0
士林區,房地(土地+建物),德行東路１０４巷５弄１２號四樓,28.56,住,,,1141101,土地6建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,710428.0,82.56,3,2,2,有,無,14000000,169574.0,,0.0,0,陽台外推；,RPPNMLTJJIKGFEA87DA,75.62,0.04,6.91,無,,44.0
大安區,房地(土地+建物),安和路二段２４號十樓,12.0,住,,,1141105,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,710514.0,96.51,2,2,2,有,有,37500000,388561.0,,0.0,0,陽台外推；,RPPNMLMKJIKGFFA37DA,75.44,0.0,16.0,有,,43.0
萬華區,房地(土地+建物),武成街４巷１８號二樓,25.5,住,,,1141109,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,601130.0,80.39,3,2,1,有,無,12000000,149272.0,,0.0,0,,RPPNMLNLJIKGFBA17DA,72.61,0.0,7.78,無,51.0,54.0
士林區,房地(土地+建物),大南路３２４號三樓,52.2,住,,,1141103,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,610816.0,73.6,3,1,1,有,無,15900000,216033.0,,0.0,0,頂樓加蓋；,RPVOMLRJJIKGFEA38DA,72.16,0.0,1.43,無,,53.0
大安區,房地(土地+建物)+車位,青田街６巷１８號七樓之６,17.94,住,,,1141112,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,1130111.0,126.74,2,1,2,有,有,52370000,413208.0,坡道平面,37.47,0,,RPTNMLOLJIKGFFA08DA,54.33,0.0,4.5,有,,2.0
中正區,房地(土地+建物),三元街２２９號七樓之１,21.9,住,,,1141105,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,691230.0,118.57,3,2,2,有,有,23800000,200725.0,,0.0,0,,RPTNMLRJJIKGFAA67DA,87.3,0.0,14.56,有,,45.0
