鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
士林區,房地(土地+建物),天玉街１號五樓,28.93,住,,,1131130,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,681020.0,130.96,4,2,2,有,有,28500000,217624.0,,0.0,0,陽台外推；其他增建；,RPWOMLNJKHKGFEA08DA,105.2,0.0,25.76,有,,45.0
內湖區,房地(土地+建物),文德路１０號五樓,22.69,住,,,1131111,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,731129.0,127.4,3,2,2,有,有,28300000,222135.0,,0.0,0,陽台外推；其他增建；,RPPNMLOLJHKGFCA27DA,98.19,0.0,12.23,有,,40.0
信義區,房地(土地+建物),虎林街２１２巷１７號四樓,38.5,住,,,1131126,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,581101.0,86.35,3,2,1,有,無,13600000,157499.0,,0.0,0,頂樓加蓋；,RPQNMLRLKHKGFDA87DA,75.13,0.0,11.22,無,,55.0
士林區,房地(土地+建物),福國路１５巷１５號三樓,24.5,住,,,1131118,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,621228.0,77.3,2,2,1,有,無,18800000,243208.0,,0.0,0,,RPUNMLPLJIJGFEA08DA,74.64,0.0,2.66,無,,51.0
北投區,房地(土地+建物)+車位,中央北路三段４０巷３４弄１６號二十樓之１,44.93,住,,,1131122,土地1建物1車位2,二十層,二十一層,住宅大樓(11層含以上有電梯),住家用,1010731.0,335.17,4,2,3,有,有,53880000,181541.0,坡道平面,65.92,5000000,,RPPNMLQLKHKGFEA77DA,159.98,0.0,25.35,有,,12.0
萬華區,房地(土地+建物)+車位,寶興街１４０巷７號四樓之２,12.49,住,,,1131123,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,1111216.0,94.79,1,1,1,有,有,16260000,228437.0,坡道平面,35.43,2700000,,RPUNMLNKKHKGFBA57DA,34.27,2.06,3.53,有,,2.0
中山區,房地(土地+建物)+車位,建國北路二段２２２號八樓之１,17.32,住,,,1131129,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,990924.0,197.19,3,2,2,有,有,49000000,299635.0,坡道平面,43.68,3000000,,RPTNMLKMKIJGFCA47DA,91.13,7.21,4.85,有,,14.0
大安區,房地(土地+建物),新生南路一段１４３巷１６之６號,46.75,住,,,1131115,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,600615.0,125.02,4,2,2,有,無,38500000,307951.0,,0.0,0,頂樓加蓋；其他增建；,RPPNMLRKJHKGFFA77DA,125.02,0.0,0.0,無,,53.0
大安區,房地(土地+建物),通化街１７１巷１９號五樓,22.99,住,,,1131110,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,730414.0,112.61,3,2,2,有,無,28800000,255750.0,,0.0,0,陽台外推；,RPUNMLQLKHKGFFA38DA,91.47,0.0,8.61,有,,41.0
大安區,房地(土地+建物)+車位,羅斯福路三段２８３巷７弄８號六樓,38.34,住,,,1131127,土地1建物1車位1,六層，七層,七層,華廈(10層含以下有電梯),住家用,960716.0,213.46,3,2,2,有,無,64580000,302539.0,其他,25.65,0,,RPQNMLOJLHKGFFA77EA,63.97,17.82,29.41,有,,17.0
信義區,房地(土地+建物),忠孝東路五段５２４巷３弄７號五樓,28.6,住,,,1131123,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,681003.0,100.38,3,2,2,有,無,22500000,224148.0,,0.0,0,其他增建；,RPRNMLPLKIJGFDA77DA,86.3,0.0,14.08,無,,45.0
士林區,房地(土地+建物),磺溪街５５巷９號四樓,27.02,住,,,1131129,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,710920.0,129.26,3,2,2,有,無,27800000,215070.0,,0.0,0,,RPOOMLOJLHKGFEA47DA,111.14,0.0,18.12,無,,42.0
大安區,建物,杭州南路二段６１巷３８號八樓,0.0,,,,1131111,土地0建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,1130301.0,52.87,0,0,0,無,有,16980000,321165.0,,0.0,0,建物坐落地號：金華段四小段130地號；地上權房屋；,RPRNMLOLJHKGFFA77DA,31.07,0.0,2.51,有,,1.0
大安區,房地(土地+建物),安和路一段８０號十樓,22.05,住,,,1131127,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,660423.0,197.38,4,2,2,有,有,62100000,314622.0,,0.0,0,其他增建；,RPWNMLKKKHKGFFA87DA,157.58,0.0,26.22,有,,48.0
中山區,房地(土地+建物)+車位,基湖路１５７巷８號二樓,185.57,住,,,1131109,土地1建物1車位2,二層,十一層,住宅大樓(11層含以上有電梯),住家用,920221.0,520.9399999999999,1,2,2,有,有,101000000,224432.0,坡道平面,106.56,8000000,其他增建；,RPRNMLQJJHKGFCA47DA,260.78,0.0,24.93,有,,22.0
內湖區,房地(土地+建物),安康路３３６巷３號三樓,28.0,住,,,1131118,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,700213.0,108.62,3,2,1,有,無,19280000,177500.0,,0.0,0,其他增建；,RPTOMLOKJHKGFCA67DA,91.47,0.0,17.15,無,,44.0
中山區,房地(土地+建物)+車位,明水路３９７巷２弄２４號八樓,42.16,住,,,1131109,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,840608.0,193.02,3,2,2,有,有,52880000,273961.0,坡道平面,39.98,0,陽台外推；其他增建；,RPXNMLKLJHKGFCA67DA,99.51,13.79,12.52,有,,29.0
松山區,房地(土地+建物),南京東路五段１５４號十一樓之１,8.89,住,,,1131119,土地2建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,731106.0,117.44,3,2,2,有,有,27520000,234332.0,,0.0,0,,RPRNMLOJLHKGFDA57DA,83.56,0.0,15.34,有,,40.0
士林區,房地(土地+建物),延平北路五段２１３巷２３號,35.53,住,,,1131115,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,610905.0,89.75,3,2,1,有,有,15200000,169359.0,,0.0,0,由買方負擔增值稅,RPVNMLPJLHKGFEA18DA,89.75,0.0,0.0,無,,52.0
萬華區,房地(土地+建物),長泰街５９巷１５之１號三樓,22.5,住,,,1131013,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,660308.0,64.4,2,1,1,有,無,9100000,141304.0,,0.0,0,陽台外推；其他增建；,RPRNMLPJJIJGFBA27DA,54.69,0.0,9.71,無,,48.0
信義區,房地(土地+建物),信義路五段１５０巷４９９號九樓之４,30.87,住,,,1131012,土地1建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,851209.0,150.68,3,2,2,有,有,29000000,192461.0,,0.0,0,陽台外推；其他增建；,RPUNMLTLJIJGFDA38DA,87.1,5.57,11.71,有,,28.0
信義區,房地(土地+建物),永吉路２２５巷１弄１３號,66.0,住,,,1131017,土地2建物1車位0,全,二層,透天厝,住家用,,50.86,4,2,2,有,無,31000000,609516.0,,0.0,0,頂樓加蓋；,RPUNMLPJKIJGFDA87DA,50.86,0.0,0.0,無,,
松山區,房地(土地+建物)+車位,光復南路４６巷３６號十三樓之１,29.95,住,,,1131020,土地1建物1車位1,十三層,二十二層,住宅大樓(11層含以上有電梯),住家用,1100203.0,208.65,2,2,2,有,有,69800000,334532.0,坡道平面,42.99,0,,RPRNMLTJKIJGFDA97DA,97.02,3.07,12.13,有,,4.0
士林區,房地(土地+建物)+車位,中山北路六段４４１巷３０號六樓之２,43.5,住,,,1131023,土地1建物1車位3,六層,十七層,住宅大樓(11層含以上有電梯),住家用,1130306.0,336.69000000000005,0,0,0,無,有,99380000,384163.0,坡道平面,105.33,10500000,毛胚屋；,RPQNMLTKJIJGFEA97DA,131.57,7.1,11.93,有,,1.0
北投區,房地(土地+建物)+車位,溫泉路６８巷６弄８號十一樓之１,25.57,住,,,1131015,土地1建物1車位2,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,1051109.0,192.16,2,1,2,有,有,31470000,218368.0,坡道平面,73.7,5600000,,RPQNMLTJKIJGFEA08EA,67.04,3.97,6.44,有,,8.0
萬華區,房地(土地+建物),西昌街５９號五樓之３,6.4,住,,,1131028,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,871228.0,50.93,3,1,1,有,有,12500000,245435.0,,0.0,0,陽台外推；夾層；其他增建；,RPUNMLPKJIJGFBA67DA,28.36,11.12,3.71,有,,26.0
內湖區,房地(土地+建物),康寧路三段９９巷２５號四樓,24.35,住,,,1131018,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,731026.0,87.89,3,2,1,有,無,14500000,164979.0,,0.0,0,其他增建；,RPOOMLOKJIJGFCA17DA,71.96,0.0,9.21,無,,40.0
南港區,房地(土地+建物)+車位,研究院路二段６１巷１７號十樓之３,27.75,,,,1131017,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,1021230.0,209.5,2,2,2,有,有,40880000,195131.0,坡道平面,0.0,0,,RPOOMLMJKIJGFDA07DA,90.23,4.11,9.83,有,,11.0
大安區,房地(土地+建物),延吉街１６２號二樓之４,19.68,住,,,1131019,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,690205.0,103.27,3,2,1,有,有,26880000,260289.0,,0.0,0,陽台外推；,RPTNMLLKJIJGFFA57DA,66.23,0.0,15.53,有,,45.0
信義區,房地(土地+建物),虎林街１４１巷１５弄９號三樓,21.25,住,,,1131019,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,600816.0,56.53,2,1,1,有,無,12800000,226428.0,,0.0,0,陽台外推；其他增建；,RPPNMLTJKIJGFDA87EA,52.25,0.0,4.28,無,,53.0
信義區,房地(土地+建物),忠孝東路五段５２４巷３弄１８號,26.0,住,,,1131022,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,681004.0,95.76,3,2,2,有,無,35000000,365497.0,,0.0,0,陽台外推；,RPPNMLKKKIJGFDA07EA,83.0,12.76,0.0,無,,45.0
中正區,房地(土地+建物),詔安街８８號六樓之２,23.53,住,,,1131012,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,1060218.0,95.58,2,2,1,有,有,27200000,284578.0,,0.0,0,陽台外推；其他增建；,RPQNMLNKIIJGFAA86DA,52.17,5.17,7.57,有,,8.0
萬華區,房地(土地+建物),國興路１巷５號九樓之１,27.05,住,,,1131024,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,710702.0,101.76,2,2,1,有,有,15818000,155444.0,,0.0,0,,RPXNMLLKKIJGFBA67DA,71.02,0.0,6.0,有,,42.0
內湖區,房地(土地+建物)+車位,內湖路一段９１巷８５號二樓,25.19,住,,,1131019,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,1130815.0,103.25,2,1,2,有,無,27000000,258692.0,其他,6.61,2000000,管委會尚未成立,RPVNMLTJKIJGFCA28DA,49.56,5.26,8.07,有,,
內湖區,房地(土地+建物)+車位,內湖路一段９１巷８１號七樓,19.43,住,,,1131009,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,1130815.0,81.15,2,1,1,有,無,22720000,277972.0,其他,6.61,2000000,管委會尚未成立,RPWNMLTJKIJGFCA38DA,42.59,2.48,3.44,有,,
中山區,房地(土地+建物),新生北路三段１９巷１３號七樓,26.5,住,,,1131021,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,710917.0,144.65,4,2,2,有,有,36680000,253578.0,,0.0,0,陽台外推；頂樓加蓋；,RPSNMLLKKIJGFCA27DA,109.46,0.0,18.82,有,,42.0
南港區,房地(土地+建物),成福路２６巷２弄２號,51.0,住,,,1131022,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,580107.0,62.42,2,2,1,有,無,14300000,229093.0,,0.0,0,,RPXNMLPLJIJGFDA28DA,62.42,0.0,0.0,無,,56.0
大安區,房地(土地+建物),安和路一段１４１巷５號五樓,37.4,住,,,1131013,土地5建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,730216.0,146.99,3,2,2,有,有,39900000,271447.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPPNMLNJJIJGFFA27DA,116.05,8.07,12.46,無,,41.0
大安區,房地(土地+建物)+車位,杭州南路二段９巷５號七樓,15.05,住,,,1131005,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,990624.0,103.32,1,2,1,有,有,31000000,324490.0,塔式車位,15.49,2500000,陽台外推；其他增建；,RPPNMLKLJIJGFFA17DA,33.67,11.23,4.15,有,,14.0
松山區,房地(土地+建物),復興北路３６１巷１８號七樓,22.02,住,,,1131028,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,740817.0,129.13,3,2,2,有,有,35500000,274917.0,,0.0,0,,RPPNMLLKKIJGFDA17EA,108.06,0.0,13.08,有,,39.0
士林區,房地(土地+建物),文昌路１６９巷１０號,39.5,住,,,1131025,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,621214.0,96.29,3,1,1,有,無,18000000,186935.0,,0.0,0,,RPQNMLLKKIJGFEA37EA,96.29,0.0,0.0,無,,51.0
文山區,房地(土地+建物),和興路４４巷１弄１０號二樓,34.12,住,,,1131013,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,720809.0,98.92,3,2,1,有,無,14680000,148403.0,,0.0,0,陽台外推；其他增建；,RPTNMLLLJIJGFAA17DA,81.38,0.0,11.04,無,,41.0
中正區,房地(土地+建物),重慶南路三段４０號六樓,17.44,住,,,1131007,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,660730.0,104.69,3,2,2,有,無,22250000,212532.0,,0.0,0,,RPPNMLMKKIJGFAA86DA,83.65,0.0,11.26,有,,47.0
大同區,房地(土地+建物),庫倫街１３巷３弄１２號三樓,19.5,住,,,1131006,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,590530.0,59.16,1,1,1,有,無,10750000,181711.0,,0.0,0,防火巷增建其他增建；,RPVNMLSLJIJGFBA18DA,59.16,0.0,0.0,無,,54.0
中山區,房地(土地+建物)+車位,樂群二路１５４號三樓,47.09,住,,,1131006,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,890628.0,155.72,2,2,2,有,有,32000000,205497.0,坡道平面,0.0,0,陽台外推；其他增建；,RPSNMLQJIIJGFCA47DA,77.76,0.0,8.22,有,,24.0
內湖區,房地(土地+建物)+車位,文湖街２１巷１１６號五樓,22.45,住,,,1131020,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,970723.0,136.2,3,2,2,有,有,25600000,227362.0,坡道平面,34.6,2500000,其他增建；,RPUOMLNJKIJGFCA67DA,62.62,3.61,4.69,有,,16.0
內湖區,房地(土地+建物)+車位,星雲街１６８巷２３號七樓之１,20.21,住,,,1131019,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,841116.0,125.05,2,2,2,有,有,24000000,191923.0,坡道平面,0.0,2500000,陽台外推；其他增建；,RPTNMLLKKIJGFCA37DA,61.14,1.33,6.22,有,,29.0
信義區,房地(土地+建物),紫雲街２６號六樓,28.68,住,,,1131020,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,690616.0,130.42,3,2,2,有,無,18880000,144763.0,,0.0,0,,RPOOMLOJKIJGFDA27DA,115.0,0.0,11.47,有,,44.0
大安區,房地(土地+建物),泰順街２巷３８號三樓,40.36,住,,,1131013,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,721116.0,108.46,3,2,2,有,無,29500000,271990.0,,0.0,0,陽台外推；其他增建；,RPTNMLOLIIJGFFA87DA,99.21,0.0,9.25,無,,41.0
大安區,房地(土地+建物),泰順街４５號八樓之６,7.18,,,,1131006,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,870625.0,52.35,1,2,1,有,有,21000000,401146.0,,0.0,0,其他增建；,RPTOMLSJJIJGFFA28DA,31.77,0.0,4.23,有,,26.0
大安區,房地(土地+建物),和平東路三段１巷３６號八樓,16.07,住,,,1131028,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,740522.0,82.61,2,1,1,有,有,23000000,278417.0,,0.0,0,,RPSNMLLKKIJGFFA67EA,58.83,1.26,5.96,有,,39.0
