鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
北投區,房地(土地+建物)+車位,三合街一段３６巷７號三樓,42.71,住,,,1140811,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,1050311.0,257.9,2,2,2,有,有,61880000,239938.0,坡道平面,0.0,0,,RPQNMLLKQHKGFEA97EA,123.35,11.68,12.94,有,8.0,9.0
南港區,房地(土地+建物)+車位,向陽路１２０巷２弄２７號十樓,17.73,住,,,1140805,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,1131106.0,149.68,3,2,2,有,有,40000000,329915.0,坡道平面,37.53,3000000,,RPTOMLRJQHKGFDA68DA,73.59,3.72,6.24,有,,1.0
信義區,房地(土地+建物),吳興街３９４巷３７號三樓之１,17.93,住,,,1140802,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,1130710.0,72.09,2,1,1,有,有,19500000,270495.0,,0.0,0,1. 土地價格1189萬元 建物價格761萬元.,RPXNMLSJQHKGFDA09DA,38.35,1.21,3.52,有,,1.0
信義區,房地(土地+建物),吳興街６００巷７６弄６１號二樓,33.31,住,,,1140805,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,811023.0,146.16,0,0,0,無,有,19939999,136426.0,,0.0,0,無法入內，不清楚建物格局。地清或未辦繼承標售；,RPUQMLPKQHKGFDA88DA,116.2,0.37,13.56,有,,33.0
中正區,房地(土地+建物)+車位,丹陽街３３號三樓,25.59,住,,,1140812,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,1140526.0,170.56,2,2,1,有,有,65970000,476648.0,坡道平面,38.45,3000000,,RPSNMLTKQHKGFBA58DA,78.7,0.0,5.78,有,,
內湖區,房地(土地+建物),陽光街８２之３號五樓,40.4,住,,,1140802,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,830317.0,122.71,3,2,2,有,無,28400000,231440.0,,0.0,0,陽台外推；,RPRNMLQKQHKGFCA28DA,74.03,15.7,9.53,有,,31.0
北投區,房地(土地+建物)+車位,大同街３０號六樓,21.19,住,,,1140804,土地1建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,1130621.0,152.73000000000002,2,2,2,有,有,39000000,302828.0,坡道平面,33.19,2800000,,RPRNMLSKQHKGFEA68DA,68.99,4.76,5.45,有,,1.0
文山區,房地(土地+建物),育英街５９之２號四樓,33.0,住,,,1140802,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,651127.0,90.02,3,2,1,有,無,9440000,104866.0,,0.0,0,含土地增值稅或其他稅費；含地政士服務費；,RPPNMLMJQHKGFAA37DA,82.46,0.0,7.56,無,,49.0
內湖區,房地(土地+建物)+車位,南京東路六段７０號四樓,34.52,住,,,1140809,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,1090612.0,219.57,3,2,2,有,有,46180000,210320.0,坡道平面,33.13,0,,RPTPMLSKQHKGFCA88DA,107.96,7.76,9.92,有,48.0,5.0
信義區,房地(土地+建物),吳興街２８４巷２２弄２６號三樓,30.0,住,,,1140807,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,620625.0,63.56,2,2,1,有,無,13500000,212398.0,,0.0,0,陽台外推；,RPSOMLTKQHKGFDA88DA,63.56,0.0,0.0,無,,52.0
文山區,房地(土地+建物),辛亥路四段１０１巷２６號四樓,17.1,住,,,1140805,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,871003.0,54.41,1,1,1,有,無,8220000,151075.0,,0.0,0,陽台外推；,RPQNMLLLQHKGFAA57DA,35.4,1.56,4.83,無,55.0,27.0
中正區,房地(土地+建物)+車位,金山南路一段５９號四樓,33.06,住,,,1140802,土地4建物1車位2,四層,十九層,住宅大樓(11層含以上有電梯),住家用,1120606.0,343.95,3,2,3,有,有,129680000,456407.0,坡道平面,73.84,6400000,,RPSNMLLJQHKGFBA67DA,154.06,8.54,10.19,有,,2.0
松山區,房地(土地+建物),敦化南路一段１００巷２５號三樓,27.89,住,,,1140804,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,700730.0,147.31,3,2,2,有,無,47000000,319055.0,,0.0,0,,RPSNMLPJQHKGFDA28DA,121.76,5.18,15.28,有,,44.0
信義區,房地(土地+建物)+車位,忠孝東路五段７１巷１２弄８號五樓之６,11.88,住,,,1140804,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,980810.0,76.84,1,1,1,有,有,20100000,261583.0,升降機械,26.16,0,陽台外推；其他增建；,RPRNMLMKQHKGFDA97DA,24.81,5.76,2.42,有,56.0,16.0
士林區,房地(土地+建物),文林路５８７巷９弄４號三樓,27.0,住,,,1140813,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,590703.0,95.29,3,2,1,有,無,19880000,208626.0,,0.0,0,其他增建；,RPSPMLPKQHKGFEA68DA,95.29,0.0,0.0,無,,55.0
內湖區,房地(土地+建物),康寧路一段２１８巷２弄４號二樓,32.67,住,,,1140806,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,690508.0,91.32,3,2,1,有,無,18000000,197109.0,,0.0,0,,RPTNMLLKQHKGFCA97DA,78.31,0.0,13.01,無,,45.0
士林區,房地(土地+建物),天母東路１０５巷９弄６號十二樓,15.45,,,,1140815,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,1130522.0,93.06,2,2,2,有,有,27985898,300730.0,,0.0,0,政府機關標讓售；,RPQNMLMLQHKGFEA18EA,58.48,0.0,5.25,有,,1.0
中山區,房地(土地+建物),錦州街４３１號四樓,39.25,住,,,1140804,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,580118.0,112.06,3,2,2,有,無,23660000,211137.0,,0.0,0,陽台外推；,RPWQMLSJQHKGFCA56DA,96.74,0.0,15.32,無,,57.0
北投區,房地(土地+建物),幽雅路７號四樓之１６,7.88,,,,1140804,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,980205.0,48.8,1,1,1,有,有,6500000,133197.0,,0.0,0,陽台外推；,RPPNMLSJQHKGFEA38DA,24.92,1.13,4.76,有,92.0,16.0
松山區,房地(土地+建物)+車位,健康路３２５巷１８弄１４號二樓,45.93,住,,,1140803,土地1建物1車位1,二層,五層,公寓(5樓含以下無電梯),住家用,750902.0,162.76,4,2,2,有,無,36380000,247186.0,坡道平面,27.72,3000000,其他增建；,RPVOMLLKQHKGFDA38DA,135.78,0.0,14.16,無,,39.0
士林區,房地(土地+建物),葫蘆街１２號,66.0,住,,,1140811,土地2建物1車位0,全,二層,透天厝,住家用,500405.0,108.16,3,3,3,有,無,24000000,221893.0,,0.0,0,頂樓加蓋；其他增建；,RPPNMLOLQHKGFEA18DA,108.16,0.0,0.0,無,,64.0
信義區,房地(土地+建物)+車位,忠孝東路四段５５５號二十九樓,35.32,住,,,1140813,土地2建物1車位2,二十九層,三十層,住宅大樓(11層含以上有電梯),住家用,1070920.0,413.7,4,2,5,有,有,255800000,725973.0,坡道平面,75.12,10000000,,RPRNMLSKQHKGFDA58DA,208.15,5.83,29.08,有,151.0,7.0
大安區,房地(土地+建物),忠孝東路四段２１６巷３１號三樓之１,35.52,住,,,1140805,土地1建物1車位0,三層，陽臺,七層,華廈(10層含以下有電梯),住家用,650206.0,193.77,4,2,2,有,有,58130000,299995.0,,0.0,0,陽台外推；其他增建；,RPRNMLPKQHKGFFA48DA,177.02,0.0,0.0,有,154.0,49.0
萬華區,房地(土地+建物),東園街２８巷５０號三樓之７,12.91,住,,,1140805,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,810921.0,74.41,2,1,1,有,有,11000000,147830.0,,0.0,0,,RPWNMLTLQHKGFBA09DA,43.72,0.0,7.21,有,,33.0
大安區,房地(土地+建物),敦化南路一段１７７巷２２號三樓,25.0,住,,,1140813,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,700610.0,92.06,2,2,2,有,無,24000000,260700.0,,0.0,0,,RPPNMLLJRHKGFFA97EA,76.71,0.0,15.35,無,,44.0
中正區,房地(土地+建物),廈門街１２３巷７９號二樓,24.8,住,,,1140810,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,750520.0,94.06,3,2,2,有,無,19600000,208378.0,,0.0,0,陽台外推；其他增建；,RPTNMLTKQHKGFAA58DA,77.96,0.0,8.04,無,,39.0
大安區,房地(土地+建物),忠孝東路四段２１６巷１９弄６號二樓,29.89,住,,,1140822,土地1建物1車位0,二層，陽臺,七層,華廈(10層含以下有電梯),住家用,651231.0,126.32,2,2,2,有,有,34000000,269158.0,,0.0,0,買方王OO另外支付賣方土地增值稅新台幣4861180元整,RPQNMLMJRHKGFFA18EA,126.32,0.0,0.0,有,,49.0
大安區,房地(土地+建物),新生南路三段１１巷２號三樓,37.7,住,,,1140810,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,730824.0,130.92,3,2,2,有,無,36200000,276505.0,,0.0,0,陽台外推；,RPPNMLLLQHKGFFA97DA,114.88,0.0,12.72,無,,41.0
士林區,房地(土地+建物),通河街３２３巷４５之３號,11.71,住,,,1140825,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,591210.0,29.48,1,0,1,有,無,4500000,152646.0,,0.0,0,其他增建；,RPPNMLMJRHKGFEA97EA,26.28,1.85,1.35,無,,55.0
文山區,房地(土地+建物),萬壽路６２之７號五樓,26.01,住,,,1140803,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,961023.0,54.01,1,0,1,有,有,8800000,162933.0,,0.0,0,其他增建；,RPRNMLOKQHKGFAA87DA,27.44,5.81,1.76,有,210.0,18.0
南港區,房地(土地+建物)+車位,向陽路１９６巷４０號六樓,55.77,住,,,1140817,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,980514.0,212.45,3,2,2,有,有,47080000,261191.0,坡道平面,41.77,2500000,,RPRNMLQLQHKGFDA48DA,100.58,5.03,11.53,有,,16.0
大安區,房地(土地+建物),仁愛路四段３４５巷２弄７號,30.29,住,,,1140818,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,611014.0,126.5,3,3,2,有,有,68000000,537549.0,,0.0,0,陽台外推；其他增建；,RPRNMLMJRHKGFFA18DA,124.75,0.0,1.75,有,223.0,53.0
北投區,房地(土地+建物),永興路二段３３巷１２弄１５號三樓,34.56,住,,,1140827,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,660203.0,88.21,3,2,1,有,無,10800000,122435.0,,0.0,0,,RPSNMLNJRHKGFEA38EA,76.96,0.0,11.25,無,,49.0
文山區,房地(土地+建物),興隆路三段１８５巷１１弄１９號四樓,28.34,住,,,1140802,土地7建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,720823.0,93.72,3,2,1,有,有,8880000,94750.0,,0.0,0,其他增建；,RPWNMLOJRHKGFAA38DA,62.31,0.0,23.39,無,,42.0
信義區,房地(土地+建物),松山路５９８號,31.0,住,,,1140817,土地1建物1車位0,一層，平台，騎樓,四層,公寓(5樓含以下無電梯),住家用,610717.0,83.95,1,1,1,有,無,33500000,399047.0,,0.0,0,其他增建；含租約；,RPPNMLLMQHKGFDA87DA,83.95,0.0,0.0,無,,53.0
