鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
文山區,房地(土地+建物),保儀路１６５號二樓,29.31,住,,,1140502,土地5建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,670420.0,115.28,3,2,2,有,無,12500000,108432.0,,0.0,0,陽台外推；,RPWNMLPJNHKGFAA08DA,111.68,0.0,3.6,無,,47.0
士林區,房地(土地+建物),德行東路１０４巷９弄８號三樓,20.27,住,,,1140505,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,710428.0,51.27,3,2,2,有,無,7950000,155061.0,,0.0,0,,RPQOMLOKNHKGFEA97DA,46.4,0.0,4.88,無,15.0,43.0
文山區,房地(土地+建物),興隆路三段２２１巷８弄８號五樓,51.38,住,,,1140503,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,690910.0,87.32,3,2,1,有,有,10750000,123110.0,,0.0,0,頂樓加蓋；,RPQNMLKLNHKGFAA17DA,74.58,6.51,6.23,無,,45.0
內湖區,房地(土地+建物),內湖路一段９１巷１６０號三樓,10.87,住,,,1140502,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,1130801.0,40.22,1,1,1,有,有,11480000,285430.0,,0.0,0,,RPSOMLPKNHKGFCA08DA,21.68,0.0,2.92,有,,1.0
大安區,房地(土地+建物),永康街１７巷２８號三樓之１,26.71,住,,,1140502,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,720209.0,83.91,3,1,2,有,無,25000000,297938.0,,0.0,0,,RPVNMLOKNHKGFFA48DA,71.4,0.0,3.17,無,,42.0
士林區,房地(土地+建物)+車位,德行東路２５８號十三樓之１,20.03,住,,,1140501,土地1建物2車位2,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,1110706.0,201.84,3,2,2,有,有,51300000,337858.0,坡道平面,64.8,5000000,,RPRNMLOKNHKGFEA97DA,79.8,7.13,6.04,有,35.0,3.0
中正區,房地(土地+建物),愛國東路１１６巷５號四樓之１,25.28,住,,,1140507,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,741022.0,143.96,3,2,2,有,有,51380000,356905.0,,0.0,0,其他增建；,RPTOMLTJNHKGFAA28DA,88.05,0.0,8.23,有,,40.0
內湖區,房地(土地+建物),內湖路一段９１巷１５８號三樓,10.87,住,,,1140501,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,1130801.0,40.22,1,1,1,有,有,11480000,285430.0,,0.0,0,,RPRNMLLLNHKGFCA67EA,21.68,0.0,2.92,有,,1.0
大安區,房地(土地+建物),安和路１４９號四樓之１,20.4,住,,,1140509,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,691016.0,189.42,2,1,2,有,有,62600000,330483.0,,0.0,0,,RPQNMLMLNHKGFFA97EA,140.71,0.0,16.58,有,,45.0
文山區,房地(土地+建物)+車位,興隆路三段１３７號十樓之５,7.66,住,,,1140512,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),住家用,970523.0,51.209999999999994,1,1,1,有,有,12000000,303030.0,坡道機械,14.9,1000000,,RPSNMLRLNHKGFAA08DA,17.89,5.41,0.0,有,94.0,17.0
