鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
內湖區,房地(土地+建物),內湖路一段１巷３弄９號五樓,27.18,住,,,1140203,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,690126.0,95.04,3,2,1,有,無,20125000,211753.0,,0.0,0,,RPPNMLLKKHKGFCA96DA,86.2,0.0,8.84,無,,45.0
中山區,房地(土地+建物),新生北路二段７３號七樓之２,3.78,住,,,1140205,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,680301.0,17.8,0,0,0,無,有,5200000,292135.0,,0.0,0,陽台外推；,RPQNMLQJKHKGFCA47DA,12.36,0.0,2.15,有,,46.0
內湖區,房地(土地+建物)+車位,成功路四段１７８號十八樓之３,20.57,,,,1140205,土地1建物1車位2,十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,1070223.0,308.54999999999995,3,2,2,有,有,87330000,328860.0,坡道平面,58.2,5000000,,RPQNMLRKKHKGFCA67DA,145.14,6.71,18.1,有,,7.0
士林區,房地(土地+建物),承德路四段６巷５３號四樓,4.83,住,,,1140203,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,560721.0,13.22,3,2,1,有,無,1332222,100773.0,,0.0,0,本案不動產登記有他項權利抵押權由得標人繼受該他項權利負擔。地清或未辦繼承標售；,RPVNMLTKKHKGFEA68EA,13.22,0.0,0.0,無,,58.0
中山區,房地(土地+建物),松江路７７巷１０號六樓,47.57,住,,,1140210,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,650913.0,256.44,3,2,2,有,無,66000000,257370.0,,0.0,0,,RPPNMLSKKHKGFCA77EA,193.1,24.7,38.64,有,,48.0
萬華區,房地(土地+建物),和平西路三段３８４號三樓之１８,3.83,住,,,1140207,土地2建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,700706.0,33.19,1,1,1,有,有,5450000,164206.0,,0.0,0,陽台外推；,RPVNMLSKKHKGFBA18DA,18.94,0.0,4.52,有,,44.0
中正區,房地(土地+建物)+車位,金山南路一段５９號十四樓,32.81,住,,,1140205,土地4建物1車位2,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,1120606.0,338.82,0,0,0,無,有,147000000,516509.0,坡道平面,70.48,8400000,毛胚屋；,RPXNMLOKKHKGFBA97DA,152.96,8.54,10.19,有,,2.0
北投區,房地(土地+建物),大度路三段２０５號六樓,15.04,住,,,1140210,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,791105.0,91.05,2,2,1,有,有,16800000,184534.0,,0.0,0,其他增建；,RPROMLLKKHKGFEA47DA,77.67,0.0,6.9,有,,34.0
內湖區,房地(土地+建物)+車位,星雲街１６８巷１１號,28.1,住,,,1140203,土地1建物1車位1,一層，地下一層,十六層,住宅大樓(11層含以上有電梯),住家用,841116.0,189.14,5,2,3,有,有,33000000,174474.0,坡道平面,0.0,0,,RPQNMLLLKHKGFCA27EA,117.38,10.57,0.0,有,,29.0
松山區,房地(土地+建物),市民大道五段３３之２號,2.98,住,,,1140208,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,640220.0,9.28,0,0,0,無,無,1350000,145474.0,,0.0,0,,RPQNMLOLKHKGFDA67EA,9.28,0.0,0.0,無,,50.0
