交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),連雲街７７號二樓,2.0,39.0,0,24.64,945555,0.0,,25.034407,121.530157,東門站出口6,57,無電梯_4樓以下
房地(土地+建物),青年路１０６巷３０弄２８號三樓,3.0,49.0,0,9.43,530114,0.0,,25.02304,121.502305,龍山寺站出口2,1366,無電梯_4樓以下
房地(土地+建物),內湖路三段６０巷１２弄１０號三樓,3.0,44.0,0,30.11,553954,0.0,,25.088109,121.59173,內湖站出口1,548,無電梯_4樓以下
房地(土地+建物),農安街７７巷９弄２２號二樓,2.0,56.0,0,14.65,682450,0.0,,25.066137,121.529122,中山國小站出口4,433,無電梯_4樓以下
房地(土地+建物),寶清街８９巷２５號三樓,3.0,52.0,0,22.3,745406,0.0,,25.052435,121.568814,南京三民站出口4,424,無電梯_4樓以下
房地(土地+建物),至善路二段１２１號,1.0,37.0,0,27.5,654540,0.0,,25.098657,121.54699,劍南路站出口1,1690,無電梯_4樓以下
房地(土地+建物),羅斯福路五段１７０巷１１號,1.0,46.0,0,30.22,916712,0.0,,25.00456,121.53768,萬隆站出口4,228,無電梯_4樓以下
房地(土地+建物),重慶北路四段１９０巷５弄５號,1.0,55.0,0,26.33,569767,0.0,,25.085048,121.512016,劍潭站出口2,1298,無電梯_4樓以下
房地(土地+建物),和平東路三段２９８號二樓,2.0,51.0,0,19.38,628966,0.0,,25.020585,121.556292,麟光站出口,325,無電梯_4樓以下
房地(土地+建物),和平東路三段３００號二樓,2.0,51.0,0,19.38,628966,0.0,,25.020565,121.556314,麟光站出口,321,無電梯_4樓以下
房地(土地+建物),重慶北路四段２４４號,3.0,54.0,0,28.54,455439,0.0,,25.08654,121.511331,劍潭站出口3,1395,無電梯_4樓以下
房地(土地+建物),重慶北路四段２４４號,2.0,54.0,0,28.54,455439,0.0,,25.08654,121.511331,劍潭站出口3,1395,無電梯_4樓以下
房地(土地+建物),安居街８４巷１４號二樓,2.0,47.0,0,28.67,662763,0.0,,25.019786,121.552487,六張犁站出口,453,無電梯_4樓以下
房地(土地+建物),天祥路４８巷５號,1.0,56.0,0,3.12,801309,0.0,,25.061858,121.520739,民權西路站出口4,88,無電梯_4樓以下
房地(土地+建物),景華街１２１巷１７弄３號三樓,3.0,48.0,0,30.48,610179,0.0,,24.996773,121.546009,景美站出口2,612,無電梯_4樓以下
房地(土地+建物),士東路８９巷１５之２號三樓,3.0,39.0,0,36.28,587120,0.0,,25.112775,121.528529,明德站出口1,1020,無電梯_4樓以下
房地(土地+建物),新生北路二段１４１巷２７號三、四樓,3.0,57.0,0,36.13,636634,0.0,,25.061682,121.528803,中山國小站出口3,192,無電梯_4樓以下
房地(土地+建物),福德街２２０號三樓,3.0,47.0,0,23.79,693522,0.0,,25.038459,121.584457,後山埤站出口2,639,無電梯_4樓以下
房地(土地+建物),潭美街１３１號三樓,3.0,42.0,0,42.38,448323,0.0,,25.053884,121.580388,松山站出口5,453,無電梯_4樓以下
房地(土地+建物),內湖路一段９１巷２９號,1.0,40.0,0,28.57,525006,0.0,,25.087002,121.562831,西湖站出口1,645,無電梯_4樓以下
房地(土地+建物),雙園街４０巷６號三樓,3.0,51.0,0,26.13,413367,0.0,,25.029567,121.494027,龍山寺站出口2,847,無電梯_4樓以下
房地(土地+建物),明德路１５０巷９號三樓,3.0,49.0,0,27.94,662160,0.0,,25.110516,121.521205,明德站出口1,247,無電梯_4樓以下
房地(土地+建物),延平北路五段２３１巷３６號二樓,2.0,51.0,0,22.82,482085,0.0,,25.08423,121.508539,劍潭站出口2,1636,無電梯_4樓以下
房地(土地+建物)+車位,康寧路三段１８９巷１５９弄２５號,1.0,35.0,0,68.74,603503,10.12,0.0,25.075296,121.611774,葫洲站出口1,485,無電梯_4樓以下
房地(土地+建物),光復南路５８巷３７號三樓,3.0,54.0,0,21.57,857744,0.0,,25.045463,121.554901,國父紀念館站出口1,440,無電梯_4樓以下
房地(土地+建物),民權東路二段１３５巷３０弄１３號三樓,3.0,43.0,0,31.14,686592,0.0,,25.064316,121.534489,行天宮站出口4,465,無電梯_4樓以下
房地(土地+建物),合江街１１６巷７號,1.0,56.0,0,22.28,959514,0.0,,25.059224,121.538773,行天宮站出口3,547,無電梯_4樓以下
房地(土地+建物),青田街６巷１３號三樓,3.0,42.0,0,24.09,1093629,0.0,,25.028235,121.531091,東門站出口5,614,無電梯_4樓以下
房地(土地+建物),興隆路一段７０巷１１弄２０號,1.0,47.0,0,27.81,819885,0.0,,25.001788,121.540492,萬隆站出口2,99,無電梯_4樓以下
房地(土地+建物),廈門街７１巷１２之４號,1.0,50.0,0,18.08,835159,0.0,,25.024753,121.518706,古亭站出口8,411,無電梯_4樓以下
房地(土地+建物),大湖山莊街２１９巷１６弄１３號,1.0,34.0,0,51.27,489559,0.0,,25.088777,121.599054,大湖公園站出口1,638,無電梯_4樓以下
房地(土地+建物),吳興街６００巷９８弄１５號二樓,2.0,32.0,0,22.29,603377,0.0,,25.017276,121.571377,麟光站出口,1295,無電梯_4樓以下
房地(土地+建物),中山北路六段４２７巷６弄１２號二樓,2.0,47.0,0,40.24,557178,0.0,,25.114571,121.52698,明德站出口2,974,無電梯_4樓以下
房地(土地+建物),同安街８０巷２７號三樓,3.0,57.0,0,33.94,695274,0.0,,25.022329,121.519226,古亭站出口2,545,無電梯_4樓以下
房地(土地+建物),興隆路二段２１７巷３號三樓,3.0,45.0,0,29.09,474367,0.0,,25.002018,121.549093,辛亥站出口,870,無電梯_4樓以下
房地(土地+建物),玉成街２３５巷３號三樓,3.0,46.0,0,27.78,701981,0.0,,25.04327,121.585522,後山埤站出口3,314,無電梯_4樓以下
房地(土地+建物),八德路三段１２巷５３弄１８號,1.0,56.0,0,17.99,867020,0.0,,25.045688,121.551365,忠孝敦化站出口2,452,無電梯_4樓以下
房地(土地+建物),臥龍街１９５巷１號三樓,3.0,42.0,0,27.38,609951,0.0,,25.018112,121.55254,麟光站出口,613,無電梯_4樓以下
房地(土地+建物),忠順街一段７０號三樓,3.0,48.0,0,23.3,484884,0.0,,24.984274,121.560777,萬芳醫院站出口,1708,無電梯_4樓以下
房地(土地+建物),合江街１３０巷２８號三樓,3.0,50.0,0,29.57,717032,0.0,,25.05944,121.537981,行天宮站出口3,465,無電梯_4樓以下
房地(土地+建物),內湖路一段５９１巷１６弄１號三樓,3.0,41.0,0,31.66,710753,0.0,,25.081825,121.5734,港墘站出口2,236,無電梯_4樓以下
房地(土地+建物),同安街８５之１號二樓,2.0,44.0,0,19.35,800996,0.0,,25.023188,121.52111,古亭站出口2,342,無電梯_4樓以下
房地(土地+建物),福德街３１０巷５６號二樓,2.0,49.0,0,18.59,682139,0.0,,25.041212,121.586992,後山埤站出口3,583,無電梯_4樓以下
房地(土地+建物),牯嶺街１０３號,1.0,46.0,0,25.56,1048712,0.0,,25.025687,121.519081,古亭站出口8,322,無電梯_4樓以下
房地(土地+建物),內湖路三段１４１巷１弄４號二樓,2.0,46.0,0,29.48,469736,0.0,,25.086698,121.589328,內湖站出口1,596,無電梯_4樓以下
房地(土地+建物)+車位,大湖街１６０巷１８弄３之２號二樓,2.0,29.0,0,21.95,469326,0.0,,25.082609,121.60089,大湖公園站出口2,178,無電梯_4樓以下
房地(土地+建物),成福路１８０巷１４號,1.0,39.0,0,31.63,527940,0.0,,25.041087,121.587417,後山埤站出口3,622,無電梯_4樓以下
房地(土地+建物),社中街２１０巷９弄１６號二樓,2.0,48.0,0,22.56,487580,0.0,,25.09169,121.508273,士林站出口1,1802,無電梯_4樓以下
房地(土地+建物),錦州街１９３號二樓,2.0,53.0,0,33.86,664466,0.0,,25.060414,121.531396,行天宮站出口4,161,無電梯_4樓以下
房地(土地+建物),萬大路１２０號一樓,1.0,49.0,0,23.38,1026643,0.0,,25.02972,121.500378,龍山寺站出口2,602,無電梯_4樓以下
房地(土地+建物)+車位,文湖街２１巷９２弄９號三樓,3.0,21.0,0,40.05,536776,0.0,,25.08966,121.560443,劍南路站出口1,692,無電梯_4樓以下
房地(土地+建物),林口街１３１號三樓,3.0,47.0,0,33.71,708977,0.0,,25.040279,121.580962,後山埤站出口2,391,無電梯_4樓以下
房地(土地+建物),雨聲街１５巷１０號三樓,3.0,41.0,0,36.4,576879,0.0,,25.101129,121.528761,芝山站出口1,625,無電梯_4樓以下
房地(土地+建物),汀州路一段１９８巷８號,1.0,46.0,0,29.92,571577,0.0,,25.027984,121.508899,小南門站出口3,841,無電梯_4樓以下
房地(土地+建物),和平東路三段３９１巷８弄５９號三樓,3.0,46.0,0,32.95,607012,0.0,,25.021168,121.558398,麟光站出口,291,無電梯_4樓以下
房地(土地+建物),景華街８２巷２弄８號二樓,2.0,49.0,0,31.64,527738,0.0,,24.99487,121.544995,景美站出口2,404,無電梯_4樓以下
房地(土地+建物),福德街２１７號三樓,3.0,48.0,0,21.95,700607,0.0,,25.038409,121.58474,後山埤站出口2,657,無電梯_4樓以下
房地(土地+建物),信義路六段７６巷８弄１２之１號三樓,3.0,48.0,0,25.92,540225,0.0,,25.034255,121.576988,象山站出口3,657,無電梯_4樓以下
