交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),金龍路２２２巷４號十一樓,11.0,30.0,1,30.82,619045,0.0,,25.087846,121.586284,內湖站出口1,924,有電梯_7樓以上
房地(土地+建物),東園街６６巷２４弄８號十一樓之１,11.0,7.0,1,32.75,610600,0.0,,25.024802,121.495488,龍山寺站出口2,1226,有電梯_7樓以上
房地(土地+建物)+車位,承德路七段１６６號十八樓,18.0,1.0,1,89.22,870051,15.08,364721.0,25.113407,121.508698,石牌站出口1,682,有電梯_7樓以上
房地(土地+建物)+車位,北安路８２９號十三樓之２,13.0,13.0,1,25.86,522089,0.0,,25.084811,121.556951,劍南路站出口3,104,有電梯_7樓以上
房地(土地+建物)+車位,幽雅路７號十二樓之９,12.0,15.0,1,30.57,496474,14.05,0.0,25.137316,121.513129,新北投站出口1,968,有電梯_7樓以上
房地(土地+建物),星雲街１６８巷４３號二十一樓之２,21.0,27.0,1,17.86,760376,0.0,,25.080177,121.59724,內湖站出口2,467,有電梯_7樓以上
房地(土地+建物)+車位,泉源路３９之４５號十一樓,11.0,39.0,1,50.08,345901,11.05,180995.0,25.141441,121.50715,新北投站出口1,617,有電梯_7樓以上
房地(土地+建物)+車位,重慶南路三段４３號二十一樓,21.0,2.0,1,87.61,1578004,24.25,338144.0,25.027784,121.516205,中正紀念堂站出口2,554,有電梯_7樓以上
房地(土地+建物),康寧路一段２９２號十一樓之４,11.0,32.0,1,14.38,785768,0.0,,25.078247,121.597872,內湖站出口2,683,有電梯_7樓以上
房地(土地+建物)+車位,內湖路二段１０３巷１８號十七樓,17.0,6.0,1,204.71,1579893,72.38,290135.0,25.080553,121.582045,文德站出口2,355,有電梯_7樓以上
房地(土地+建物),中華路二段５０４巷１６號十樓,10.0,45.0,1,13.94,744664,0.0,,25.025624,121.507519,小南門站出口3,1132,有電梯_7樓以上
房地(土地+建物)+車位,建國北路二段２２０號十四樓,14.0,13.0,1,93.39,820480,26.36,227618.0,25.06088,121.536571,行天宮站出口3,339,有電梯_7樓以上
房地(土地+建物)+車位,北安路８２９號十三樓之８,13.0,13.0,1,40.21,1090900,12.7,0.0,25.084811,121.556951,劍南路站出口3,104,有電梯_7樓以上
房地(土地+建物)+車位,敬業三路１６２巷１１９號十樓,10.0,24.0,1,47.02,638060,0.0,,25.079603,121.559497,劍南路站出口3,628,有電梯_7樓以上
房地(土地+建物)+車位,長春路２５８巷２６號九樓之２,9.0,21.0,1,25.23,878350,15.21,144642.0,25.053567,121.538976,南京復興站出口1,334,有電梯_7樓以上
房地(土地+建物)+車位,關渡路６６之１號十二樓,12.0,34.0,1,48.93,378120,0.0,,25.120566,121.469218,關渡站出口1,577,有電梯_7樓以上
房地(土地+建物),中山北路六段２３６巷９號十三樓之１,13.0,2.0,1,39.15,1175074,0.0,,25.10827,121.526184,芝山站出口2,627,有電梯_7樓以上
房地(土地+建物)+車位,和平東路三段２１２巷２號九樓之１,9.0,24.0,1,68.62,827723,0.0,,25.022553,121.553971,六張犁站出口,191,有電梯_7樓以上
房地(土地+建物),中華路二段４９８巷１１號十二樓,12.0,45.0,1,18.1,701596,0.0,,25.025946,121.507161,小南門站出口3,1110,有電梯_7樓以上
房地(土地+建物),青年路３０巷１０號十二樓之３,12.0,37.0,1,31.54,653043,0.0,,25.025933,121.503988,龍山寺站出口3,1082,有電梯_7樓以上
房地(土地+建物),明水路５３７號十樓,10.0,30.0,1,36.01,954667,0.0,,25.078307,121.551771,大直站出口3,495,有電梯_7樓以上
房地(土地+建物),敦化南路二段１０６號二十一樓,21.0,38.0,1,43.83,1183605,0.0,,25.027592,121.548383,科技大樓站出口,504,有電梯_7樓以上
房地(土地+建物),復興南路二段１７１巷１８號十一樓,11.0,39.0,1,39.05,839956,0.0,,25.027475,121.544608,科技大樓站出口,177,有電梯_7樓以上
房地(土地+建物)+車位,星雲街１３１號十一樓,11.0,19.0,1,35.35,1079973,8.48,294811.0,25.080963,121.595818,內湖站出口2,321,有電梯_7樓以上
房地(土地+建物)+車位,萬芳路１０７巷８號十三樓,13.0,11.0,1,79.3,573791,0.0,,24.996967,121.561955,萬芳醫院站出口,503,有電梯_7樓以上
房地(土地+建物)+車位,民生東路二段９３巷１９號八樓,8.0,2.0,1,47.43,1060666,11.32,309187.0,25.058737,121.531054,行天宮站出口1,213,有電梯_7樓以上
房地(土地+建物)+車位,忠誠路一段１７１巷１２弄１號八樓,8.0,14.0,1,62.43,1138816,15.89,0.0,25.106268,121.531197,芝山站出口2,932,有電梯_7樓以上
房地(土地+建物),敦化南路二段１０４號二十樓之１,20.0,38.0,1,40.86,1199257,0.0,,25.027709,121.548387,科技大樓站出口,509,有電梯_7樓以上
房地(土地+建物),光復北路２３０巷５號十五樓,15.0,22.0,1,39.97,825634,0.0,,25.056001,121.555129,台北小巨蛋站出口4,545,有電梯_7樓以上
房地(土地+建物)+車位,明德路３０號十五樓,15.0,8.0,1,77.75,757344,0.0,,25.107158,121.518232,明德站出口1,255,有電梯_7樓以上
房地(土地+建物),景興路１５３巷１９號十樓之４,10.0,30.0,1,11.25,751316,0.0,,24.994015,121.546038,景美站出口2,468,有電梯_7樓以上
房地(土地+建物),文德路５０號十樓,10.0,40.0,1,34.96,680839,0.0,,25.078308,121.580939,文德站出口2,369,有電梯_7樓以上
房地(土地+建物)+車位,明德路１５０巷１３號十二樓,12.0,15.0,1,54.4,800668,0.0,,25.110413,121.521373,明德站出口1,256,有電梯_7樓以上
房地(土地+建物)+車位,明德路１５０巷１３號十二樓之１,12.0,15.0,1,44.68,645087,0.0,,25.110413,121.521373,明德站出口1,256,有電梯_7樓以上
房地(土地+建物),木柵路四段１３９號十四樓之５,14.0,13.0,1,25.01,794765,0.0,,24.99857,121.573753,木柵站出口,56,有電梯_7樓以上
房地(土地+建物)+車位,敬業三路１６２巷３６號八樓,8.0,24.0,1,47.09,679592,0.0,,25.077908,121.557012,劍南路站出口3,720,有電梯_7樓以上
房地(土地+建物)+車位,民權東路六段２９６巷８８號十四樓,14.0,31.0,1,73.59,765095,21.96,227687.0,25.068843,121.610397,東湖站出口1,191,有電梯_7樓以上
房地(土地+建物)+車位,內湖路三段６０巷３１號十六樓,16.0,7.0,1,56.45,869836,7.93,315259.0,25.088484,121.593077,內湖站出口1,540,有電梯_7樓以上
房地(土地+建物),文德路２０８巷１２號九樓,9.0,29.0,1,23.63,880190,0.0,,25.077769,121.583497,文德站出口2,129,有電梯_7樓以上
房地(土地+建物),義理街２３號八樓,8.0,1.0,1,70.29,806672,0.0,,25.116729,121.515315,石牌站出口1,196,有電梯_7樓以上
房地(土地+建物)+車位,木柵路一段３５９號十三樓,13.0,16.0,1,102.32,647302,33.76,222156.0,24.989113,121.557646,萬芳醫院站出口,1142,有電梯_7樓以上
房地(土地+建物)+車位,內湖路一段４１１巷７４弄１５號十一樓,11.0,13.0,1,103.32,873049,21.08,237192.0,25.084276,121.571205,西湖站出口2,480,有電梯_7樓以上
房地(土地+建物),仁愛路四段６２號十樓之５,10.0,46.0,1,16.97,1100948,0.0,,25.037597,121.547607,忠孝敦化站出口6,413,有電梯_7樓以上
房地(土地+建物),復興南路二段１５１巷３０弄５號十樓,10.0,39.0,1,30.45,827679,0.0,,25.027958,121.54553,科技大樓站出口,277,有電梯_7樓以上
房地(土地+建物)+車位,忠孝東路五段１０１號十二樓,12.0,9.0,1,35.31,1447552,4.77,587002.0,25.0413,121.567416,市政府站出口4,24,有電梯_7樓以上
房地(土地+建物)+車位,重陽路４７０號九樓之２,9.0,14.0,1,70.12,957508,7.25,662069.0,25.059719,121.611287,南港軟體園區站出口1,467,有電梯_7樓以上
房地(土地+建物),文德路５４號十二樓,12.0,40.0,1,40.96,573668,0.0,,25.07831,121.581109,文德站出口2,351,有電梯_7樓以上
房地(土地+建物),五常街１１巷３號十一樓之１,11.0,4.0,1,19.53,947291,0.0,,25.064527,121.538121,行天宮站出口4,694,有電梯_7樓以上
房地(土地+建物),興隆路二段２５３號八樓,8.0,5.0,1,16.15,847035,0.0,,25.001972,121.551718,辛亥站出口,639,有電梯_7樓以上
房地(土地+建物),內湖路一段６５９號十八樓之４,18.0,13.0,1,16.65,1064291,0.0,,25.080257,121.575335,港墘站出口1,49,有電梯_7樓以上
房地(土地+建物)+車位,經貿二路２３５巷６５號十一樓,11.0,14.0,1,37.64,874070,0.0,,25.062095,121.615943,南港軟體園區站出口1,190,有電梯_7樓以上
房地(土地+建物)+車位,光復北路１１巷９５號八樓,8.0,34.0,1,52.33,838144,12.36,0.0,25.050432,121.562301,南京三民站出口2,117,有電梯_7樓以上
房地(土地+建物)+車位,德行東路２５８號十三樓之２,13.0,2.0,1,73.68,1096283,12.29,284784.0,25.109603,121.534373,芝山站出口2,1371,有電梯_7樓以上
房地(土地+建物)+車位,敦化南路一段１３８號十四樓之３,14.0,3.0,1,60.5,1588246,9.76,409836.0,25.044549,121.548483,忠孝敦化站出口8,300,有電梯_7樓以上
房地(土地+建物),和平西路三段３８４號八樓之２,8.0,42.0,1,8.94,464265,0.0,,25.035338,121.491277,龍山寺站出口1,832,有電梯_7樓以上
房地(土地+建物)+車位,新光路一段３２巷２７號十二樓,12.0,1.0,1,55.05,846697,11.47,261552.0,24.989622,121.572819,木柵站出口,953,有電梯_7樓以上
房地(土地+建物)+車位,三合街一段８２巷１１６號八樓,8.0,6.0,1,52.58,793069,15.13,165235.0,25.129334,121.504788,奇岩站出口1,524,有電梯_7樓以上
房地(土地+建物)+車位,福德街１６９號九樓,9.0,12.0,1,119.41,992223,28.81,177022.0,25.037776,121.583574,後山埤站出口2,681,有電梯_7樓以上
房地(土地+建物),三合街二段４５０號十六樓,16.0,25.0,1,14.95,835978,0.0,,25.126945,121.502398,奇岩站出口1,169,有電梯_7樓以上
房地(土地+建物)+車位,臥龍街２８９號八樓之１,8.0,1.0,1,47.5,946163,9.46,317125.0,25.017435,121.558235,麟光站出口,130,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路四段７７巷１０２號十二樓,12.0,29.0,1,58.07,422043,11.87,168492.0,25.009499,121.560529,辛亥站出口,602,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路四段２１巷４號十五樓,15.0,28.0,1,34.58,456888,0.0,,25.008499,121.558962,辛亥站出口,424,有電梯_7樓以上
房地(土地+建物)+車位,磺港路１３６號十樓,10.0,9.0,1,80.04,768361,20.17,0.0,25.129343,121.502508,北投站出口2,382,有電梯_7樓以上
房地(土地+建物)+車位,光復南路８６號十樓,10.0,19.0,1,94.76,1325455,23.41,341734.0,25.04446,121.557503,國父紀念館站出口1,304,有電梯_7樓以上
房地(土地+建物)+車位,興隆路四段１０５巷３號十樓,10.0,28.0,1,33.31,459304,0.0,,24.987894,121.561155,萬芳醫院站出口,1323,有電梯_7樓以上
房地(土地+建物)+車位,南京西路４４８號十一樓之１,11.0,1.0,1,56.63,1029951,11.99,266889.0,25.053399,121.508272,北門站出口3,432,有電梯_7樓以上
房地(土地+建物),中華路二段５０４巷８號十二樓,12.0,45.0,1,19.08,670694,0.0,,25.025947,121.507656,小南門站出口3,1094,有電梯_7樓以上
房地(土地+建物)+車位,星雲街１５０巷２６號十五樓,15.0,25.0,1,78.14,598912,0.0,,25.079502,121.596198,內湖站出口2,487,有電梯_7樓以上
房地(土地+建物)+車位,八德路二段１００號十九樓之１,19.0,11.0,1,71.55,1068759,9.34,374732.0,25.045816,121.536209,忠孝新生站出口4,480,有電梯_7樓以上
房地(土地+建物)+車位,大同街２３２號十樓之２,10.0,19.0,1,62.93,632844,10.94,228519.0,25.139761,121.499651,新北投站出口2,431,有電梯_7樓以上
房地(土地+建物),崇仁路一段１６８號八樓之１,8.0,25.0,1,10.97,638007,0.0,,25.122753,121.502497,奇岩站出口2,290,有電梯_7樓以上
房地(土地+建物),松江路３３０巷５３號八樓之５、八樓之６,8.0,16.0,1,24.74,872328,0.0,,25.061251,121.531227,行天宮站出口4,203,有電梯_7樓以上
房地(土地+建物),信義路五段１５０巷３３０號十二樓之１,12.0,15.0,1,27.86,989835,0.0,,25.026533,121.570157,象山站出口2,650,有電梯_7樓以上
房地(土地+建物),承德路四段３５４號十二樓,12.0,36.0,1,36.01,610342,0.0,,25.090348,121.517007,士林站出口2,990,有電梯_7樓以上
房地(土地+建物)+車位,興隆路二段２７５巷１弄８號十二樓之１,12.0,29.0,1,34.42,435775,0.0,,25.00296,121.552595,辛亥站出口,507,有電梯_7樓以上
房地(土地+建物)+車位,南港路二段１４２號十七樓,17.0,29.0,1,39.72,928593,15.48,161499.0,25.053682,121.60089,南港站出口1,585,有電梯_7樓以上
房地(土地+建物)+車位,惠民街７１號八樓,8.0,13.0,1,95.69,749914,13.01,384320.0,25.05861,121.610117,南港軟體園區站出口1,611,有電梯_7樓以上
房地(土地+建物)+車位,興華路１４６號九樓之２,9.0,15.0,1,35.9,821712,0.0,,25.057507,121.605277,南港站出口1,632,有電梯_7樓以上
房地(土地+建物),木柵路四段１５３號八樓之５,8.0,25.0,1,36.68,640710,0.0,,24.999095,121.575052,木柵站出口,194,有電梯_7樓以上
房地(土地+建物),國興路２１號十二樓之１,12.0,37.0,1,37.24,585381,0.0,,25.026915,121.5053,龍山寺站出口3,1016,有電梯_7樓以上
房地(土地+建物),水源路１９５號十二樓之１,12.0,41.0,1,14.0,589427,0.0,,25.023224,121.50919,頂溪站出口2,1183,有電梯_7樓以上
房地(土地+建物)+車位,三重路４１巷２５號十樓,10.0,1.0,1,40.69,895038,6.5,227692.0,25.060033,121.61321,南港軟體園區站出口1,270,有電梯_7樓以上
房地(土地+建物)+車位,富貴一路６之１號八樓,8.0,35.0,1,80.05,780942,13.08,344037.0,25.114287,121.524031,明德站出口2,715,有電梯_7樓以上
房地(土地+建物)+車位,至誠路一段１３８號八樓,8.0,5.0,1,153.32,897021,37.95,205534.0,25.101635,121.534763,士林站出口1,1219,有電梯_7樓以上
房地(土地+建物)+車位,至誠路一段１３８號十一樓,11.0,5.0,1,153.32,913022,37.95,210804.0,25.101635,121.534763,士林站出口1,1219,有電梯_7樓以上
房地(土地+建物),仁愛路四段３７之１０２號,10.0,52.0,1,56.79,1206236,0.0,,25.038134,121.546106,忠孝復興站出口3,393,有電梯_7樓以上
房地(土地+建物)+車位,敦化南路一段２３６巷５號十樓,10.0,46.0,1,107.75,1299263,0.0,,25.040667,121.547825,忠孝敦化站出口6,142,有電梯_7樓以上
房地(土地+建物),金湖路３７６號十樓之２,10.0,25.0,1,17.55,904635,0.0,,25.073617,121.604627,葫洲站出口2,285,有電梯_7樓以上
房地(土地+建物),敦化南路二段４６號九樓之４,9.0,49.0,1,19.87,1046741,0.0,,25.031308,121.548271,信義安和站出口2,452,有電梯_7樓以上
房地(土地+建物),忠孝東路六段１３０號十四樓之１,14.0,13.0,1,12.02,1101930,0.0,,25.047922,121.585355,後山埤站出口3,365,有電梯_7樓以上
房地(土地+建物)+車位,師大路６０號八樓之５,8.0,15.0,1,20.58,1235359,5.22,383142.0,25.024546,121.52822,台電大樓站出口3,376,有電梯_7樓以上
房地(土地+建物)+車位,木柵路四段９巷１８號十四樓,14.0,25.0,1,53.67,450908,0.0,,24.992858,121.570527,木柵站出口,659,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路六段２１巷１２號十八樓,18.0,24.0,1,56.92,557632,15.17,197759.0,24.991223,121.552961,萬芳醫院站出口,1027,有電梯_7樓以上
房地(土地+建物)+車位,重陽路１９９巷１９號九樓,9.0,19.0,1,44.25,604483,0.0,,25.057515,121.600505,南港站出口1,858,有電梯_7樓以上
房地(土地+建物),忠孝東路五段３９號十樓,10.0,41.0,1,37.85,911596,0.0,,25.041454,121.566142,市政府站出口1,69,有電梯_7樓以上
房地(土地+建物)+車位,中山北路六段２３６巷９號十四樓之１,14.0,2.0,1,67.66,1311061,24.66,279805.0,25.10827,121.526184,芝山站出口2,627,有電梯_7樓以上
房地(土地+建物)+車位,重陽路５號十一樓,11.0,2.0,1,30.48,1045062,8.09,309023.0,25.055274,121.5954,昆陽站出口4,547,有電梯_7樓以上
房地(土地+建物),健康路１５巷２８號九樓,9.0,22.0,1,48.35,833066,0.0,,25.054749,121.553119,台北小巨蛋站出口5,341,有電梯_7樓以上
房地(土地+建物)+車位,中山北路六段２１２之２號十一樓,11.0,20.0,1,60.62,1016628,9.2,326087.0,25.108349,121.525284,芝山站出口2,583,有電梯_7樓以上
房地(土地+建物),忠誠路一段１０９號十一樓,11.0,34.0,1,62.49,840089,0.0,,25.105048,121.528711,芝山站出口2,656,有電梯_7樓以上
房地(土地+建物)+車位,中山北路六段７５４巷１２之１號十二樓,12.0,23.0,1,69.05,1142124,21.95,273349.0,25.115338,121.528726,明德站出口2,1168,有電梯_7樓以上
房地(土地+建物)+車位,忠順街一段４８巷５弄８號八樓,8.0,26.0,1,37.95,714031,12.9,193798.0,24.983663,121.560507,大坪林站出口5,1746,有電梯_7樓以上
房地(土地+建物)+車位,瑞安街８９號十二樓,12.0,14.0,1,100.53,1560290,37.31,335031.0,25.027607,121.540598,科技大樓站出口,346,有電梯_7樓以上
房地(土地+建物)+車位,金湖路４０１巷２２號八樓,8.0,24.0,1,61.04,718821,0.0,,25.072735,121.603692,葫洲站出口2,354,有電梯_7樓以上
房地(土地+建物)+車位,北安路４５８巷４１弄６０號九樓,9.0,2.0,1,46.98,1507701,12.38,250404.0,25.079222,121.546719,大直站出口3,38,有電梯_7樓以上
房地(土地+建物),民權東路三段１４２號十二樓之４,12.0,39.0,1,14.97,793710,0.0,,25.061723,121.546856,中山國中站出口,306,有電梯_7樓以上
房地(土地+建物)+車位,經貿二路２３５巷６１號九樓,9.0,14.0,1,51.92,1001464,10.19,0.0,25.062022,121.616079,南港軟體園區站出口1,183,有電梯_7樓以上
房地(土地+建物)+車位,重陽路５７巷９６號九樓,9.0,16.0,1,31.57,827446,4.02,0.0,25.058904,121.595259,昆陽站出口3,938,有電梯_7樓以上
房地(土地+建物)+車位,延平北路五段４６號九樓,9.0,8.0,1,37.92,643329,8.42,225653.0,25.080125,121.511034,圓山站出口2,1303,有電梯_7樓以上
房地(土地+建物),四維路１７０巷３６號八樓之３,8.0,15.0,1,19.51,1289202,0.0,,25.028196,121.546338,科技大樓站出口,354,有電梯_7樓以上
房地(土地+建物),中華路二段４１６巷９號八樓之４,8.0,37.0,1,32.04,655477,0.0,,25.026797,121.504384,龍山寺站出口3,999,有電梯_7樓以上
房地(土地+建物),木新路二段４３巷２１號九樓,9.0,29.0,1,11.64,691390,0.0,,24.986505,121.571123,木柵站出口,1318,有電梯_7樓以上
房地(土地+建物),新明路４６０巷１８弄６號十二樓,12.0,23.0,1,38.12,744413,0.0,,25.053945,121.578237,松山站出口5,379,有電梯_7樓以上
房地(土地+建物),松平路７４號十三樓,13.0,26.0,1,49.9,921894,0.0,,25.030355,121.565933,台北101/世貿站出口4,350,有電梯_7樓以上
