交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),市民大道三段１６９號十三樓之３,13.0,15.0,1,20.81,634158,0.0,,25.044811,121.540648,忠孝復興站出口1,419,有電梯_7樓以上
房地(土地+建物),建國北路三段８０巷１號八樓,8.0,35.0,1,41.12,627451,0.0,,25.065685,121.535673,行天宮站出口4,650,有電梯_7樓以上
房地(土地+建物)+車位,興隆路四段２之５號十三樓,13.0,6.0,1,87.3,572880,8.44,0.0,24.990408,121.559251,萬芳醫院站出口,1010,有電梯_7樓以上
房地(土地+建物)+車位,民權東路六段４２５號十樓,10.0,14.0,1,102.31,874190,13.66,402635.0,25.071313,121.604066,葫洲站出口2,343,有電梯_7樓以上
房地(土地+建物)+車位,新豐街５８號十三樓,13.0,13.0,1,98.91,831062,17.12,0.0,25.060211,121.583273,松山站出口5,1207,有電梯_7樓以上
房地(土地+建物)+車位,延平北路五段７１號八樓,8.0,6.0,1,35.19,687274,13.36,0.0,25.080679,121.510582,圓山站出口2,1379,有電梯_7樓以上
房地(土地+建物),福德街４０５號十三樓,13.0,25.0,1,38.86,604796,0.0,,25.040372,121.591808,後山埤站出口3,1015,有電梯_7樓以上
房地(土地+建物),中華路二段５０４巷３５號十樓,10.0,44.0,1,18.1,711540,0.0,,25.024884,121.508754,小南門站出口3,1181,有電梯_7樓以上
房地(土地+建物)+車位,公路４０６號十樓之１,10.0,25.0,1,44.72,720410,8.91,0.0,25.132303,121.502681,北投站出口2,379,有電梯_7樓以上
房地(土地+建物)+車位,三合街二段４５６號十七樓之１,17.0,25.0,1,25.4,661473,0.0,,25.127014,121.5021,奇岩站出口1,150,有電梯_7樓以上
房地(土地+建物),民權東路三段１６０巷２號十二樓之１,12.0,42.0,1,14.56,824215,0.0,,25.06169,121.547688,中山國中站出口,386,有電梯_7樓以上
房地(土地+建物)+車位,環河北路三段１１９號十三樓,13.0,19.0,1,83.85,626751,17.24,0.0,25.085096,121.506234,三重國小站出口,1872,有電梯_7樓以上
房地(土地+建物),仁愛路四段４１３號九樓,9.0,41.0,1,34.94,1184360,0.0,,25.038002,121.556185,國父紀念館站出口2,341,有電梯_7樓以上
房地(土地+建物),樟新街８巷２０號八樓,8.0,29.0,1,38.95,600773,0.0,,24.979607,121.55415,大坪林站出口5,1161,有電梯_7樓以上
房地(土地+建物)+車位,星雲街１６８巷７號十樓之１,10.0,27.0,1,37.98,500279,0.0,,25.080667,121.596738,內湖站出口2,393,有電梯_7樓以上
房地(土地+建物),星雲街１６８巷４３號十五樓之２,15.0,26.0,1,18.21,812854,0.0,,25.080177,121.59724,內湖站出口2,467,有電梯_7樓以上
房地(土地+建物),大度路三段２７０巷６７號十四樓,14.0,11.0,1,22.36,639513,0.0,,25.125296,121.4673,關渡站出口1,17,有電梯_7樓以上
房地(土地+建物)+車位,和平西路二段１４８號十一樓之１,11.0,25.0,1,39.03,796385,9.92,252016.0,25.032784,121.505833,龍山寺站出口3,516,有電梯_7樓以上
房地(土地+建物)+車位,光復南路２９０巷２８號十樓,10.0,11.0,1,79.21,1264537,11.85,0.0,25.03945,121.55639,國父紀念館站出口2,178,有電梯_7樓以上
房地(土地+建物)+車位,中央北路四段５４１巷９號十八樓,18.0,1.0,1,41.83,749823,12.59,214456.0,25.12756,121.468445,關渡站出口1,267,有電梯_7樓以上
房地(土地+建物)+車位,民權東路六段１３３號十樓,10.0,16.0,1,93.42,715899,0.0,,25.06914,121.593798,文德站出口1,1341,有電梯_7樓以上
房地(土地+建物)+車位,堤頂大道二段２４６巷１號十一樓,11.0,16.0,1,81.09,962384,10.43,0.0,25.077655,121.566335,西湖站出口2,492,有電梯_7樓以上
房地(土地+建物),興隆路二段２５１號九樓,9.0,4.0,1,15.12,760484,0.0,,25.001976,121.551646,辛亥站出口,645,有電梯_7樓以上
房地(土地+建物)+車位,景豐街６８號十一樓,11.0,16.0,1,57.89,727482,10.88,257353.0,25.001088,121.545372,萬隆站出口2,587,有電梯_7樓以上
房地(土地+建物),建國南路一段１６０號九樓之２,9.0,46.0,1,52.57,703845,0.0,,25.041062,121.536977,忠孝新生站出口3,342,有電梯_7樓以上
房地(土地+建物),中華路二段５２０號八樓,8.0,44.0,1,18.1,707121,0.0,,25.025538,121.508239,小南門站出口3,1121,有電梯_7樓以上
房地(土地+建物)+車位,康寧路一段２６１號十樓之１,10.0,17.0,1,62.91,667612,0.0,,25.078878,121.598253,內湖站出口2,644,有電梯_7樓以上
房地(土地+建物),新生北路二段２８巷５號八樓之２,8.0,34.0,1,42.49,706114,0.0,,25.053925,121.526364,中山站出口3,545,有電梯_7樓以上
房地(土地+建物)+車位,街３２號十一樓之３,11.0,10.0,1,90.8,883428,22.13,0.0,25.05467,121.606829,南港站出口2,300,有電梯_7樓以上
