交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),虎林街１２０巷１４號,,56.0,0,28.1,1085202,0.0,,25.042078,121.57629,永春站出口5,129,樓層未顯示或多層樓
房地(土地+建物),大龍街４４號,,,0,32.88,1855135,0.0,,25.064688,121.515944,大橋頭站出口3,273,樓層未顯示或多層樓
房地(土地+建物),吳興街５８３巷２０弄１８號,,62.0,0,10.91,687179,0.0,,25.02124,121.569818,麟光站出口,1169,樓層未顯示或多層樓
房地(土地+建物),民權東路六段１９１巷６２弄１０號,,17.0,1,116.08,585782,0.0,,25.069382,121.598116,葫洲站出口2,979,樓層未顯示或多層樓
房地(土地+建物)+車位,康寧路三段７５巷１８６弄１０２號,,38.0,0,72.75,492088,0.0,,25.076104,121.613136,葫洲站出口1,648,樓層未顯示或多層樓
房地(土地+建物),吳興街５８３巷４弄１０號,,33.0,0,7.76,579963,0.0,,25.022048,121.569475,象山站出口2,1149,樓層未顯示或多層樓
房地(土地+建物)+車位,木柵路四段１５９巷１６弄８１號,,32.0,0,102.17,489399,0.0,,25.003991,121.576497,木柵站出口,717,樓層未顯示或多層樓
房地(土地+建物),永吉路２００巷８１弄１０號,,61.0,0,44.75,703930,0.0,,25.043234,121.572916,永春站出口1,334,樓層未顯示或多層樓
房地(土地+建物),秀明路一段７９巷５弄７號,,45.0,0,19.04,824609,0.0,,24.99086,121.565311,萬芳社區站出口,914,樓層未顯示或多層樓
房地(土地+建物),內湖路二段１７９巷２２４弄５號,,51.0,0,99.15,1563236,0.0,,25.083935,121.58501,文德站出口1,589,樓層未顯示或多層樓
房地(土地+建物),雨聲街５０巷１４號,,55.0,0,15.14,1102810,0.0,,25.102866,121.529237,芝山站出口1,671,樓層未顯示或多層樓
房地(土地+建物),永吉路４９１巷５弄４５號,,,0,22.37,840417,0.0,,25.046174,121.57997,後山埤站出口1,243,樓層未顯示或多層樓
房地(土地+建物),武成街６３巷６弄１５號,,61.0,0,15.79,810615,0.0,,25.018905,121.49442,中原站出口,1559,樓層未顯示或多層樓
房地(土地+建物),吳興街５８３巷３弄２號,,58.0,0,12.34,729218,0.0,,25.022272,121.569716,象山站出口2,1124,樓層未顯示或多層樓
房地(土地+建物),北安路４５８巷４１弄２６號,,58.0,0,24.25,2225574,0.0,,25.078491,121.545777,大直站出口2,161,樓層未顯示或多層樓
房地(土地+建物),杏林二路６９號,,52.0,0,32.61,689984,0.0,,25.142413,121.496615,新北投站出口2,855,樓層未顯示或多層樓
房地(土地+建物),研究院路二段１８２巷１０７弄４１號,,43.0,0,31.97,625623,0.0,,25.036381,121.612142,南港站出口2,1803,樓層未顯示或多層樓
房地(土地+建物),大度路三段３０１巷８０弄９號,,44.0,0,44.4,382875,0.0,,25.120572,121.464907,關渡站出口2,579,樓層未顯示或多層樓
房地(土地+建物)+車位,成功路四段２９４巷４３號,,37.0,0,109.97,591050,0.0,,25.086958,121.59803,內湖站出口2,505,樓層未顯示或多層樓
房地(土地+建物)+車位,瑞雲街１２號,,,0,64.13,1022967,4.99,0.0,25.016397,121.575446,麟光站出口,1714,樓層未顯示或多層樓
房地(土地+建物),武成街７２號,,55.0,0,11.98,747142,0.0,,25.019212,121.494626,中原站出口,1598,樓層未顯示或多層樓
房地(土地+建物),忠孝東路五段２９５巷４６弄６號,,62.0,0,19.41,965927,0.0,,25.043116,121.572884,永春站出口1,326,樓層未顯示或多層樓
房地(土地+建物),長順街４８巷１１號,,,0,24.49,918729,0.0,,25.031568,121.489001,龍山寺站出口1,1147,樓層未顯示或多層樓
房地(土地+建物)+車位,政大二街１０號,,21.0,1,113.89,504537,19.59,0.0,24.986244,121.584415,動物園站出口2,1401,樓層未顯示或多層樓
房地(土地+建物),南京東路五段２９１巷３４弄９號,,,0,24.96,1642877,0.0,,25.05299,121.565892,南京三民站出口4,196,樓層未顯示或多層樓
房地(土地+建物),中和街４４１巷３弄６號,,50.0,0,27.59,935191,0.0,,25.143227,121.497489,新北投站出口2,869,樓層未顯示或多層樓
房地(土地+建物),東華街一段４３４號,,55.0,0,30.71,1363736,0.0,,25.111583,121.51802,明德站出口3,187,樓層未顯示或多層樓
房地(土地+建物),秀明路一段１８５巷５７弄１９號,,33.0,0,126.37,538119,0.0,,24.993361,121.568763,萬芳社區站出口,582,樓層未顯示或多層樓
房地(土地+建物),辛亥路四段１０１巷２３弄４０號,,,0,20.28,832365,0.0,,25.00737,121.56054,辛亥站出口,434,樓層未顯示或多層樓
房地(土地+建物),研究院路二段１８２巷１０７弄３３號,,43.0,0,31.27,799582,0.0,,25.036472,121.612307,南港站出口2,1798,樓層未顯示或多層樓
房地(土地+建物),瑞光路１２２巷６５號,,27.0,1,76.0,723684,0.0,,25.071325,121.579209,文德站出口2,952,樓層未顯示或多層樓
房地(土地+建物),試院路１５４巷２弄４號,,42.0,0,70.73,395852,0.0,,24.990741,121.546933,景美站出口2,604,樓層未顯示或多層樓
房地(土地+建物),西園路二段２８１巷６弄４９號,,56.0,0,20.65,871729,0.0,,25.024088,121.49157,龍山寺站出口2,1480,樓層未顯示或多層樓
房地(土地+建物),建業路１１巷２號,,49.0,0,77.25,697509,0.0,,25.135601,121.547686,石牌站出口1,3991,樓層未顯示或多層樓
