交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),四平街１０７號六樓之１,6.0,20.0,1,11.77,824323,0.0,,25.053745,121.535802,松江南京站出口6,264,有電梯_7樓以下
房地(土地+建物)+車位,辛亥路六段３７號三樓之２,3.0,14.0,1,39.96,737850,13.13,0.0,24.989292,121.55355,萬芳醫院站出口,1199,有電梯_7樓以下
房地(土地+建物)+車位,文湖街２１巷１１８弄１２號五樓之１,5.0,4.0,1,40.31,669882,7.53,225764.0,25.091489,121.559856,劍南路站出口1,807,有電梯_7樓以下
房地(土地+建物)+車位,基湖路１３９號七樓,7.0,16.0,1,59.98,1080527,11.86,0.0,25.078309,121.564066,西湖站出口2,516,有電梯_7樓以下
房地(土地+建物)+車位,松信路５０巷５號五樓,5.0,8.0,1,140.67,1066984,55.68,0.0,25.047354,121.571475,松山站出口2,574,有電梯_7樓以下
房地(土地+建物),吳興街６００巷７６弄７４號,1.0,28.0,1,45.76,393390,0.0,,25.018713,121.570272,麟光站出口,1176,有電梯_7樓以下
房地(土地+建物)+車位,舊莊街一段２１２巷１０號二樓,2.0,6.0,1,29.69,503627,7.65,0.0,25.038286,121.622277,南港展覽館站出口7,1800,有電梯_7樓以下
房地(土地+建物),重慶北路三段２０５巷７號,1.0,13.0,1,25.23,939415,0.0,,25.0701,121.514397,圓山站出口1,573,有電梯_7樓以下
房地(土地+建物),涼州街２號五樓之９,5.0,11.0,1,29.38,793090,0.0,,25.060812,121.515804,大橋頭站出口2,369,有電梯_7樓以下
房地(土地+建物),文湖街８１巷３８號,1.0,9.0,1,25.99,807885,0.0,,25.087514,121.564143,西湖站出口1,628,有電梯_7樓以下
房地(土地+建物),石牌路二段３１５巷２號三樓之４,3.0,27.0,1,11.74,596098,0.0,,25.121941,121.523167,石牌站出口1,1112,有電梯_7樓以下
房地(土地+建物),和平東路二段３１１巷５５號四樓,4.0,37.0,1,33.63,743409,0.0,,25.026092,121.545405,科技大樓站出口,178,有電梯_7樓以下
