交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),市民大道五段３３之２號,1.0,50.0,0,2.81,480907,0.0,,25.045943,121.559473,國父紀念館站出口5,516,無電梯_4樓以下
房地(土地+建物),尊賢街２３０巷２０號三樓,3.0,50.0,0,30.65,521984,0.0,,25.116271,121.508702,唭哩岸站出口1,525,無電梯_4樓以下
房地(土地+建物),永吉路２００巷６１弄１０號三樓,3.0,40.0,0,23.3,641326,0.0,,25.043926,121.573052,永春站出口1,387,無電梯_4樓以下
房地(土地+建物),永吉路２００巷６１弄８號三樓,3.0,40.0,0,24.62,647509,0.0,,25.043927,121.573013,永春站出口1,389,無電梯_4樓以下
房地(土地+建物),自強街５巷１００弄５之２號二樓,2.0,52.0,0,15.29,706282,0.0,,25.111986,121.511579,石牌站出口1,497,無電梯_4樓以下
房地(土地+建物)+車位,大湖山莊街２３巷３４之１號三樓,3.0,37.0,0,55.64,687274,9.08,0.0,25.086047,121.602885,大湖公園站出口1,245,無電梯_4樓以下
房地(土地+建物),信義路六段１２巷４０號二樓,2.0,46.0,0,26.98,722099,0.0,,25.031991,121.574886,象山站出口3,443,無電梯_4樓以下
房地(土地+建物),承德路四段４０巷１３７號三樓之１３,2.0,54.0,0,10.77,612871,0.0,,25.081868,121.520182,劍潭站出口2,486,無電梯_4樓以下
房地(土地+建物),雙園街４９巷２５號二樓,2.0,43.0,0,18.83,584156,0.0,,25.030134,121.494845,龍山寺站出口2,745,無電梯_4樓以下
房地(土地+建物),和平東路三段３９１巷７弄２２號,1.0,51.0,0,18.01,971475,0.0,,25.019985,121.558968,麟光站出口,163,無電梯_4樓以下
房地(土地+建物),吳興街６００巷５５弄５號二樓,2.0,45.0,0,29.25,437627,0.0,,25.019933,121.570553,麟光站出口,1214,無電梯_4樓以下
