交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),民生東路三段１１３巷６弄１號六樓,6.0,44.0,1,50.04,655443,0.0,,25.058577,121.546047,中山國中站出口,325,有電梯_7樓以下
房地(土地+建物),溫州街７４巷３弄２號六樓之４,6.0,45.0,1,11.36,1116012,0.0,,25.019546,121.532386,台電大樓站出口2,339,有電梯_7樓以下
房地(土地+建物)+車位,汀州路四段２０３號五樓,5.0,13.0,1,19.13,627185,0.0,,25.003118,121.535842,萬隆站出口4,279,有電梯_7樓以下
房地(土地+建物)+車位,松仁路３０８巷９３號,1.0,10.0,1,46.23,1008115,2.21,0.0,25.020398,121.570782,麟光站出口,1244,有電梯_7樓以下
房地(土地+建物),仁愛路二段９巷１７號四樓之６,4.0,15.0,1,12.94,1313968,0.0,,25.03876,121.525889,東門站出口2,532,有電梯_7樓以下
房地(土地+建物)+車位,東明街２８號三樓,3.0,15.0,1,76.8,1099431,23.45,0.0,25.055676,121.604162,南港站出口1,473,有電梯_7樓以下
房地(土地+建物)+車位,天母西路５０巷２５號五樓,5.0,23.0,1,91.97,674163,0.0,,25.117557,121.52485,石牌站出口2,975,有電梯_7樓以下
房地(土地+建物)+車位,市民大道六段１０８號四樓之３,4.0,2.0,1,14.69,808748,0.0,,25.049134,121.57254,松山站出口2,391,有電梯_7樓以下
房地(土地+建物)+車位,石牌路一段１６６巷２８之１號五樓,5.0,9.0,1,22.17,960890,3.85,571429.0,25.11399,121.513763,石牌站出口1,185,有電梯_7樓以下
房地(土地+建物),興隆路四段２９巷４弄１號六樓之１,6.0,25.0,1,16.51,787526,0.0,,24.990806,121.56007,萬芳醫院站出口,982,有電梯_7樓以下
房地(土地+建物)+車位,德行東路７４巷１５弄２號三樓,3.0,37.0,1,6.13,811347,0.0,,25.106497,121.527479,芝山站出口2,596,有電梯_7樓以下
房地(土地+建物),中山北路七段１９０巷２７號六樓,6.0,44.0,1,41.24,533505,0.0,,25.125946,121.535242,石牌站出口1,2354,有電梯_7樓以下
房地(土地+建物)+車位,興隆路二段３０１巷２２號七樓之３,7.0,29.0,1,25.79,600691,0.0,,25.002908,121.554085,辛亥站出口,385,有電梯_7樓以下
房地(土地+建物),士東路５８號五樓,5.0,38.0,1,38.37,854923,0.0,,25.111899,121.52807,明德站出口1,943,有電梯_7樓以下
房地(土地+建物)+車位,辛亥路四段７７巷９２弄１２號五樓,5.0,29.0,1,63.55,443730,0.0,,25.008238,121.561326,辛亥站出口,555,有電梯_7樓以下
房地(土地+建物),福興路８１之１號五樓,5.0,28.0,1,16.91,586645,0.0,,25.004302,121.549728,辛亥站出口,741,有電梯_7樓以下
房地(土地+建物),行義路１８６巷５５號二樓,2.0,39.0,1,12.99,398789,0.0,,25.133311,121.530301,石牌站出口1,2541,有電梯_7樓以下
