交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),和平東路三段３４６巷２１號三樓,3.0,,0,13.82,470498,0.0,,25.018933,121.557457,麟光站出口,123,無電梯_4樓以下
房地(土地+建物),延平北路八段２巷５５弄２０號二樓,2.0,61.0,0,21.17,368465,0.0,,25.105583,121.486351,三民高中站出口2,2565,無電梯_4樓以下
房地(土地+建物),雙園街６７巷３弄１號三樓,3.0,51.0,0,12.15,362188,0.0,,25.030299,121.494297,龍山寺站出口2,770,無電梯_4樓以下
房地(土地+建物),安泰街１２９巷５號三樓,3.0,42.0,0,30.29,396140,0.0,,25.077717,121.617085,葫洲站出口1,1077,無電梯_4樓以下
房地(土地+建物),星雲街７２號三樓,3.0,42.0,0,30.85,540594,0.0,,25.078875,121.592611,內湖站出口2,566,無電梯_4樓以下
房地(土地+建物),豐年路二段８０號二樓,2.0,45.0,0,22.49,444685,0.0,,25.135917,121.495526,北投站出口1,477,無電梯_4樓以下
房地(土地+建物),吳興街２８４巷２２弄１１０號二樓,2.0,44.0,0,22.94,619045,0.0,,25.023109,121.560911,麟光站出口,557,無電梯_4樓以下
房地(土地+建物),福德街２６８巷４弄１１號,1.0,44.0,0,22.79,759094,0.0,,25.039477,121.586319,後山埤站出口2,650,無電梯_4樓以下
房地(土地+建物),民生西路４５巷５弄１９號三樓,3.0,55.0,0,18.25,569964,0.0,,25.058472,121.521472,雙連站出口2,112,無電梯_4樓以下
房地(土地+建物),中華路二段３１３巷６號三樓,3.0,,0,10.62,423699,0.0,,25.028159,121.506162,小南門站出口2,921,無電梯_4樓以下
房地(土地+建物),研究院路三段８６巷２７弄４號二樓,2.0,44.0,0,24.84,442758,0.0,,25.035189,121.613341,南港站出口2,1965,無電梯_4樓以下
房地(土地+建物),木柵路四段１５９巷１７４之１號二樓,2.0,,0,26.28,323463,0.0,,25.004211,121.577518,動物園站出口1,701,無電梯_4樓以下
房地(土地+建物),研究院路三段８６巷８號三樓,3.0,43.0,0,14.69,374497,0.0,,25.034481,121.613321,南港站出口2,2039,無電梯_4樓以下
房地(土地+建物),新民路５１之１２號,1.0,46.0,0,18.37,381102,0.0,,25.14015,121.510598,新北投站出口1,795,無電梯_4樓以下
房地(土地+建物),內湖路一段４３號三樓,3.0,42.0,0,38.87,432264,0.0,,25.085184,121.559209,劍南路站出口3,331,無電梯_4樓以下
房地(土地+建物),內湖路一段９１巷６３號三樓,3.0,40.0,0,34.76,489065,0.0,,25.089035,121.562593,劍南路站出口1,829,無電梯_4樓以下
房地(土地+建物),錦州街２１６號二樓,2.0,55.0,0,20.85,700196,0.0,,25.060304,121.531537,行天宮站出口4,147,無電梯_4樓以下
房地(土地+建物),錦州街２１６號三樓,3.0,55.0,0,22.0,699879,0.0,,25.060304,121.531537,行天宮站出口4,147,無電梯_4樓以下
房地(土地+建物),士東路２６６巷１２弄４之１號二樓,2.0,41.0,0,32.51,553734,0.0,,25.111903,121.536402,芝山站出口2,1676,無電梯_4樓以下
房地(土地+建物),廈門街８１巷９號三樓,3.0,39.0,0,21.01,561756,0.0,,25.024534,121.517974,古亭站出口8,484,無電梯_4樓以下
房地(土地+建物),新生北路二段２７巷６號三樓,3.0,49.0,0,29.57,561392,0.0,,25.053654,121.528077,松江南京站出口1,479,無電梯_4樓以下
房地(土地+建物),金山南路二段１８５巷３號,1.0,52.0,0,35.99,833673,0.0,,25.028475,121.526676,古亭站出口5,409,無電梯_4樓以下
房地(土地+建物),康樂街４８巷１６之１號二樓,2.0,37.0,0,27.5,490851,0.0,,25.069081,121.617569,東湖站出口3,608,無電梯_4樓以下
房地(土地+建物),新興路１６６號二樓,2.0,41.0,0,22.8,298254,0.0,,25.138672,121.486751,復興崗站出口1,176,無電梯_4樓以下
房地(土地+建物),木新路二段２１１巷６弄１４號二樓,2.0,41.0,0,33.73,418004,0.0,,24.983111,121.567476,萬芳社區站出口,1723,無電梯_4樓以下
房地(土地+建物),內湖路一段２８５巷６１弄３號三樓,3.0,44.0,0,24.7,601163,0.0,,25.084022,121.567132,西湖站出口1,193,無電梯_4樓以下
房地(土地+建物),德行東路９０巷３３弄２號二樓,2.0,44.0,0,25.57,679776,0.0,,25.105966,121.528248,芝山站出口2,641,無電梯_4樓以下
房地(土地+建物),迪化街二段２９６巷５號三樓,3.0,48.0,0,26.57,560125,0.0,,25.071458,121.511863,圓山站出口1,826,無電梯_4樓以下
房地(土地+建物),環山路一段１３６巷１４弄２號,1.0,46.0,0,20.35,864901,0.0,,25.087569,121.568452,西湖站出口1,609,無電梯_4樓以下
房地(土地+建物),一德街１０巷１３號三樓,3.0,42.0,0,24.38,381437,0.0,,25.129023,121.468901,關渡站出口1,434,無電梯_4樓以下
建物,羅斯福路六段２６巷３號三樓,3.0,55.0,0,22.63,331463,0.0,,24.999967,121.539303,萬隆站出口1,161,無電梯_4樓以下
房地(土地+建物),公路２９８號三樓,3.0,38.0,0,23.93,357236,0.0,,25.132303,121.502681,北投站出口2,379,無電梯_4樓以下
房地(土地+建物),興隆路二段１５３巷２弄８號,1.0,54.0,0,35.41,649579,0.0,,25.000883,121.548711,萬隆站出口2,925,無電梯_4樓以下
房地(土地+建物),吳興街６００巷１００弄２７號三樓,3.0,33.0,0,27.03,458829,0.0,,25.017887,121.572025,麟光站出口,1354,無電梯_4樓以下
房地(土地+建物),延平北路五段２４４巷２２弄１９號三樓,3.0,53.0,0,19.75,438544,0.0,,25.08433,121.510993,劍潭站出口2,1391,無電梯_4樓以下
房地(土地+建物),港華街６９號二樓,2.0,37.0,0,31.85,598113,0.0,,25.08311,121.575081,港墘站出口1,339,無電梯_4樓以下
房地(土地+建物),重慶北路四段４９巷３１弄３０號,1.0,46.0,0,28.03,545910,0.0,,25.081818,121.511459,劍潭站出口2,1348,無電梯_4樓以下
房地(土地+建物),吳興街２８４巷３０弄４６號二樓,2.0,48.0,0,32.77,528487,0.0,,25.023162,121.562904,麟光站出口,671,無電梯_4樓以下
房地(土地+建物),興隆路一段２５１巷１弄５號,1.0,49.0,0,33.7,741741,0.0,,24.999876,121.544324,萬隆站出口2,513,無電梯_4樓以下
房地(土地+建物),永康街３７巷３２號二樓,2.0,39.0,0,32.16,971560,0.0,,25.030887,121.530927,東門站出口5,330,無電梯_4樓以下
房地(土地+建物),陽光街９２巷１８弄５號,1.0,40.0,0,21.24,700515,0.0,,25.075797,121.585476,文德站出口2,298,無電梯_4樓以下
房地(土地+建物),虎林街２１２巷３１號三樓,3.0,53.0,0,26.23,686165,0.0,,25.037151,121.576335,永春站出口4,395,無電梯_4樓以下
房地(土地+建物),玉成街２０１巷６號二樓,2.0,45.0,0,41.38,531633,0.0,,25.044458,121.585373,後山埤站出口3,228,無電梯_4樓以下
房地(土地+建物),通河街３２３巷２７之１號,1.0,52.0,0,10.88,498120,0.0,,25.08131,121.518632,劍潭站出口2,654,無電梯_4樓以下
房地(土地+建物)+車位,康寧路一段１９５巷３弄１６號二樓,2.0,29.0,0,43.32,484754,0.0,,25.079334,121.597618,內湖站出口2,566,無電梯_4樓以下
房地(土地+建物),大直街２１巷４號三樓,3.0,41.0,0,31.76,727343,0.0,,25.081667,121.547108,大直站出口1,146,無電梯_4樓以下
房地(土地+建物),忠孝東路五段４２３巷６弄１７號二樓,2.0,34.0,0,30.42,641039,0.0,,25.041828,121.576204,永春站出口5,105,無電梯_4樓以下
