交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),辛亥路五段７９號七樓,7.0,41.0,1,31.88,526969,0.0,,24.997962,121.552992,萬芳醫院站出口,504,有電梯_7樓以下
房地(土地+建物)+車位,文湖街３５號五樓,5.0,14.0,1,95.01,905637,16.37,366524.0,25.086711,121.561465,劍南路站出口3,605,有電梯_7樓以下
房地(土地+建物),三民路７４巷７號六樓之３,6.0,33.0,1,28.05,998190,0.0,,25.055907,121.564715,南京三民站出口4,480,有電梯_7樓以下
房地(土地+建物),中山北路六段３５０號四樓,4.0,25.0,1,28.18,826714,0.0,,25.11196,121.526273,明德站出口1,776,有電梯_7樓以下
房地(土地+建物)+車位,中山北路七段１４巷３１弄７號七樓,7.0,15.0,1,78.55,807990,11.1,270270.0,25.119691,121.532355,明德站出口2,1744,有電梯_7樓以下
房地(土地+建物)+車位,政大二街９８號,1.0,16.0,1,98.99,623182,20.36,245580.0,24.987352,121.584578,動物園站出口2,1294,有電梯_7樓以下
房地(土地+建物)+車位,青島東路６之１號二樓,2.0,24.0,1,40.26,931453,0.0,,25.043817,121.521969,善導寺站出口2,154,有電梯_7樓以下
房地(土地+建物),歸綏街９７巷８號五樓之７,5.0,29.0,1,10.99,791860,0.0,,25.059172,121.51592,民權西路站出口2,478,有電梯_7樓以下
房地(土地+建物),德惠街１５１號七樓,7.0,39.0,1,38.51,779116,0.0,,25.066663,121.530757,中山國小站出口4,581,有電梯_7樓以下
房地(土地+建物)+車位,萬隆街８６號六樓,6.0,28.0,1,41.03,731154,0.0,,25.001657,121.536977,萬隆站出口1,196,有電梯_7樓以下
房地(土地+建物),陽光街１６１巷１２之２７號三樓,3.0,5.0,1,11.4,947017,0.0,,25.074616,121.585235,文德站出口2,421,有電梯_7樓以下
房地(土地+建物),中山北路七段２１９巷３弄７１號六樓,6.0,40.0,1,21.87,578479,0.0,,25.127856,121.53076,石牌站出口1,2119,有電梯_7樓以下
房地(土地+建物)+車位,成功路五段４５０巷２１弄１９號三樓,3.0,25.0,1,63.93,594398,0.0,,25.073904,121.608367,葫洲站出口1,158,有電梯_7樓以下
房地(土地+建物)+車位,杭州南路一段１４巷２弄６號五樓,5.0,26.0,1,69.6,933961,0.0,,25.039509,121.525108,善導寺站出口4,520,有電梯_7樓以下
房地(土地+建物),成功路四段１６７巷１６號二樓之１,2.0,30.0,1,29.89,937343,0.0,,25.082741,121.595431,內湖站出口2,129,有電梯_7樓以下
房地(土地+建物),北安路４５８巷４７弄１８號四樓,4.0,17.0,1,16.28,1126290,0.0,,25.078192,121.546117,大直站出口3,165,有電梯_7樓以下
房地(土地+建物)+車位,基河路３５２號五樓,5.0,27.0,1,47.43,911057,10.02,0.0,25.094546,121.518506,士林站出口1,753,有電梯_7樓以下
房地(土地+建物)+車位,忠誠路二段９８巷７弄２號六樓,6.0,0.0,1,57.88,1383715,8.83,0.0,25.113251,121.53012,明德站出口1,1188,有電梯_7樓以下
房地(土地+建物),三民路７４巷６號三樓之２,3.0,33.0,1,35.76,894817,0.0,,25.055669,121.565144,南京三民站出口4,456,有電梯_7樓以下
房地(土地+建物)+車位,汀州路二段１７８巷５號六樓之２,6.0,7.0,1,39.56,923637,5.89,339559.0,25.023524,121.521802,古亭站出口2,270,有電梯_7樓以下
房地(土地+建物),建國北路一段２９號四樓,4.0,21.0,1,13.33,914942,0.0,,25.047519,121.537049,松江南京站出口5,570,有電梯_7樓以下
房地(土地+建物),文德路２２巷４４弄１４號,1.0,32.0,1,19.75,769495,0.0,,25.076876,121.58064,文德站出口2,431,有電梯_7樓以下
房地(土地+建物),南京東路五段２５０巷３６弄１１號四樓,4.0,47.0,1,27.43,772943,0.0,,25.049731,121.56678,南京三民站出口3,283,有電梯_7樓以下
建物,杭州南路二段６１巷３８號二樓,2.0,1.0,1,15.99,1031692,0.0,,25.029902,121.524381,古亭站出口6,337,有電梯_7樓以下
房地(土地+建物),久康街１５９巷３號三樓,3.0,29.0,1,22.86,671482,0.0,,24.990895,121.567791,萬芳社區站出口,857,有電梯_7樓以下
房地(土地+建物),溪口街８５巷１０弄１１號六樓,6.0,29.0,1,36.68,777095,0.0,,24.995232,121.537691,景美站出口3,399,有電梯_7樓以下
房地(土地+建物)+車位,港華街９９號五樓之２,5.0,12.0,1,27.34,1001341,9.01,0.0,25.083515,121.573804,港墘站出口2,394,有電梯_7樓以下
房地(土地+建物)+車位,景華街１７６巷１５號三樓,3.0,24.0,1,57.63,605759,2.0,900000.0,24.997289,121.548757,景美站出口2,868,有電梯_7樓以下
房地(土地+建物)+車位,丹陽街２２號三樓,3.0,27.0,1,44.86,1065593,0.0,,25.038994,121.524881,善導寺站出口4,573,有電梯_7樓以下
房地(土地+建物),基湖路１５１巷２１號二樓,2.0,20.0,1,11.85,985997,0.0,,25.077691,121.564324,西湖站出口2,559,有電梯_7樓以下
房地(土地+建物)+車位,內湖路一段３８７巷８號六樓,6.0,13.0,1,80.22,968052,11.53,260191.0,25.082473,121.570208,西湖站出口2,313,有電梯_7樓以下
房地(土地+建物),安東街１９號二樓之９、二樓之１０,2.0,43.0,1,18.9,930001,0.0,,25.045176,121.542356,忠孝復興站出口1,384,有電梯_7樓以下
