交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),中華路二段４１６巷１１０號八樓,8.0,30.0,1,44.01,511240,0.0,,25.026848,121.502002,龍山寺站出口2,945,有電梯_7樓以上
房地(土地+建物),青年路３０巷８號九樓之２,9.0,35.0,1,30.92,582119,0.0,,25.02633,121.503791,龍山寺站出口3,1034,有電梯_7樓以上
房地(土地+建物)+車位,五常街１１巷７號十五樓之２,15.0,2.0,1,34.7,865792,11.51,217202.0,25.064767,121.537842,行天宮站出口4,692,有電梯_7樓以上
房地(土地+建物)+車位,五常街１１巷５號十一樓之１,11.0,2.0,1,58.21,1000579,22.13,212381.0,25.064522,121.537885,行天宮站出口4,676,有電梯_7樓以上
房地(土地+建物)+車位,潮州街６５號八樓,8.0,7.0,1,160.73,1265365,60.37,0.0,25.029154,121.525182,古亭站出口5,320,有電梯_7樓以上
房地(土地+建物)+車位,木新路三段９５巷７弄３號八樓,8.0,12.0,1,66.49,540233,13.07,191278.0,24.981723,121.563561,萬芳社區站出口,1937,有電梯_7樓以上
房地(土地+建物),復興南路二段３２９號十三樓,13.0,35.0,1,34.38,927390,0.0,,25.023787,121.543568,科技大樓站出口,263,有電梯_7樓以上
房地(土地+建物)+車位,建國北路三段７１號十三樓,13.0,6.0,1,25.18,784320,2.51,836653.0,25.065123,121.537204,行天宮站出口4,678,有電梯_7樓以上
房地(土地+建物)+車位,建國北路三段７１號十一樓,11.0,6.0,1,25.18,766675,2.51,836653.0,25.065123,121.537204,行天宮站出口4,678,有電梯_7樓以上
房地(土地+建物)+車位,延壽街３３０巷１６弄５號八樓之２,8.0,13.0,1,63.87,829814,0.0,,25.055134,121.559328,南京三民站出口1,551,有電梯_7樓以上
房地(土地+建物)+車位,臥龍街３１６號九樓之１,9.0,12.0,1,75.34,852387,27.83,179662.0,25.016603,121.559948,麟光站出口,256,有電梯_7樓以上
房地(土地+建物)+車位,迪化街二段１５８號十五樓之８,15.0,1.0,1,57.94,808616,9.71,0.0,25.066822,121.510066,大橋頭站出口1A,423,有電梯_7樓以上
房地(土地+建物)+車位,向陽路１９６巷８號十一樓,11.0,13.0,1,49.26,781990,6.81,264317.0,25.056383,121.594046,昆陽站出口3,645,有電梯_7樓以上
房地(土地+建物)+車位,民權東路六段２９６巷７２之２號八樓,8.0,26.0,1,46.16,628312,0.0,,25.070343,121.609091,葫洲站出口1,262,有電梯_7樓以上
房地(土地+建物),新生南路三段２３號十二樓,12.0,36.0,1,40.03,974201,0.0,,25.024732,121.534926,台電大樓站出口2,775,有電梯_7樓以上
房地(土地+建物)+車位,星雲街１６巷６３號八樓,8.0,9.0,1,68.95,910589,11.85,0.0,25.077149,121.591968,文德站出口1,659,有電梯_7樓以上
房地(土地+建物)+車位,莒光路３３９號十二樓,12.0,4.0,1,83.13,760662,16.74,328554.0,25.030828,121.497404,龍山寺站出口2,534,有電梯_7樓以上
房地(土地+建物)+車位,潮州街６５號十二樓,12.0,7.0,1,210.25,900038,60.37,228590.0,25.029154,121.525182,古亭站出口5,320,有電梯_7樓以上
房地(土地+建物)+車位,溫泉路６８巷６弄８號八樓,8.0,5.0,1,44.07,631699,11.15,233184.0,25.134438,121.505199,新北投站出口1,328,有電梯_7樓以上
房地(土地+建物)+車位,成福路１９１號十七樓,17.0,26.0,1,94.12,637591,27.0,185185.0,25.040926,121.58893,後山埤站出口3,744,有電梯_7樓以上
房地(土地+建物)+車位,東新街１１８巷７７號九樓,9.0,10.0,1,39.35,971601,9.5,294737.0,25.045769,121.589573,昆陽站出口1,597,有電梯_7樓以上
房地(土地+建物)+車位,松高路８６之１號十二樓,12.0,24.0,1,116.59,1460378,45.37,352656.0,25.038914,121.571598,永春站出口1,424,有電梯_7樓以上
房地(土地+建物),福興路１００之２號九樓,9.0,19.0,1,21.18,566545,0.0,,25.006279,121.549298,辛亥站出口,789,有電梯_7樓以上
房地(土地+建物)+車位,石牌路二段３１５巷２８弄１８號十三樓,13.0,6.0,1,74.9,587749,0.0,,25.123857,121.523345,石牌站出口1,1281,有電梯_7樓以上
房地(土地+建物),南深路３１號八樓之２,8.0,23.0,1,28.23,465779,0.0,,25.037027,121.62085,南港展覽館站出口7,1911,有電梯_7樓以上
房地(土地+建物),復興南路二段２９２號十樓,10.0,,1,38.04,856550,0.0,,25.023865,121.543234,科技大樓站出口,258,有電梯_7樓以上
房地(土地+建物)+車位,興隆路二段２０３巷５８號十二樓,12.0,23.0,1,41.72,632644,10.93,201281.0,25.002567,121.547571,萬隆站出口2,816,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路六段３３號十二樓之１,12.0,14.0,1,51.02,663797,13.13,190404.0,24.989297,121.553074,萬芳醫院站出口,1216,有電梯_7樓以上
房地(土地+建物)+車位,幽雅路７號十三樓,13.0,13.0,1,33.03,523080,7.03,0.0,25.137316,121.513129,新北投站出口1,968,有電梯_7樓以上
房地(土地+建物),新生北路三段４３號九樓之２,9.0,44.0,1,15.65,618597,0.0,,25.065416,121.528038,中山國小站出口4,312,有電梯_7樓以上
房地(土地+建物)+車位,北安路６３０巷２５弄１８號八樓之１,8.0,24.0,1,53.06,961656,14.4,173611.0,25.083771,121.55021,大直站出口1,503,有電梯_7樓以上
