交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),文化三路７１號五樓,5.0,37.0,1,35.49,450879,0.0,,25.139827,121.49828,新北投站出口2,536,有電梯_7樓以下
房地(土地+建物),星雲街１６８巷４３號七樓之２,7.0,26.0,1,18.21,768916,0.0,,25.080177,121.59724,內湖站出口2,467,有電梯_7樓以下
房地(土地+建物),仁愛路四段２６６巷１５弄２０號六樓,6.0,42.0,1,39.23,943055,0.0,,25.03654,121.5541,信義安和站出口5,362,有電梯_7樓以下
房地(土地+建物)+車位,新明路３１２巷２之６號,1.0,9.0,1,87.78,680128,40.76,0.0,25.055588,121.581714,松山站出口5,685,有電梯_7樓以下
房地(土地+建物),和平東路三段４１６巷５號七樓,7.0,37.0,1,42.12,629109,0.0,,25.017919,121.559045,麟光站出口,83,有電梯_7樓以下
房地(土地+建物)+車位,濟南路二段１５號五樓之５,5.0,16.0,1,19.96,937370,5.55,360360.0,25.041298,121.527651,善導寺站出口5,435,有電梯_7樓以下
房地(土地+建物)+車位,民權東路六段１２３巷２７號二樓,2.0,14.0,1,29.39,791332,4.11,364964.0,25.069938,121.593029,文德站出口1,1223,有電梯_7樓以下
房地(土地+建物)+車位,天母西路１１７巷６３號二樓之２,2.0,25.0,1,16.76,679182,0.0,,25.121918,121.524754,石牌站出口1,1230,有電梯_7樓以下
房地(土地+建物),瑞安街２０６號七樓,7.0,45.0,1,24.13,932317,0.0,,25.028064,121.54062,科技大樓站出口,371,有電梯_7樓以下
房地(土地+建物),江南街７１巷６５弄９號七樓,7.0,39.0,1,31.54,491508,0.0,,25.075981,121.578915,港墘站出口1,558,有電梯_7樓以下
房地(土地+建物)+車位,忠孝東路五段７４３巷２１弄２１號五樓,5.0,7.0,1,40.28,791503,0.0,,25.043766,121.580254,後山埤站出口1,137,有電梯_7樓以下
房地(土地+建物),內湖路二段１０３巷７６號一樓,1.0,40.0,1,26.84,968675,0.0,,25.083144,121.580965,港墘站出口1,619,有電梯_7樓以下
房地(土地+建物),景華街１３巷６之１號,1.0,40.0,1,46.61,701625,0.0,,24.99544,121.542365,景美站出口2,277,有電梯_7樓以下
房地(土地+建物),信義路三段１３４巷４３號四樓,4.0,35.0,1,51.06,817732,0.0,,25.030085,121.539508,大安站出口2,448,有電梯_7樓以下
房地(土地+建物)+車位,三民路８０巷３號四樓之１,4.0,18.0,1,67.63,731958,0.0,,25.056576,121.564083,南京三民站出口1,557,有電梯_7樓以下
房地(土地+建物),逸仙路３２巷１３號二樓,2.0,41.0,1,50.76,886588,0.0,,25.039913,121.562543,市政府站出口2,280,有電梯_7樓以下
房地(土地+建物)+車位,明水路３９７巷７弄４９號五樓,5.0,29.0,1,71.56,831813,11.45,0.0,25.078203,121.550389,大直站出口3,367,有電梯_7樓以下
房地(土地+建物),景豐街７２號三樓,3.0,16.0,1,38.02,667523,0.0,,25.001055,121.545572,萬隆站出口2,608,有電梯_7樓以下
房地(土地+建物),忠順街一段４１巷１８號,1.0,1.0,1,21.91,684523,0.0,,24.984838,121.558624,大坪林站出口5,1569,有電梯_7樓以下
房地(土地+建物),遼寧街１０１巷１號二樓,2.0,21.0,1,12.91,875244,0.0,,25.050397,121.542337,南京復興站出口2,158,有電梯_7樓以下
房地(土地+建物),建國南路二段１１巷１４號,1.0,38.0,1,29.32,1016536,0.0,,25.032737,121.538658,大安森林公園站出口5,278,有電梯_7樓以下
房地(土地+建物)+車位,中央北路三段２２０巷１９號二樓,2.0,12.0,1,83.56,490804,16.32,0.0,25.136717,121.479909,復興崗站出口2,530,有電梯_7樓以下
房地(土地+建物)+車位,政大一街５號,1.0,12.0,1,33.14,608449,4.38,410959.0,24.985907,121.580165,動物園站出口2,1344,有電梯_7樓以下
房地(土地+建物),莊敬路３９１巷６號三樓,3.0,40.0,1,37.36,843041,0.0,,25.027992,121.565786,台北101/世貿站出口3,570,有電梯_7樓以下
房地(土地+建物)+車位,中央北路四段１８巷４６弄２０號三樓,3.0,22.0,1,60.92,385749,0.0,,25.136408,121.479219,復興崗站出口2,603,有電梯_7樓以下
房地(土地+建物),文德路２２巷５３弄２５號四樓,4.0,39.0,1,32.01,574757,0.0,,25.07567,121.57982,文德站出口2,566,有電梯_7樓以下
房地(土地+建物),新民路１巷８號七樓之９,7.0,42.0,1,23.63,347087,0.0,,25.141353,121.507536,新北投站出口1,633,有電梯_7樓以下
房地(土地+建物),景雲街２２之１號四樓,4.0,42.0,1,29.93,524622,0.0,,25.019405,121.573759,象山站出口2,1493,有電梯_7樓以下
房地(土地+建物)+車位,吉林路１０８巷６號二樓,2.0,10.0,1,59.48,849901,3.13,638978.0,25.053301,121.52946,松江南京站出口1,337,有電梯_7樓以下
房地(土地+建物),同德路８５巷１６號三樓,3.0,39.0,1,33.29,692699,0.0,,25.046616,121.5854,後山埤站出口3,263,有電梯_7樓以下
房地(土地+建物),星雲街１６８巷４３號六樓之１,6.0,26.0,1,9.14,771460,0.0,,25.080177,121.59724,內湖站出口2,467,有電梯_7樓以下
房地(土地+建物),石牌路二段３１５巷２號五樓之６,5.0,28.0,1,11.45,681066,0.0,,25.121941,121.523167,石牌站出口1,1112,有電梯_7樓以下
房地(土地+建物)+車位,重慶南路三段６３號三樓之１,3.0,10.0,1,31.79,707777,0.0,,25.026572,121.516316,古亭站出口7,558,有電梯_7樓以下
房地(土地+建物),重慶北路四段８１號四樓之９,4.0,44.0,1,22.35,572664,0.0,,25.081594,121.512437,劍潭站出口2,1254,有電梯_7樓以下
房地(土地+建物),石牌路二段３１５巷２８弄１６號七樓之１,7.0,14.0,1,13.24,755436,0.0,,25.123622,121.52316,石牌站出口1,1249,有電梯_7樓以下
房地(土地+建物),民權東路三段１０６巷２１弄１８號五樓,5.0,40.0,1,43.41,849481,0.0,,25.059385,121.545744,中山國中站出口,239,有電梯_7樓以下
房地(土地+建物),中華路二段４５５號三樓之５,3.0,46.0,1,13.9,575671,0.0,,25.024876,121.509704,小南門站出口4,1164,有電梯_7樓以下
房地(土地+建物)+車位,大業路４６２之６號三樓,3.0,26.0,1,47.21,621212,0.0,,25.133303,121.495861,北投站出口1,252,有電梯_7樓以下
房地(土地+建物)+車位,北安路６３０巷２５弄１６號二樓之１,2.0,25.0,1,68.36,517709,0.0,,25.083603,121.54991,大直站出口1,469,有電梯_7樓以下
