交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
建物,和平西路二段６０巷１９號,,66.0,0,10.85,193483,0.0,,25.028183,121.511944,小南門站出口4,785,樓層未顯示或多層樓
建物,木柵路一段２３８巷２１號,,,0,12.92,386914,0.0,,24.987094,121.553644,大坪林站出口5,1152,樓層未顯示或多層樓
房地(土地+建物),長順街４６巷２５號,,,0,20.29,634743,0.0,,25.031326,121.489101,龍山寺站出口1,1148,樓層未顯示或多層樓
房地(土地+建物)+車位,萬芳路５０之２２號,,19.0,0,115.13,611357,23.72,252951.0,24.997351,121.570977,木柵站出口,262,樓層未顯示或多層樓
房地(土地+建物),中社路一段１１巷６２號,,47.0,0,31.38,665300,0.0,,25.109874,121.562164,劍南路站出口1,2797,樓層未顯示或多層樓
房地(土地+建物),研究院路二段１８２巷４９號,,,0,36.06,471463,0.0,,25.037,121.615177,南港站出口2,1844,樓層未顯示或多層樓
房地(土地+建物),成福路１７１巷２９號,,,0,12.13,618136,0.0,,25.041615,121.588962,後山埤站出口3,700,樓層未顯示或多層樓
房地(土地+建物),德行東路３５８巷１７弄１４號,,35.0,0,76.94,548495,0.0,,25.109976,121.53978,芝山站出口2,1884,樓層未顯示或多層樓
房地(土地+建物),遼寧街８１巷２４號二樓,,56.0,0,32.31,1467658,0.0,,25.049451,121.543119,南京復興站出口3,259,樓層未顯示或多層樓
房地(土地+建物),武成街１６９巷９號,,57.0,0,24.26,1112783,0.0,,25.020196,121.493262,中原站出口,1600,樓層未顯示或多層樓
房地(土地+建物),瑞光路１２２巷７１弄１２號,,26.0,0,71.88,716442,0.0,,25.070787,121.57909,文德站出口2,1008,樓層未顯示或多層樓
房地(土地+建物),石仙路１巷３弄５號,,49.0,0,30.25,581819,0.0,,25.141413,121.488882,復興崗站出口1,544,樓層未顯示或多層樓
房地(土地+建物),武成街７０巷１５號,,62.0,0,18.34,619290,0.0,,25.019459,121.494772,中原站出口,1629,樓層未顯示或多層樓
房地(土地+建物),中社路二段７９巷１５號,,41.0,0,65.17,629119,0.0,,25.108161,121.56682,劍南路站出口1,2773,樓層未顯示或多層樓
房地(土地+建物),大湖街１３１巷１８弄６３號,,35.0,0,122.56,562972,0.0,,25.086177,121.599206,大湖公園站出口1,408,樓層未顯示或多層樓
房地(土地+建物)+車位,政大三街３８號,,26.0,0,112.41,289131,0.0,,24.985674,121.581486,動物園站出口2,1385,樓層未顯示或多層樓
房地(土地+建物),吉利街３６９巷２５弄９號,,51.0,0,17.48,1178596,0.0,,25.118233,121.511908,石牌站出口1,496,樓層未顯示或多層樓
房地(土地+建物),永吉路２２５巷３弄１８號,,60.0,0,15.25,1934937,0.0,,25.046071,121.574657,松山站出口2,483,樓層未顯示或多層樓
房地(土地+建物),福林路３２９巷２弄４１號,,51.0,0,24.8,1169121,0.0,,25.099671,121.534838,士林站出口1,1087,樓層未顯示或多層樓
房地(土地+建物)+車位,政大二街９９巷２２號,,24.0,0,89.27,408855,0.0,,24.988512,121.582904,動物園站出口2,1112,樓層未顯示或多層樓
房地(土地+建物),虎林街１００巷９１號,,61.0,0,19.33,750140,0.0,,25.042951,121.575123,永春站出口1,217,樓層未顯示或多層樓
房地(土地+建物)+車位,康寧路三段７５巷１７５弄２３號,,34.0,0,100.0,410011,0.0,,25.077335,121.612165,葫洲站出口1,677,樓層未顯示或多層樓
房地(土地+建物),後港街１６２巷１０弄８號,,56.0,0,27.87,1155519,0.0,,25.087697,121.520767,劍潭站出口1,534,樓層未顯示或多層樓
房地(土地+建物),瑞光路１２２巷４７號,,26.0,0,76.0,657895,0.0,,25.071646,121.579496,文德站出口2,906,樓層未顯示或多層樓
房地(土地+建物),指南路二段１５１號,,,0,43.49,1078015,0.0,,24.987436,121.577345,動物園站出口2,1188,樓層未顯示或多層樓
房地(土地+建物),環山路二段７２號,,50.0,0,49.58,1815371,0.0,,25.085438,121.574911,港墘站出口1,597,樓層未顯示或多層樓
房地(土地+建物),青雲街３６巷９號,,36.0,1,106.92,823080,0.0,,25.018428,121.578329,象山站出口2,1767,樓層未顯示或多層樓
房地(土地+建物),詔安街２５０巷１８號,,,0,29.59,719150,0.0,,25.026777,121.508758,小南門站出口3,975,樓層未顯示或多層樓
房地(土地+建物),迪化街二段２２號,,,0,11.47,1556127,0.0,,25.063892,121.509248,大橋頭站出口1A,258,樓層未顯示或多層樓
房地(土地+建物),清江路２４５巷６號,,53.0,0,34.77,854202,0.0,,25.126014,121.501959,奇岩站出口1,99,樓層未顯示或多層樓
房地(土地+建物),東華街一段４３２號,,55.0,0,13.22,1459660,0.0,,25.111522,121.518059,明德站出口3,180,樓層未顯示或多層樓
房地(土地+建物),東華街一段４３２號,,55.0,0,13.22,1459660,0.0,,25.111522,121.518059,明德站出口3,180,樓層未顯示或多層樓
房地(土地+建物),桂林路２４２巷６８弄９號,,,0,27.65,614728,0.0,,25.035899,121.493568,龍山寺站出口1,602,樓層未顯示或多層樓
房地(土地+建物),致遠三路１４７巷４弄２６號,,50.0,0,27.85,466717,0.0,,25.12092,121.508867,唭哩岸站出口1,198,樓層未顯示或多層樓
房地(土地+建物),中和街５０２巷３弄２０號,,49.0,0,27.22,587696,0.0,,25.145995,121.493782,復興崗站出口1,1252,樓層未顯示或多層樓
房地(土地+建物),中社路一段１１巷５２號,,48.0,0,31.38,629295,0.0,,25.109948,121.562066,劍南路站出口1,2803,樓層未顯示或多層樓
房地(土地+建物),建民路１５３之１號,,49.0,0,33.04,1216744,0.0,,25.110863,121.51962,明德站出口2,131,樓層未顯示或多層樓
房地(土地+建物),成功路四段２９４巷７０弄１４號,,37.0,0,85.73,467773,0.0,,25.087247,121.598405,大湖公園站出口1,547,樓層未顯示或多層樓
房地(土地+建物)+車位,民權東路六段２０６巷７６弄３號,,22.0,0,84.48,638952,0.0,,25.066465,121.595447,葫洲站出口2,1362,樓層未顯示或多層樓
房地(土地+建物),福山街２巷１５號,,50.0,0,18.27,957803,0.0,,25.045059,121.617119,南港展覽館站出口7,1003,樓層未顯示或多層樓
房地(土地+建物),永安街４８巷３５號,,,0,17.85,1428289,0.0,,24.985735,121.569463,萬芳社區站出口,1432,樓層未顯示或多層樓
房地(土地+建物),武成街６２巷７號,,,0,11.54,693038,0.0,,25.019167,121.49478,中原站出口,1605,樓層未顯示或多層樓
房地(土地+建物)+車位,政大一街３７８號,,17.0,1,423.11,285035,0.0,,24.987014,121.587294,動物園站出口1,1457,樓層未顯示或多層樓
房地(土地+建物),興隆路二段９６巷７８號,,,0,40.33,758259,0.0,,24.998079,121.551064,萬芳醫院站出口,688,樓層未顯示或多層樓
房地(土地+建物)+車位,政大一街１７８號,,21.0,0,84.69,453988,0.0,,24.985286,121.583582,動物園站出口2,1474,樓層未顯示或多層樓
房地(土地+建物)+車位,興順街１００號,,16.0,1,111.94,565547,21.76,229779.0,25.00133,121.545606,萬隆站出口2,609,樓層未顯示或多層樓
房地(土地+建物),重慶北路四段４９巷３７號,,56.0,0,79.12,353871,0.0,,25.081064,121.51113,圓山站出口2,1373,樓層未顯示或多層樓
房地(土地+建物),辛亥路四段１０１巷１４０弄８３號,,,0,51.26,585303,0.0,,25.007352,121.561887,辛亥站出口,550,樓層未顯示或多層樓
房地(土地+建物),中和街５０２巷５弄２８號,,49.0,0,30.79,626087,0.0,,25.146301,121.493573,復興崗站出口1,1264,樓層未顯示或多層樓
房地(土地+建物),下崙路３６號,,,0,26.15,741757,0.0,,24.985392,121.558867,萬芳醫院站出口,1560,樓層未顯示或多層樓
房地(土地+建物)+車位,康寧路三段７５巷１８號,,29.0,0,83.57,604294,0.0,,25.072346,121.609235,葫洲站出口1,119,樓層未顯示或多層樓
房地(土地+建物),吉利街３６９巷２５弄８號,,52.0,0,20.87,1001319,0.0,,25.118325,121.511904,石牌站出口1,504,樓層未顯示或多層樓
房地(土地+建物),桂林路２４２巷４８弄１３號,,64.0,0,16.27,602282,0.0,,25.036263,121.49392,龍山寺站出口1,572,樓層未顯示或多層樓
房地(土地+建物),蘭州街１１０號,,,0,9.01,2473630,0.0,,25.065311,121.515551,大橋頭站出口3,275,樓層未顯示或多層樓
房地(土地+建物),青雲街３９號,,37.0,0,64.6,727602,0.0,,25.018732,121.576612,象山站出口2,1660,樓層未顯示或多層樓
房地(土地+建物),中央北路三段３６號,,42.0,0,25.33,592152,0.0,,25.138322,121.485737,復興崗站出口1,80,樓層未顯示或多層樓
房地(土地+建物),大同街２０３之２號,,50.0,0,45.28,618317,0.0,,25.137689,121.499115,新北投站出口2,349,樓層未顯示或多層樓
房地(土地+建物),重陽路２９２巷１號,,,0,20.84,1142245,0.0,,25.057494,121.604932,南港站出口1,637,樓層未顯示或多層樓
房地(土地+建物),翠嶺路１４號,,62.0,0,26.73,2693718,0.0,,25.142675,121.506485,新北投站出口1,701,樓層未顯示或多層樓
房地(土地+建物),虎林街１０４巷１１０號,,60.0,0,34.97,868620,0.0,,25.042722,121.574889,永春站出口1,193,樓層未顯示或多層樓
房地(土地+建物),成功路四段２９４巷７４號,,36.0,0,31.28,569137,0.0,,25.086876,121.599009,大湖公園站出口1,474,樓層未顯示或多層樓
房地(土地+建物),中山北路五段６９９巷６號,,56.0,0,29.92,896961,0.0,,25.097753,121.52675,士林站出口1,413,樓層未顯示或多層樓
房地(土地+建物),中山北路五段６９９巷４號,,56.0,0,30.2,833070,0.0,,25.097759,121.526787,士林站出口1,415,樓層未顯示或多層樓
房地(土地+建物),吳興街２０４號,,47.0,0,73.23,853486,0.0,,25.028049,121.56276,台北101/世貿站出口3,529,樓層未顯示或多層樓
房地(土地+建物),西園路二段２６１巷３９號,,63.0,0,20.36,1109787,0.0,,25.024951,121.493402,龍山寺站出口2,1300,樓層未顯示或多層樓
建物,仰德大道三段１２１號,,57.0,0,32.71,45854,0.0,,25.122078,121.551809,明德站出口1,3582,樓層未顯示或多層樓
建物,文林路６８１巷２０號,,53.0,0,36.4,4945,0.0,,25.100844,121.521413,芝山站出口1,182,樓層未顯示或多層樓
房地(土地+建物),大度路三段３０１巷８０弄２１號,,43.0,0,44.4,398641,0.0,,25.120923,121.46509,關渡站出口2,536,樓層未顯示或多層樓
房地(土地+建物),新明路４９１號,,66.0,0,12.44,1777134,0.0,,25.054247,121.579656,松山站出口5,451,樓層未顯示或多層樓
房地(土地+建物)+車位,政大二街１７１巷１９號,,28.0,0,79.88,417637,0.0,,24.989458,121.585272,動物園站出口1,1120,樓層未顯示或多層樓
房地(土地+建物),中社路二段１２８號,,48.0,0,31.76,566707,0.0,,25.10549,121.566923,劍南路站出口1,2511,樓層未顯示或多層樓
房地(土地+建物),虎林街１０４巷１６６號,,60.0,0,34.55,745040,0.0,,25.04278,121.573427,永春站出口1,262,樓層未顯示或多層樓
房地(土地+建物),後港街１６２巷１０弄１０號,,56.0,0,27.58,1119574,0.0,,25.087732,121.520745,劍潭站出口1,538,樓層未顯示或多層樓
房地(土地+建物),武成街５９號,,,0,32.37,733625,0.0,,25.018759,121.494882,中原站出口,1578,樓層未顯示或多層樓
房地(土地+建物),興南街１４號,,98.0,0,33.61,327247,0.0,,25.057473,121.604245,南港站出口1,654,樓層未顯示或多層樓
房地(土地+建物),通化街３９巷３７號,,34.0,0,67.28,683690,0.0,,25.030956,121.555147,信義安和站出口4,289,樓層未顯示或多層樓
房地(土地+建物),和平東路四段６５巷２７弄８號,,36.0,1,62.03,625468,0.0,,25.007389,121.567405,萬芳社區站出口,985,樓層未顯示或多層樓
房地(土地+建物),東園街６６巷３７弄３１號,,64.0,0,22.53,852305,0.0,,25.025917,121.495331,龍山寺站出口2,1117,樓層未顯示或多層樓
房地(土地+建物),虎林街１０４巷１１１號,,61.0,0,19.4,953494,0.0,,25.042803,121.574789,永春站出口1,204,樓層未顯示或多層樓
房地(土地+建物),大光街８號,,62.0,0,32.23,791082,0.0,,25.096654,121.521348,士林站出口1,545,樓層未顯示或多層樓
房地(土地+建物),大度路三段３０１巷８０弄４２號,,43.0,0,44.22,407033,0.0,,25.120792,121.465195,關渡站出口2,547,樓層未顯示或多層樓
房地(土地+建物),武成街９８巷３０號,,54.0,0,12.1,735538,0.0,,25.020373,121.494648,中原站出口,1699,樓層未顯示或多層樓
房地(土地+建物),雙園街６０巷３２弄７號,,64.0,0,25.51,627285,0.0,,25.029734,121.493115,龍山寺站出口2,900,樓層未顯示或多層樓
房地(土地+建物),內湖路二段１７９巷７５弄２號,,50.0,0,49.58,1302629,0.0,,25.085055,121.583591,文德站出口1,739,樓層未顯示或多層樓
房地(土地+建物),師大路８０巷４號,,45.0,0,58.19,1117053,0.0,,25.023247,121.528043,台電大樓站出口3,231,樓層未顯示或多層樓
房地(土地+建物)+車位,民權東路六段２４８巷６８號,,22.0,0,75.1,570937,0.0,,25.067254,121.602472,葫洲站出口2,756,樓層未顯示或多層樓
房地(土地+建物),重慶北路四段２２０巷２１弄１４號,,54.0,0,37.99,467254,0.0,,25.086248,121.511768,劍潭站出口3,1346,樓層未顯示或多層樓
房地(土地+建物),赤峰街４７巷５號,,,0,50.87,1120607,0.0,,25.055349,121.519825,雙連站出口1,251,樓層未顯示或多層樓
房地(土地+建物),重慶北路四段２２０巷２１弄１２號,,54.0,0,37.99,467254,0.0,,25.086211,121.511766,劍潭站出口3,1346,樓層未顯示或多層樓
房地(土地+建物),武成街８０巷２０號,,60.0,0,36.6,546457,0.0,,25.019734,121.494728,中原站出口,1649,樓層未顯示或多層樓
房地(土地+建物),大湖街１６０巷２弄５號,,48.0,0,48.09,2183618,0.0,,25.083277,121.600316,大湖公園站出口2,196,樓層未顯示或多層樓
房地(土地+建物),光復南路３０８巷４３號,,55.0,0,29.92,2335780,0.0,,25.038847,121.555884,國父紀念館站出口2,256,樓層未顯示或多層樓
建物,中山北路七段１９０巷３４之３號,,60.0,0,62.24,415794,0.0,,25.12673,121.535843,石牌站出口1,2451,樓層未顯示或多層樓
房地(土地+建物),福林路３７３號,,54.0,0,5.91,2191122,0.0,,25.099983,121.535307,士林站出口1,1145,樓層未顯示或多層樓
房地(土地+建物),福林路３７３號,,54.0,0,3.38,2187385,0.0,,25.099983,121.535307,士林站出口1,1145,樓層未顯示或多層樓
房地(土地+建物),木柵路四段１５９巷１６弄９號,,31.0,0,102.69,378606,0.0,,25.003195,121.576478,木柵站出口,638,樓層未顯示或多層樓
