交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物)+車位,成功路四段１７８號十八樓之３,18.0,7.0,1,93.34,1087141,17.61,283930.0,25.083356,121.593582,內湖站出口1,81,有電梯_7樓以上
房地(土地+建物)+車位,文德路２１０巷３０弄１００號十樓,10.0,22.0,1,62.01,861710,8.77,0.0,25.076408,121.584807,文德站出口2,217,有電梯_7樓以上
房地(土地+建物),信義路五段１５０巷３３０號十樓之１,10.0,16.0,1,29.83,1005614,0.0,,25.026533,121.570157,象山站出口2,650,有電梯_7樓以上
房地(土地+建物),仁愛路四段３９６號九樓,9.0,45.0,1,36.22,1150152,0.0,,25.03742,121.556468,國父紀念館站出口2,402,有電梯_7樓以上
房地(土地+建物)+車位,潭美街７９號十樓,10.0,12.0,1,61.98,931352,2.93,0.0,25.053471,121.578114,松山站出口5,326,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路四段２０９巷３８號十九樓,19.0,5.0,1,44.13,1027843,9.98,290581.0,25.001988,121.556326,萬芳醫院站出口,323,有電梯_7樓以上
房地(土地+建物),舊莊街一段８５號十三樓之８,13.0,1.0,1,18.83,849817,0.0,,25.040853,121.61914,南港展覽館站出口7,1469,有電梯_7樓以上
房地(土地+建物)+車位,中山北路七段８９號十一樓,11.0,10.0,1,220.8,1393206,63.03,288751.0,25.122019,121.531453,石牌站出口2,1799,有電梯_7樓以上
房地(土地+建物),萬美街二段５７號十樓之１,10.0,29.0,1,10.55,574673,0.0,,25.005138,121.564067,辛亥站出口,710,有電梯_7樓以上
房地(土地+建物),中和街２８號十五樓之８,15.0,25.0,1,18.12,755956,0.0,,25.137951,121.502985,新北投站出口1,122,有電梯_7樓以上
房地(土地+建物)+車位,敦化南路一段３５２號十二樓,12.0,16.0,1,40.68,1375782,7.46,442359.0,25.034564,121.548443,信義安和站出口2,427,有電梯_7樓以上
房地(土地+建物)+車位,臥龍街４３巷５號十樓,10.0,35.0,1,64.82,722004,0.0,,25.02259,121.547297,科技大樓站出口,541,有電梯_7樓以上
房地(土地+建物)+車位,士東路２巷１９號八樓,8.0,21.0,1,55.58,802516,0.0,,25.111089,121.526712,明德站出口1,787,有電梯_7樓以上
房地(土地+建物)+車位,木柵路三段４８巷１弄１號八樓,8.0,28.0,1,51.31,550608,0.0,,24.98774,121.565465,萬芳社區站出口,1241,有電梯_7樓以上
房地(土地+建物)+車位,民權東路六段２９６巷８４號十九樓,19.0,32.0,1,54.66,738172,12.12,160891.0,25.068818,121.610219,東湖站出口1,194,有電梯_7樓以上
房地(土地+建物)+車位,萬大路６２８號十四樓之３,14.0,15.0,1,40.29,578585,12.29,0.0,25.01695,121.495556,橋和站出口,1452,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路二段４１號十八樓之２,18.0,36.0,1,67.34,1090185,10.01,0.0,25.022818,121.536274,台電大樓站出口2,780,有電梯_7樓以上
房地(土地+建物),信義路五段１５０巷３３０號十樓之８,10.0,16.0,1,9.96,1071823,0.0,,25.026533,121.570157,象山站出口2,650,有電梯_7樓以上
房地(土地+建物)+車位,民權東路六段１８５號十樓,10.0,16.0,1,84.51,1004471,19.8,252525.0,25.067997,121.597104,葫洲站出口2,1135,有電梯_7樓以上
房地(土地+建物),大龍街９１巷１２號九樓之１０,9.0,3.0,1,16.97,766048,0.0,,25.06721,121.516986,民權西路站出口5,477,有電梯_7樓以上
房地(土地+建物),成功路二段４８６巷１４號十一樓,11.0,26.0,1,17.29,592798,0.0,,25.073257,121.588879,文德站出口1,685,有電梯_7樓以上
房地(土地+建物),敦化南路二段１２８號十一樓之７,11.0,46.0,1,27.45,1153547,0.0,,25.026092,121.548377,科技大樓站出口,478,有電梯_7樓以上
房地(土地+建物)+車位,福興路１０６巷３５號八樓,8.0,12.0,1,59.38,592058,21.37,187178.0,25.00698,121.549988,辛亥站出口,738,有電梯_7樓以上
房地(土地+建物)+車位,天玉街１３號十二樓,12.0,18.0,1,64.57,862575,19.94,300903.0,25.120728,121.52731,石牌站出口2,1372,有電梯_7樓以上
房地(土地+建物)+車位,天玉街１３號十三樓,13.0,18.0,1,54.6,862575,9.97,300903.0,25.120728,121.52731,石牌站出口2,1372,有電梯_7樓以上
房地(土地+建物)+車位,磺港路１３８號十三樓之１,13.0,10.0,1,58.39,801299,17.83,280426.0,25.129295,121.502156,北投站出口2,355,有電梯_7樓以上
房地(土地+建物),建國南路二段１５１巷１９弄５號十樓,10.0,39.0,1,13.87,648759,0.0,,25.029244,121.538871,大安森林公園站出口5,543,有電梯_7樓以上
房地(土地+建物),建國南路二段１５１巷１９弄５號十樓,10.0,39.0,1,13.87,720844,0.0,,25.029244,121.538871,大安森林公園站出口5,543,有電梯_7樓以上
房地(土地+建物)+車位,研究院路二段９０號八樓之３,8.0,12.0,1,89.99,633612,26.39,189466.0,25.044516,121.615588,南港展覽館站出口7,1089,有電梯_7樓以上
房地(土地+建物)+車位,基河路３１６號八樓,8.0,1.0,1,34.77,1187552,9.66,310559.0,25.093944,121.518867,士林站出口1,715,有電梯_7樓以上
房地(土地+建物)+車位,萬壽路７５巷５１號九樓,9.0,26.0,1,43.95,422752,0.0,,24.985579,121.589263,動物園站出口1,1698,有電梯_7樓以上
房地(土地+建物),福德街３７３巷５１號十六樓,16.0,27.0,1,38.86,581634,0.0,,25.03919,121.592469,後山埤站出口3,1144,有電梯_7樓以上
房地(土地+建物)+車位,興隆路二段２１７巷８之１０號八樓,8.0,28.0,1,41.89,551005,0.0,,25.002132,121.549121,辛亥站出口,863,有電梯_7樓以上
房地(土地+建物)+車位,成福路１９４巷８號八樓之１,8.0,11.0,1,20.93,730904,0.0,,25.040676,121.587818,後山埤站出口3,683,有電梯_7樓以上
房地(土地+建物)+車位,忠誠路一段４８號八樓,8.0,25.0,1,79.96,815161,0.0,,25.104606,121.526771,芝山站出口2,455,有電梯_7樓以上
房地(土地+建物)+車位,承德路二段１０９巷２號十二樓之１,12.0,2.0,1,39.7,1224493,10.38,346821.0,25.056628,121.519076,雙連站出口1,180,有電梯_7樓以上
房地(土地+建物)+車位,向陽路１９６巷８號十二樓之１,12.0,16.0,1,41.45,1006001,13.61,0.0,25.056383,121.594046,昆陽站出口3,645,有電梯_7樓以上
房地(土地+建物)+車位,吳興街６００巷１２８號十樓,10.0,15.0,1,89.03,792599,23.74,0.0,25.018169,121.572235,麟光站出口,1374,有電梯_7樓以上
房地(土地+建物)+車位,木柵路二段１０９巷１００弄８０號十三樓,13.0,28.0,1,34.55,541922,4.14,386473.0,24.992931,121.561953,萬芳醫院站出口,834,有電梯_7樓以上
房地(土地+建物),萬芳路１０５巷３５號九樓,9.0,29.0,1,24.16,728549,0.0,,24.996719,121.563609,萬芳社區站出口,526,有電梯_7樓以上
房地(土地+建物)+車位,康寧路三段１９０巷３５號十樓之８,10.0,17.0,1,33.8,934321,8.0,312500.0,25.068665,121.610794,東湖站出口1,164,有電梯_7樓以上
房地(土地+建物)+車位,北安路８２９號十一樓之８,11.0,14.0,1,26.11,1077813,12.71,212431.0,25.084811,121.556951,劍南路站出口3,104,有電梯_7樓以上
房地(土地+建物),北安路８２９號十一樓之７,11.0,14.0,1,14.17,1115342,0.0,,25.084811,121.556951,劍南路站出口3,104,有電梯_7樓以上
房地(土地+建物)+車位,研究院路二段６１巷１７號十六樓之３,16.0,11.0,1,63.37,799013,15.71,190961.0,25.044702,121.617124,南港展覽館站出口7,1043,有電梯_7樓以上
房地(土地+建物),基河路１２８號九樓之８,9.0,28.0,1,8.51,852008,0.0,,25.088648,121.523185,劍潭站出口1,449,有電梯_7樓以上
房地(土地+建物)+車位,汀州路一段２３９號八樓之１,8.0,8.0,1,21.31,828678,3.37,534125.0,25.026631,121.512621,中正紀念堂站出口2,857,有電梯_7樓以上
房地(土地+建物)+車位,中山北路五段７５７號十二樓,12.0,1.0,1,78.27,988096,11.8,279661.0,25.099306,121.526646,芝山站出口1,506,有電梯_7樓以上
房地(土地+建物)+車位,致遠一路一段１０４巷２號八樓,8.0,17.0,1,35.88,780325,0.0,,25.10972,121.51539,明德站出口3,318,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路一段３號十一樓,11.0,36.0,1,64.23,759773,0.0,,25.018808,121.527605,台電大樓站出口1,133,有電梯_7樓以上
房地(土地+建物)+車位,金湖路６５巷１１號八樓之１,8.0,19.0,1,40.37,1201486,12.48,0.0,25.081806,121.596474,內湖站出口2,277,有電梯_7樓以上
房地(土地+建物),敦化南路二段４６號九樓,9.0,50.0,1,21.16,1152018,0.0,,25.031308,121.548271,信義安和站出口2,452,有電梯_7樓以上
房地(土地+建物)+車位,福興路１０６巷１３號十二樓,12.0,14.0,1,41.91,682336,14.24,140449.0,25.006699,121.549509,辛亥站出口,777,有電梯_7樓以上
房地(土地+建物)+車位,吳興街２８４巷２之１號十樓,10.0,23.0,1,38.17,903937,0.0,,25.026324,121.564169,台北101/世貿站出口3,716,有電梯_7樓以上
房地(土地+建物),復興北路４６０號十一樓,11.0,23.0,1,14.72,1024482,0.0,,25.064425,121.544075,中山國中站出口,400,有電梯_7樓以上
房地(土地+建物),康寧路一段２９０號九樓之３,9.0,33.0,1,12.25,782155,0.0,,25.078357,121.597842,內湖站出口2,671,有電梯_7樓以上
房地(土地+建物),和平東路二段３１１巷４３弄５號十六樓,16.0,40.0,1,38.45,821831,0.0,,25.02585,121.545935,科技大樓站出口,234,有電梯_7樓以上
房地(土地+建物)+車位,文德路１００號十樓之２,10.0,29.0,1,31.88,871359,10.67,0.0,25.078312,121.582809,文德站出口2,180,有電梯_7樓以上
房地(土地+建物),星雲街２１０巷３９號九樓之１,9.0,24.0,1,26.62,882897,0.0,,25.08005,121.597892,內湖站出口2,518,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路四段７７巷９２弄９號十四樓之３,14.0,21.0,1,33.31,805744,10.97,227894.0,25.008779,121.561219,辛亥站出口,587,有電梯_7樓以上
房地(土地+建物)+車位,四維路６６巷２號十五樓,15.0,29.0,1,52.52,1029835,0.0,,25.034614,121.547917,大安站出口6,425,有電梯_7樓以上
房地(土地+建物),建國南路一段３４１巷３號十樓之１,10.0,39.0,1,29.27,1010492,0.0,,25.0345,121.538406,大安森林公園站出口6,265,有電梯_7樓以上
房地(土地+建物)+車位,關渡路２８號十三樓,13.0,21.0,1,54.46,686323,12.5,0.0,25.12145,121.46912,關渡站出口1,482,有電梯_7樓以上
