交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),紫雲街４６號,,,0,64.13,628070,0.0,,25.01571,121.576004,麟光站出口,1781,樓層未顯示或多層樓
房地(土地+建物)+車位,中山北路六段２７７巷４弄５號,,24.0,1,87.05,608822,0.0,,25.110188,121.524649,明德站出口1,562,樓層未顯示或多層樓
房地(土地+建物),行義路１５４巷１９弄９號,,32.0,0,123.91,314753,0.0,,25.130929,121.530053,石牌站出口1,2318,樓層未顯示或多層樓
建物,通化街１２０巷１弄１５號,,29.0,0,37.18,251478,0.0,,25.029575,121.553568,信義安和站出口2A,377,樓層未顯示或多層樓
房地(土地+建物)+車位,民權東路六段１９０巷１１７弄３１號,,16.0,1,67.97,691465,0.0,,25.064386,121.594386,昆陽站出口3,1535,樓層未顯示或多層樓
房地(土地+建物),公路１８９號,,45.0,0,50.63,592542,0.0,,25.132303,121.502681,北投站出口2,379,樓層未顯示或多層樓
房地(土地+建物),瑞光路１２２巷７１弄１０號,,28.0,0,71.88,765133,0.0,,25.070841,121.579034,文德站出口2,1006,樓層未顯示或多層樓
房地(土地+建物),吳興街５８３巷５弄１８號,,33.0,0,23.32,750341,0.0,,25.022181,121.569997,象山站出口2,1134,樓層未顯示或多層樓
房地(土地+建物),信義路四段１９９巷３１號,,48.0,1,23.57,1272763,0.0,,25.035278,121.551757,信義安和站出口1,228,樓層未顯示或多層樓
房地(土地+建物),延平北路五段１３６巷８弄１８號,,58.0,0,27.83,651097,0.0,,25.081541,121.510931,劍潭站出口2,1405,樓層未顯示或多層樓
房地(土地+建物),德行東路３６６號,,37.0,0,95.94,521171,0.0,,25.110536,121.53934,芝山站出口2,1867,樓層未顯示或多層樓
房地(土地+建物)+車位,政大二街１號,,27.0,0,66.91,647841,11.34,220459.0,24.986019,121.584332,動物園站出口2,1422,樓層未顯示或多層樓
房地(土地+建物),環山路二段５０巷７弄４號,,52.0,0,49.58,1038795,0.0,,25.086746,121.573973,港墘站出口2,747,樓層未顯示或多層樓
建物,中南街１８號,,99.0,0,45.29,551995,0.0,,25.054796,121.615196,南港展覽館站出口5,168,樓層未顯示或多層樓
房地(土地+建物),葫蘆街１２號,,64.0,0,32.72,733533,0.0,,25.080102,121.51034,圓山站出口2,1351,樓層未顯示或多層樓
房地(土地+建物),忠誠路二段９８巷５弄１２號,,52.0,0,9.43,1420250,0.0,,25.112982,121.530597,明德站出口1,1223,樓層未顯示或多層樓
房地(土地+建物)+車位,民權東路六段１９１巷１２３號,,26.0,0,154.12,628092,0.0,,25.069544,121.599188,葫洲站出口2,872,樓層未顯示或多層樓
房地(土地+建物)+車位,康寧路三段７５巷２１８弄５２號,,39.0,0,87.88,367550,0.0,,25.075097,121.615006,葫洲站出口1,756,樓層未顯示或多層樓
房地(土地+建物),德行東路８１巷１５弄２７號,,54.0,0,29.26,1127906,0.0,,25.108465,121.52707,芝山站出口2,701,樓層未顯示或多層樓
房地(土地+建物)+車位,行善路７１號,,23.0,0,100.63,695642,0.0,,25.057786,121.578363,松山站出口5,806,樓層未顯示或多層樓
房地(土地+建物),虎林街１０４巷１６０號,,38.0,0,24.18,874515,0.0,,25.042776,121.573696,永春站出口1,245,樓層未顯示或多層樓
房地(土地+建物),吳興街５８３巷１６弄１６號,,59.0,0,18.08,580837,0.0,,25.021437,121.57002,麟光站出口,1194,樓層未顯示或多層樓
房地(土地+建物),永吉路４４３巷３弄７號,,31.0,0,21.12,1054102,0.0,,25.046029,121.578465,後山埤站出口1,346,樓層未顯示或多層樓
房地(土地+建物),武成街９８巷２１號,,62.0,0,8.05,671100,0.0,,25.020276,121.494538,中原站出口,1684,樓層未顯示或多層樓
