交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度
房地(土地+建物),福興路４６巷２弄５號,1.0,,無,20.75,481823,0.0,,25.003351,121.551183
房地(土地+建物),延平北路五段５０號九樓,9.0,9.0,有,43.4,553039,0.0,,25.080185,121.511019
房地(土地+建物),四平街１０７號六樓之１,6.0,20.0,有,11.77,824323,0.0,,25.053745,121.535802
房地(土地+建物)+車位,辛亥路六段３７號三樓之２,3.0,14.0,有,39.96,737850,13.13,0.0,24.989292,121.55355
房地(土地+建物),明德路３３３巷２２號,1.0,49.0,無,28.53,816807,0.0,,25.116449,121.518978
房地(土地+建物)+車位,文湖街２１巷１１８弄１２號五樓之１,5.0,4.0,有,40.31,669882,7.53,225764.0,25.091489,121.559856
房地(土地+建物)+車位,基湖路１３９號七樓,7.0,16.0,有,59.98,1080527,11.86,0.0,25.078309,121.564066
房地(土地+建物)+車位,松信路５０巷５號五樓,5.0,8.0,有,140.67,1066984,55.68,0.0,25.047354,121.571475
房地(土地+建物)+車位,文德路２１０巷３０弄１００號八樓之１,8.0,19.0,有,38.6,787891,8.77,0.0,25.076408,121.584807
房地(土地+建物),龍江路３１８巷２５號五樓,5.0,44.0,無,34.91,515590,0.0,,25.064861,121.539053
房地(土地+建物),臨沂街６５巷２之２號五樓,5.0,38.0,無,28.11,839701,0.0,,25.036202,121.528629
房地(土地+建物),嘉興街１８１巷５號,1.0,53.0,無,32.07,1029064,0.0,,25.026434,121.556829
房地(土地+建物),吳興街６００巷７６弄７４號,1.0,28.0,有,45.76,393390,0.0,,25.018713,121.570272
房地(土地+建物),溫州街５８巷８號二樓,2.0,,無,3.45,696567,0.0,,25.020624,121.532676
房地(土地+建物)+車位,舊莊街一段２１２巷１０號二樓,2.0,6.0,有,29.69,503627,7.65,0.0,25.038286,121.622277
房地(土地+建物),重慶北路三段２０５巷７號,1.0,13.0,有,25.23,939415,0.0,,25.0701,121.514397
房地(土地+建物)+車位,松江路４２８號十三樓,13.0,15.0,有,61.27,956966,11.95,0.0,25.065279,121.532976
房地(土地+建物),文林北路２６４號三樓,3.0,51.0,無,22.31,582637,0.0,,25.109161,121.513283
房地(土地+建物),和平東路三段３０８巷１弄２號三樓,3.0,,無,11.51,521418,0.0,,25.020101,121.55641
房地(土地+建物),涼州街２號五樓之９,5.0,11.0,有,29.38,793090,0.0,,25.060812,121.515804
房地(土地+建物),汀州路三段６０巷２弄２號八樓之１,8.0,21.0,有,46.83,764419,0.0,,25.015412,121.530835
房地(土地+建物),文湖街８１巷３８號,1.0,9.0,有,25.99,807885,0.0,,25.087514,121.564143
房地(土地+建物),石牌路二段３１５巷２號三樓之４,3.0,27.0,有,11.74,596098,0.0,,25.121941,121.523167
房地(土地+建物),和平東路二段３１１巷５５號四樓,4.0,37.0,有,33.63,743409,0.0,,25.026092,121.545405
房地(土地+建物)+車位,福興路１０６巷３１號六樓,6.0,9.0,有,39.22,557012,3.94,0.0,25.006772,121.549899
房地(土地+建物),成功路三段１８７巷２３號,1.0,42.0,無,26.08,766738,0.0,,25.079757,121.591703
房地(土地+建物),羅斯福路三段２６９巷３６之１號二樓,2.0,38.0,有,37.48,693765,0.0,,25.02016,121.530807
房地(土地+建物)+車位,五常街１１巷７號三樓,3.0,2.0,有,59.0,905350,11.51,0.0,25.064767,121.537842
房地(土地+建物),南京東路六段１０５號四樓,4.0,25.0,有,39.28,518885,0.0,,25.055481,121.577318
房地(土地+建物),中央北路二段４０４號四樓之１,4.0,16.0,有,14.38,563368,0.0,,25.138493,121.487541
房地(土地+建物),安泰街８６巷３號三樓,3.0,42.0,無,27.02,407163,0.0,,25.076421,121.616576
房地(土地+建物),逸仙路２６巷９號八樓,8.0,44.0,有,37.95,974848,0.0,,25.039707,121.562159
房地(土地+建物),三民路８０巷５號二樓,2.0,17.0,有,67.8,691422,0.0,,25.056602,121.564336
房地(土地+建物)+車位,松平路６０號五樓,5.0,21.0,有,148.02,1212481,24.3,0.0,25.030356,121.564836
房地(土地+建物),試院路１４４巷４弄４０號五樓,5.0,27.0,有,20.62,436568,0.0,,24.990566,121.548078
房地(土地+建物),南京東路五段２９１巷２９弄２２號五樓之１,5.0,18.0,有,7.24,739380,0.0,,25.052776,121.567028
房地(土地+建物),木新路三段３１０巷６弄４號二樓,2.0,,無,33.08,411183,0.0,,24.981664,121.557077
房地(土地+建物),中山北路六段４１９巷３７號,1.0,37.0,無,41.68,527852,0.0,,25.115007,121.526321
房地(土地+建物)+車位,汀州路四段１９１號十一樓,11.0,11.0,有,77.8,656788,0.0,,25.003649,121.535826
房地(土地+建物),東園街２８巷５０號五樓之８,5.0,29.0,有,10.51,397532,0.0,,25.026496,121.494786
房地(土地+建物)+車位,民權東路六段２８０巷３８號,1.0,31.0,有,52.93,978589,9.5,0.0,25.070897,121.607099
房地(土地+建物),寶清街１０號二樓之６,2.0,25.0,有,12.58,794661,0.0,,25.049948,121.568749
房地(土地+建物),忠誠路一段１６巷２３之１號,1.0,26.0,有,20.29,803525,0.0,,25.105747,121.525856
房地(土地+建物)+車位,健康路３２５巷２５弄１０號十樓,10.0,1.0,有,54.73,1129584,12.06,0.0,25.05638,121.566473
房地(土地+建物)+車位,南港路二段２８６號七樓,7.0,1.0,有,79.03,711818,10.61,0.0,25.05449,121.59608
房地(土地+建物),建民路１５３號,,54.0,無,36.21,1237151,0.0,,25.110554,121.519417
房地(土地+建物),松山路２６０號十一樓,11.0,38.0,有,20.99,709847,0.0,,25.044135,121.577452
房地(土地+建物),內湖路三段６０巷１２弄５９號二樓,2.0,38.0,無,27.2,349216,0.0,,25.088876,121.592011
房地(土地+建物),吉林路４４７巷１２號四樓,4.0,37.0,無,29.97,533945,0.0,,25.067263,121.531058
房地(土地+建物),師大路９２巷８之１號五樓,5.0,39.0,有,16.66,864102,0.0,,25.02255,121.527886
房地(土地+建物),建國北路二段１０９號十一樓,11.0,36.0,有,37.26,730022,0.0,,25.059293,121.53732
房地(土地+建物),永興路一段３７號二樓,2.0,44.0,無,23.46,458131,0.0,,25.139329,121.500179
房地(土地+建物),中坡南路３１巷８號三樓之２,3.0,1.0,有,15.36,982363,0.0,,25.043169,121.583167
房地(土地+建物)+車位,大業路４６０號十三樓,13.0,25.0,有,37.85,597161,0.0,,25.13187,121.496372
房地(土地+建物)+車位,吉林路８巷１２號,1.0,13.0,有,61.89,794941,0.0,,25.049329,121.529416
房地(土地+建物)+車位,麗山街５９號十二樓,12.0,10.0,有,85.86,997211,13.15,0.0,25.081324,121.580526
房地(土地+建物),建民路１２５巷２１號四樓,4.0,43.0,無,29.55,406117,0.0,,25.110261,121.516913
房地(土地+建物),延壽街３３２號九樓之３,9.0,13.0,有,63.99,875168,0.0,,25.056447,121.559878
房地(土地+建物)+車位,汀州路一段３５０號十五樓之２,15.0,2.0,有,56.54,919948,11.7,256410.0,25.026296,121.512699
房地(土地+建物),興隆路三段１３７號十樓之５,10.0,14.0,有,10.94,749861,0.0,,24.998332,121.55878
房地(土地+建物)+車位,民權東路六段１９０巷２１弄３１號二樓,2.0,7.0,無,14.14,784757,3.94,0.0,25.067826,121.59531
