交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度
房地(土地+建物)+車位,市民大道四段３９號二十一樓,21.0,3.0,有,123.83,2150214,24.54,334148.0,25.045789,121.545875
房地(土地+建物)+車位,公路４０６號十樓之１,10.0,25.0,有,44.72,720410,8.91,0.0,25.132303,121.502681
房地(土地+建物),民生西路４５巷５弄１９號三樓,3.0,55.0,無,18.25,569964,0.0,,25.058472,121.521472
房地(土地+建物),愛國東路７４巷２５號五樓之１,5.0,15.0,有,12.91,1452286,0.0,,25.033145,121.519024
房地(土地+建物),新民路１巷８號七樓之９,7.0,42.0,有,23.63,347087,0.0,,25.141353,121.507536
房地(土地+建物),景雲街２２之１號四樓,4.0,42.0,有,29.93,524622,0.0,,25.019405,121.573759
房地(土地+建物),中華路二段３１３巷６號三樓,3.0,,無,10.62,423699,0.0,,25.028159,121.506162
房地(土地+建物)+車位,三合街二段４５６號十七樓之１,17.0,25.0,有,25.4,661473,0.0,,25.127014,121.5021
房地(土地+建物),信義路二段８６巷１６號五樓,5.0,41.0,無,17.4,804608,0.0,,25.033814,121.526193
房地(土地+建物),研究院路三段８６巷２７弄４號二樓,2.0,44.0,無,24.84,442758,0.0,,25.035189,121.613341
房地(土地+建物)+車位,吉林路１０８巷６號二樓,2.0,10.0,有,59.48,849901,3.13,638978.0,25.053301,121.52946
房地(土地+建物),木柵路四段１５９巷１７４之１號二樓,2.0,,無,26.28,323463,0.0,,25.004211,121.577518
房地(土地+建物),研究院路三段８６巷８號三樓,3.0,43.0,無,14.69,374497,0.0,,25.034481,121.613321
房地(土地+建物),新民路５１之１２號,1.0,46.0,無,18.37,381102,0.0,,25.14015,121.510598
房地(土地+建物),同德路８５巷１６號三樓,3.0,39.0,有,33.29,692699,0.0,,25.046616,121.5854
房地(土地+建物),星雲街１６８巷４３號六樓之１,6.0,26.0,有,9.14,771460,0.0,,25.080177,121.59724
房地(土地+建物),石牌路二段３１５巷２號五樓之６,5.0,28.0,有,11.45,681066,0.0,,25.121941,121.523167
房地(土地+建物),內湖路一段４３號三樓,3.0,42.0,無,38.87,432264,0.0,,25.085184,121.559209
房地(土地+建物),內湖路一段９１巷６３號三樓,3.0,40.0,無,34.76,489065,0.0,,25.089035,121.562593
房地(土地+建物),錦州街２１６號,1.0,55.0,無,18.2,1483403,0.0,,25.060304,121.531537
房地(土地+建物)+車位,重慶南路三段６３號三樓之１,3.0,10.0,有,31.79,707777,0.0,,25.026572,121.516316
房地(土地+建物),錦州街２１６號二樓,2.0,55.0,無,20.85,700196,0.0,,25.060304,121.531537
房地(土地+建物),重慶北路四段８１號四樓之９,4.0,44.0,有,22.35,572664,0.0,,25.081594,121.512437
房地(土地+建物),石牌路二段３１５巷２８弄１６號七樓之１,7.0,14.0,有,13.24,755436,0.0,,25.123622,121.52316
房地(土地+建物),錦州街２１６號三樓,3.0,55.0,無,22.0,699879,0.0,,25.060304,121.531537
房地(土地+建物),民權東路三段１０６巷２１弄１８號五樓,5.0,40.0,有,43.41,849481,0.0,,25.059385,121.545744
房地(土地+建物),中華路二段４５５號三樓之５,3.0,46.0,有,13.9,575671,0.0,,25.024876,121.509704
房地(土地+建物)+車位,大業路４６２之６號三樓,3.0,26.0,有,47.21,621212,0.0,,25.133303,121.495861
房地(土地+建物)+車位,北安路６３０巷２５弄１６號二樓之１,2.0,25.0,有,68.36,517709,0.0,,25.083603,121.54991
房地(土地+建物),士東路２６６巷１２弄４之１號二樓,2.0,41.0,無,32.51,553734,0.0,,25.111903,121.536402
房地(土地+建物),廈門街８１巷９號三樓,3.0,39.0,無,21.01,561756,0.0,,25.024534,121.517974
建物,木柵路一段２３８巷２１號,,,無,12.92,386914,0.0,,24.987094,121.553644
房地(土地+建物),星雲街２６號五樓,5.0,39.0,無,31.31,454738,0.0,,25.078094,121.590802
房地(土地+建物),新生北路二段２７巷６號三樓,3.0,49.0,無,29.57,561392,0.0,,25.053654,121.528077
房地(土地+建物)+車位,石牌路一段１６６巷２６號二樓,2.0,8.0,有,25.96,696524,0.0,,25.114005,121.51373
房地(土地+建物),金山南路二段１８５巷３號,1.0,52.0,無,35.99,833673,0.0,,25.028475,121.526676
房地(土地+建物),民權東路三段１６０巷２號十二樓之１,12.0,42.0,有,14.56,824215,0.0,,25.06169,121.547688
房地(土地+建物)+車位,重陽路４９１號四樓,4.0,14.0,有,38.35,915837,12.14,0.0,25.061108,121.612054
房地(土地+建物),港墘路２７巷９號四樓,4.0,39.0,無,34.24,481851,0.0,,25.082576,121.578843
房地(土地+建物)+車位,環河北路三段１１９號十三樓,13.0,19.0,有,83.85,626751,17.24,0.0,25.085096,121.506234
房地(土地+建物),社中街２５０巷１號五樓,5.0,41.0,無,36.46,353810,0.0,,25.091975,121.507471
房地(土地+建物),仁愛路四段４１３號九樓,9.0,41.0,有,34.94,1184360,0.0,,25.038002,121.556185
房地(土地+建物)+車位,長春路２５８巷１５號二樓之１,2.0,19.0,有,118.48,850466,33.23,0.0,25.054068,121.539263
房地(土地+建物),八德路四段２４５巷３２弄３５號二樓之３,2.0,31.0,有,18.71,855176,0.0,,25.049813,121.563552
房地(土地+建物),康樂街４８巷１６之１號二樓,2.0,37.0,無,27.5,490851,0.0,,25.069081,121.617569
房地(土地+建物),新興路１６６號二樓,2.0,41.0,無,22.8,298254,0.0,,25.138672,121.486751
房地(土地+建物),木新路二段２１１巷６弄１４號二樓,2.0,41.0,無,33.73,418004,0.0,,24.983111,121.567476
房地(土地+建物),敦化南路一段１００巷３９號三樓,3.0,39.0,有,36.46,941925,0.0,,25.046117,121.54731
房地(土地+建物)+車位,延壽街３３０巷１６弄５號五樓之１,5.0,14.0,有,63.87,840774,0.0,,25.055134,121.559328
房地(土地+建物),中山北路七段１４１巷１４弄６號四樓,4.0,43.0,無,33.75,474076,0.0,,25.12399,121.530932
房地(土地+建物),大安路一段２０２號三樓之９,3.0,14.0,有,10.12,1629684,0.0,,25.034943,121.5459
房地(土地+建物),內湖路一段２８５巷６１弄３號三樓,3.0,44.0,無,24.7,601163,0.0,,25.084022,121.567132
房地(土地+建物),成功路四段２２３巷１５弄１１號三樓之１,3.0,30.0,有,23.77,744623,0.0,,25.08373,121.596114
房地(土地+建物),富民路１５５巷３３號六樓之２,6.0,39.0,有,23.69,472678,0.0,,25.018462,121.500915
房地(土地+建物),通安街１０８巷４號三樓,3.0,23.0,有,45.8,799101,0.0,,25.029501,121.552787
房地(土地+建物),民生東路三段１１３巷２５弄３１號五樓,5.0,40.0,有,46.91,767450,0.0,,25.059327,121.547193
房地(土地+建物),義方街４３號四樓,4.0,38.0,無,32.04,337695,0.0,,25.141459,121.500953
房地(土地+建物),木新路三段５０巷２６號四樓,4.0,40.0,無,30.82,441291,0.0,,24.983699,121.563893
房地(土地+建物),德行東路９０巷３３弄２號二樓,2.0,44.0,無,25.57,679776,0.0,,25.105966,121.528248
房地(土地+建物)+車位,政大二街２６０巷２３號二樓,2.0,12.0,有,29.6,536561,5.19,289017.0,24.98783,121.586619
房地(土地+建物),樟新街８巷２０號八樓,8.0,29.0,有,38.95,600773,0.0,,24.979607,121.55415
房地(土地+建物),迪化街二段２９６巷５號三樓,3.0,48.0,無,26.57,560125,0.0,,25.071458,121.511863
房地(土地+建物),安康路４３４巷２０弄１２號三樓,3.0,27.0,有,11.89,705381,0.0,,25.066761,121.615404
房地(土地+建物),環山路一段１３６巷１４弄２號,1.0,46.0,無,20.35,864901,0.0,,25.087569,121.568452
房地(土地+建物),光復北路６０巷１９之５號,1.0,39.0,有,37.1,842420,0.0,,25.049699,121.557015
房地(土地+建物),葫蘆街２９巷３２號五樓,5.0,40.0,無,22.44,423305,0.0,,25.079049,121.509887
房地(土地+建物),一德街１０巷１３號三樓,3.0,42.0,無,24.38,381437,0.0,,25.129023,121.468901
建物,羅斯福路六段２６巷３號三樓,3.0,55.0,無,22.63,331463,0.0,,24.999967,121.539303
房地(土地+建物),公路２９８號三樓,3.0,38.0,無,23.93,357236,0.0,,25.132303,121.502681
房地(土地+建物),北安路８２９號四樓之８,4.0,12.0,有,13.45,936653,0.0,,25.084811,121.556951
房地(土地+建物),溫州街７４巷４弄２號七樓之３,7.0,44.0,有,37.11,727613,0.0,,25.019861,121.532412
房地(土地+建物),文德路６６巷３２弄６號四樓,4.0,39.0,有,38.91,596286,0.0,,25.07672,121.581195
房地(土地+建物),社中街３７３號四樓,4.0,46.0,無,32.96,318535,0.0,,25.092144,121.503621
房地(土地+建物),光復北路２１０巷３５號,1.0,21.0,有,36.03,809796,0.0,,25.05534,121.553611
房地(土地+建物),試院路１４４巷４弄１６號,1.0,28.0,有,18.88,405212,0.0,,24.990719,121.547769
房地(土地+建物),信義路六段３１號二樓,2.0,32.0,有,45.76,685110,0.0,,25.03473,121.575911
房地(土地+建物),興隆路二段１５３巷２弄８號,1.0,54.0,無,35.41,649579,0.0,,25.000883,121.548711
房地(土地+建物),潮州街８４號七樓之２,7.0,14.0,有,13.2,1244595,0.0,,25.02909,121.524552
房地(土地+建物),吳興街６００巷１００弄２７號三樓,3.0,33.0,無,27.03,458829,0.0,,25.017887,121.572025
房地(土地+建物)+車位,行義路１７０巷２７弄３號三樓,3.0,9.0,有,65.06,756518,10.36,0.0,25.131523,121.52962
房地(土地+建物)+車位,星雲街１６８巷７號十樓之１,10.0,27.0,有,37.98,500279,0.0,,25.080667,121.596738
房地(土地+建物),永吉路４４３巷１１弄９號五樓,5.0,39.0,無,32.12,398513,0.0,,25.046708,121.578829
房地(土地+建物),承德路四段４０巷１３７號五樓之１０,4.0,52.0,無,10.77,538584,0.0,,25.081868,121.520182
