交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度
房地(土地+建物),內湖路一段１巷３弄９號五樓,5.0,45.0,無,28.75,700011,0.0,,25.085415,121.558644
房地(土地+建物),新生北路二段７３號七樓之２,7.0,46.0,有,5.38,965736,0.0,,25.056717,121.52786
房地(土地+建物)+車位,成功路四段１７８號十八樓之３,18.0,7.0,有,93.34,1087141,17.61,283930.0,25.083356,121.593582
房地(土地+建物),承德路四段６巷５３號四樓,4.0,58.0,無,4.0,333135,0.0,,25.079891,121.5197
房地(土地+建物),松江路７７巷１０號六樓,6.0,48.0,有,77.57,850812,0.0,,25.049658,121.534131
房地(土地+建物),和平西路三段３８４號三樓之１８,3.0,44.0,有,10.04,542831,0.0,,25.035338,121.491277
房地(土地+建物)+車位,金山南路一段５９號十四樓,14.0,2.0,有,102.49,1707470,21.32,393996.0,25.03875,121.528678
房地(土地+建物),大度路三段２０５號六樓,6.0,34.0,有,27.54,609965,0.0,,25.122798,121.468173
房地(土地+建物)+車位,星雲街１６８巷１１號,1.0,29.0,有,57.21,576774,0.0,,25.080725,121.596963
房地(土地+建物),市民大道五段３３之２號,1.0,50.0,無,2.81,480907,0.0,,25.045943,121.559473
房地(土地+建物),永吉路１２０巷４３弄１之１號四樓,4.0,51.0,無,26.17,840585,0.0,,25.044364,121.570404
房地(土地+建物),尊賢街２３０巷２０號三樓,3.0,50.0,無,30.65,521984,0.0,,25.116271,121.508702
房地(土地+建物),永吉路２００巷６１弄１０號三樓,3.0,40.0,無,23.3,641326,0.0,,25.043926,121.573052
房地(土地+建物),南京東路三段３３５巷１３號五樓之１,5.0,39.0,有,19.38,1021452,0.0,,25.052938,121.547499
房地(土地+建物),基隆路一段１１巷１０弄１２號五樓,5.0,48.0,無,23.76,475623,0.0,,25.048742,121.569936
房地(土地+建物),永吉路２００巷６１弄８號三樓,3.0,40.0,無,24.62,647509,0.0,,25.043927,121.573013
房地(土地+建物),吉林路３５２號四樓,4.0,50.0,無,24.15,848806,0.0,,25.063677,121.530209
房地(土地+建物),大湖山莊街２１９巷３４弄３號五樓之１,5.0,33.0,有,13.15,759130,0.0,,25.089614,121.599568
房地(土地+建物)+車位,環河南路一段１０１號七樓之１,7.0,11.0,有,105.9,721216,22.02,0.0,25.04347,121.5009
房地(土地+建物),和平西路三段３８４號六樓之１５,6.0,44.0,有,6.81,513777,0.0,,25.035338,121.491277
房地(土地+建物),自強街５巷１００弄５之２號二樓,2.0,52.0,無,15.29,706282,0.0,,25.111986,121.511579
房地(土地+建物)+車位,松平路８０號三樓,3.0,17.0,有,23.75,951609,0.0,,25.030347,121.566341
房地(土地+建物),東明街６２號四樓,4.0,41.0,無,15.41,454270,0.0,,25.054989,121.602999
房地(土地+建物)+車位,大湖山莊街２３巷３４之１號三樓,3.0,37.0,無,55.64,687274,9.08,0.0,25.086047,121.602885
房地(土地+建物),致遠一路一段７８號五樓,5.0,11.0,有,15.91,958246,0.0,,25.109082,121.515681
房地(土地+建物)+車位,文德路２１０巷３０弄１００號十樓,10.0,22.0,有,62.01,861710,8.77,0.0,25.076408,121.584807
房地(土地+建物),信義路五段１５０巷３３０號十樓之１,10.0,16.0,有,29.83,1005614,0.0,,25.026533,121.570157
房地(土地+建物),秀明路一段１８５巷３４弄３１號,,34.0,無,24.79,564816,0.0,,24.992775,121.56949
房地(土地+建物),信義路六段１２巷４０號二樓,2.0,46.0,無,26.98,722099,0.0,,25.031991,121.574886
房地(土地+建物)+車位,奇岩路１０號二樓之５,2.0,12.0,有,36.2,544180,11.4,0.0,25.133726,121.507402
房地(土地+建物),承德路四段４０巷１３７號三樓之１３,2.0,54.0,無,10.77,612871,0.0,,25.081868,121.520182
房地(土地+建物)+車位,瑞安街１４９巷８號七樓,7.0,1.0,有,106.86,1575026,33.21,361337.0,25.026292,121.539783
房地(土地+建物),雙園街４９巷２５號二樓,2.0,43.0,無,18.83,584156,0.0,,25.030134,121.494845
房地(土地+建物),酒泉街１４０號四樓之１,4.0,53.0,無,22.4,781247,0.0,,25.071988,121.51242
房地(土地+建物),和平東路三段３９１巷７弄２２號,1.0,51.0,無,18.01,971475,0.0,,25.019985,121.558968
房地(土地+建物),吳興街６００巷５５弄５號二樓,2.0,45.0,無,29.25,437627,0.0,,25.019933,121.570553
房地(土地+建物),港墘路１２７巷１６弄１１號三樓,3.0,28.0,有,13.49,937839,0.0,,25.077919,121.577385
房地(土地+建物),萬大路３２９巷２７弄１７號五樓,5.0,44.0,無,31.79,408899,0.0,,25.024201,121.501273
房地(土地+建物)+車位,新富街５９號三樓之２,3.0,15.0,有,98.88,884729,21.03,0.0,25.059294,121.584072
房地(土地+建物)+車位,忠孝東路五段２３６巷６０號六樓,6.0,14.0,有,230.21,2100018,39.79,603167.0,25.037177,121.571413
房地(土地+建物),南京東路五段２９１巷１９弄３９號二樓,2.0,30.0,有,12.52,876965,0.0,,25.052515,121.567517
房地(土地+建物),仁愛路四段３９６號九樓,9.0,45.0,有,36.22,1150152,0.0,,25.03742,121.556468
房地(土地+建物),指南路二段４５巷８弄５號三樓,3.0,49.0,無,23.49,574735,0.0,,24.988864,121.575446
房地(土地+建物)+車位,辛亥路四段７７巷１９號,1.0,28.0,有,45.01,555371,0.0,,25.007729,121.5598
房地(土地+建物),重慶北路三段１５２巷１４號四樓,4.0,40.0,無,22.19,608428,0.0,,25.068079,121.512957
房地(土地+建物),民權東路六段４７巷１０弄１２號四樓,4.0,41.0,無,26.84,596108,0.0,,25.069507,121.58722
房地(土地+建物)+車位,新富街１６０號四樓,4.0,13.0,有,118.21,977488,38.41,0.0,25.060854,121.585665
房地(土地+建物)+車位,嘉興街３１２號三樓之１,3.0,31.0,有,29.45,577164,0.0,,25.023475,121.554634
房地(土地+建物),信義路五段１５０巷４５０號,1.0,42.0,無,26.43,590252,0.0,,25.023856,121.571972
房地(土地+建物),吳興街６００巷１０２號三樓,3.0,32.0,無,34.04,499453,0.0,,25.018528,121.571417
房地(土地+建物)+車位,潭美街７９號十樓,10.0,12.0,有,61.98,931352,2.93,0.0,25.053471,121.578114
