交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度
房地(土地+建物),民生東路三段１１３巷６弄１號六樓,6.0,44.0,有,50.04,655443,0.0,,25.058577,121.546047
房地(土地+建物),金龍路２２２巷４號十一樓,11.0,30.0,有,30.82,619045,0.0,,25.087846,121.586284
房地(土地+建物),溫州街７４巷３弄２號六樓之４,6.0,45.0,有,11.36,1116012,0.0,,25.019546,121.532386
房地(土地+建物),連雲街７７號二樓,2.0,39.0,無,24.64,945555,0.0,,25.034407,121.530157
房地(土地+建物)+車位,汀州路四段２０３號五樓,5.0,13.0,有,19.13,627185,0.0,,25.003118,121.535842
房地(土地+建物),虎林街１２０巷１４號,,56.0,無,28.1,1085202,0.0,,25.042078,121.57629
房地(土地+建物),青年路１０６巷３０弄２８號三樓,3.0,49.0,無,9.43,530114,0.0,,25.02304,121.502305
房地(土地+建物)+車位,松仁路３０８巷９３號,1.0,10.0,有,46.23,1008115,2.21,0.0,25.020398,121.570782
房地(土地+建物),松仁路２５３巷３弄５號四樓,4.0,55.0,無,30.66,636042,0.0,,25.025888,121.569358
房地(土地+建物),仁愛路二段９巷１７號四樓之６,4.0,15.0,有,12.94,1313968,0.0,,25.03876,121.525889
房地(土地+建物),內湖路三段６０巷１２弄１０號三樓,3.0,44.0,無,30.11,553954,0.0,,25.088109,121.59173
房地(土地+建物),東園街６６巷２４弄８號十一樓之１,11.0,7.0,有,32.75,610600,0.0,,25.024802,121.495488
房地(土地+建物),大龍街４４號,,,無,32.88,1855135,0.0,,25.064688,121.515944
房地(土地+建物),敦化北路１４５巷２３弄３號三樓之１,3.0,3.0,有,20.65,1344974,0.0,,25.053206,121.550469
房地(土地+建物),農安街７７巷９弄２２號二樓,2.0,56.0,無,14.65,682450,0.0,,25.066137,121.529122
房地(土地+建物)+車位,東明街２８號三樓,3.0,15.0,有,76.8,1099431,23.45,0.0,25.055676,121.604162
房地(土地+建物)+車位,天母西路５０巷２５號五樓,5.0,23.0,有,91.97,674163,0.0,,25.117557,121.52485
房地(土地+建物),麗山街６２巷６號四樓,4.0,46.0,無,28.38,581323,0.0,,25.08142,121.580006
房地(土地+建物)+車位,市民大道六段１０８號四樓之３,4.0,2.0,有,14.69,808748,0.0,,25.049134,121.57254
房地(土地+建物)+車位,石牌路一段１６６巷２８之１號五樓,5.0,9.0,有,22.17,960890,3.85,571429.0,25.11399,121.513763
房地(土地+建物),興隆路四段２９巷４弄１號六樓之１,6.0,25.0,有,16.51,787526,0.0,,24.990806,121.56007
房地(土地+建物),林森南路９９巷６號四樓,4.0,38.0,無,24.71,760975,0.0,,25.037815,121.521932
房地(土地+建物),寶清街８９巷２５號三樓,3.0,52.0,無,22.3,745406,0.0,,25.052435,121.568814
房地(土地+建物)+車位,德行東路７４巷１５弄２號三樓,3.0,37.0,有,6.13,811347,0.0,,25.106497,121.527479
房地(土地+建物),指南路三段４３號五樓,5.0,40.0,無,37.1,343623,0.0,,24.984377,121.579931
房地(土地+建物),至善路二段１２１號,1.0,37.0,無,27.5,654540,0.0,,25.098657,121.54699
房地(土地+建物),羅斯福路五段１７０巷１１號,1.0,46.0,無,30.22,916712,0.0,,25.00456,121.53768
房地(土地+建物)+車位,承德路七段１６６號十八樓,18.0,1.0,有,89.22,870051,15.08,364721.0,25.113407,121.508698
房地(土地+建物),中山北路七段１９０巷２７號六樓,6.0,44.0,有,41.24,533505,0.0,,25.125946,121.535242
房地(土地+建物),承德路七段２８０巷３８號四樓,4.0,53.0,無,25.74,505116,0.0,,25.116663,121.507131
房地(土地+建物)+車位,北安路８２９號十三樓之２,13.0,13.0,有,25.86,522089,0.0,,25.084811,121.556951
房地(土地+建物),重慶北路四段１９０巷５弄５號,1.0,55.0,無,26.33,569767,0.0,,25.085048,121.512016
房地(土地+建物),和平東路三段２９８號二樓,2.0,51.0,無,19.38,628966,0.0,,25.020585,121.556292
房地(土地+建物)+車位,興隆路二段３０１巷２２號七樓之３,7.0,29.0,有,25.79,600691,0.0,,25.002908,121.554085
房地(土地+建物)+車位,幽雅路７號十二樓之９,12.0,15.0,有,30.57,496474,14.05,0.0,25.137316,121.513129
房地(土地+建物),士東路５８號五樓,5.0,38.0,有,38.37,854923,0.0,,25.111899,121.52807
房地(土地+建物),新生南路二段１６巷２號二樓之１,2.0,16.0,有,13.86,1352762,0.0,,25.032586,121.532457
房地(土地+建物)+車位,辛亥路四段７７巷９２弄１２號五樓,5.0,29.0,有,63.55,443730,0.0,,25.008238,121.561326
房地(土地+建物),吳興街５８３巷２０弄１８號,,62.0,無,10.91,687179,0.0,,25.02124,121.569818
房地(土地+建物),和平東路三段３００號二樓,2.0,51.0,無,19.38,628966,0.0,,25.020565,121.556314
房地(土地+建物),民權東路六段１９１巷６２弄１０號,,17.0,有,116.08,585782,0.0,,25.069382,121.598116
房地(土地+建物),新興路７０巷１號四樓,4.0,30.0,無,56.74,299629,0.0,,25.141068,121.487977
房地(土地+建物),福興路８１之１號五樓,5.0,28.0,有,16.91,586645,0.0,,25.004302,121.549728
房地(土地+建物),重慶北路四段２４４號,3.0,54.0,無,28.54,455439,0.0,,25.08654,121.511331
房地(土地+建物),重慶北路四段２４４號,2.0,54.0,無,28.54,455439,0.0,,25.08654,121.511331
房地(土地+建物),重慶北路四段２４４號,4.0,54.0,無,28.54,455439,0.0,,25.08654,121.511331
房地(土地+建物),安居街８４巷１４號二樓,2.0,47.0,無,28.67,662763,0.0,,25.019786,121.552487
房地(土地+建物),天祥路４８巷５號,1.0,56.0,無,3.12,801309,0.0,,25.061858,121.520739
房地(土地+建物),行義路１８６巷５５號二樓,2.0,39.0,有,12.99,398789,0.0,,25.133311,121.530301
房地(土地+建物),知行路５巷１號二樓,2.0,7.0,有,33.0,348456,0.0,,25.118279,121.46636
房地(土地+建物),景華街１２１巷１７弄３號三樓,3.0,48.0,無,30.48,610179,0.0,,24.996773,121.546009
房地(土地+建物),士東路８９巷１５之２號三樓,3.0,39.0,無,36.28,587120,0.0,,25.112775,121.528529
房地(土地+建物),環山路一段５９巷５弄６號四樓,4.0,46.0,無,22.67,608671,0.0,,25.085667,121.567701
房地(土地+建物),金湖路３４７巷６６號三樓,3.0,17.0,有,38.74,890527,0.0,,25.074189,121.599824
房地(土地+建物),星雲街１６８巷４３號二十一樓之２,21.0,27.0,有,17.86,760376,0.0,,25.080177,121.59724
房地(土地+建物)+車位,泉源路３９之４５號十一樓,11.0,39.0,有,50.08,345901,11.05,180995.0,25.141441,121.50715
房地(土地+建物)+車位,明水路５２６巷５２號七樓之１,7.0,20.0,有,98.33,1302672,23.19,258732.0,25.07888,121.553976
房地(土地+建物)+車位,樂群二路２６６巷１１２號三樓,3.0,23.0,有,123.41,1439560,23.38,299401.0,25.076921,121.562207
房地(土地+建物)+車位,星雲街２１０巷３０號五樓,5.0,10.0,有,36.23,893261,3.12,641026.0,25.079432,121.597866
房地(土地+建物)+車位,建國南路二段６７號二十六樓,26.0,5.0,有,171.92,2793763,25.4,590551.0,25.031353,121.538186
房地(土地+建物)+車位,萬美街二段７７號二樓,3.0,34.0,有,75.62,314794,9.93,201410.0,25.004621,121.563901
房地(土地+建物)+車位,重慶南路三段４３號二十一樓,21.0,2.0,有,87.61,1578004,24.25,338144.0,25.027784,121.516205
房地(土地+建物),文湖街２１巷７號四樓,4.0,35.0,無,40.55,594371,0.0,,25.08707,121.560197
房地(土地+建物),新生北路二段１４１巷２７號三、四樓,3.0,57.0,無,36.13,636634,0.0,,25.061682,121.528803
房地(土地+建物),內湖路二段２５３巷６弄７號五樓,5.0,38.0,無,26.93,616309,0.0,,25.082623,121.589213
房地(土地+建物)+車位,通北街１２２號,1.0,25.0,有,45.43,569197,0.0,,25.083821,121.537858
房地(土地+建物),金龍路４７巷１４弄１７號二樓,2.0,20.0,有,25.21,898550,0.0,,25.085907,121.593424
房地(土地+建物),福德街２２０號三樓,3.0,47.0,無,23.79,693522,0.0,,25.038459,121.584457
房地(土地+建物),敦化北路４巷２１號,1.0,38.0,有,36.26,1185958,0.0,,25.050087,121.54635
房地(土地+建物),仁愛路四段５０之２９號,5.0,53.0,有,15.41,1550340,0.0,,25.037652,121.547449
房地(土地+建物)+車位,政大二街１０６號五樓,5.0,15.0,有,48.15,666373,10.18,245580.0,24.987492,121.584267
房地(土地+建物),潭美街１３１號三樓,3.0,42.0,無,42.38,448323,0.0,,25.053884,121.580388
房地(土地+建物),康寧路一段２９２號十一樓之４,11.0,32.0,有,14.38,785768,0.0,,25.078247,121.597872
房地(土地+建物),內湖路一段９１巷２９號,1.0,40.0,無,28.57,525006,0.0,,25.087002,121.562831
房地(土地+建物),民權東路二段１５２巷５弄１號四樓,4.0,51.0,無,33.74,654401,0.0,,25.061461,121.534742
房地(土地+建物)+車位,三合街一段６９號四樓,4.0,9.0,有,91.88,887441,22.25,233708.0,25.126712,121.505626
房地(土地+建物)+車位,安和路二段２０９巷８號四樓,4.0,26.0,有,61.14,926266,15.26,327654.0,25.02625,121.550642
房地(土地+建物)+車位,金山南路二段２０３巷３號二樓,2.0,18.0,有,52.09,1395187,7.74,452196.0,25.028086,121.526667
房地(土地+建物),雙園街４０巷６號三樓,3.0,51.0,無,26.13,413367,0.0,,25.029567,121.494027
房地(土地+建物),明德路１５０巷９號三樓,3.0,49.0,無,27.94,662160,0.0,,25.110516,121.521205
房地(土地+建物),延平北路五段２３１巷３６號二樓,2.0,51.0,無,22.82,482085,0.0,,25.08423,121.508539
房地(土地+建物),興隆路二段９６巷２號三樓之３,3.0,42.0,有,37.82,589564,0.0,,25.000652,121.549815
房地(土地+建物),臨沂街３２巷２號五樓之６,5.0,9.0,有,12.62,1321682,0.0,,25.039658,121.529531
房地(土地+建物),長泰街７３巷６弄２０號四樓,4.0,47.0,無,25.14,472597,0.0,,25.022256,121.499862
房地(土地+建物)+車位,內湖路二段１０３巷１８號十七樓,17.0,6.0,有,204.71,1579893,72.38,290135.0,25.080553,121.582045
房地(土地+建物)+車位,康寧路三段１８９巷１５９弄２５號,1.0,35.0,無,68.74,603503,10.12,0.0,25.075296,121.611774
房地(土地+建物),光復南路５８巷３７號三樓,3.0,54.0,無,21.57,857744,0.0,,25.045463,121.554901
房地(土地+建物),經貿二路１５７巷３６弄８８號七樓之７,7.0,15.0,有,15.27,949563,0.0,,25.061676,121.614792
房地(土地+建物)+車位,復興四路３０號三樓,3.0,12.0,有,22.34,541639,0.0,,25.142568,121.500742
房地(土地+建物),石牌路二段３６２號,1.0,46.0,有,42.24,646245,0.0,,25.123477,121.525533
