鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
大同區,房地(土地+建物),環河北路一段７３號十樓之３,6.08,住,,,1130502,土地5建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,710630.0,46.65,2,1,1,有,有,8980000,192497.0,,0.0,0,其他增建；,RPPNMLPKNHJGFBA57EA,36.54,0.0,5.37,有,,42.0
信義區,房地(土地+建物),松隆路７３巷５號四樓,19.8,住,,,1130508,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,620918.0,65.62,0,0,0,無,無,11400000,173728.0,,0.0,0,,RPPNMLQKNHJGFDA87EA,65.62,0.0,0.0,無,,51.0
北投區,房地(土地+建物)+車位,中央北路三段４０巷１９弄１１號八樓之２,19.33,住,,,1130513,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,970702.0,97.54,2,2,1,有,有,16000000,182712.0,其他,18.18,1500000,陽台外推；,RPXOMLKLNHJGFEA28DA,44.62,2.72,6.53,有,,16.0
北投區,房地(土地+建物),泉源路３６之２２號四樓之３,12.16,住,,,1130502,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,780921.0,79.0,1,1,1,有,有,8600000,108861.0,,0.0,0,陽台外推；,RPSOMLLLNHJGFEA87DA,56.62,1.12,5.93,有,54.0,35.0
士林區,房地(土地+建物),士東路２７６號四樓,14.93,住,,,1130505,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,971014.0,65.44,1,1,1,有,有,16180000,247249.0,,0.0,0,其他增建；,RPXNMLLLNHJGFEA38EA,32.28,7.96,3.69,有,55.0,16.0
南港區,房地(土地+建物),合順街８巷５弄２８號二樓,8.5,住,,,1130507,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,,30.8,3,1,1,有,無,2600000,84416.0,,0.0,0,,RPQNMLKKNHJGFDA27DA,30.8,0.0,0.0,無,,
南港區,房地(土地+建物),玉成街５２巷７號三樓,21.18,住,,,1130504,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,721220.0,79.46000000000001,3,2,1,有,無,16750000,210798.0,,0.0,0,,RPQOMLLLNHJGFDA57DA,61.3,0.0,12.12,無,,40.0
北投區,房地(土地+建物),中央北路二段４２巷１１弄１６號二樓,27.52,住,,,1130507,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,810602.0,98.49,3,2,1,有,無,16800000,170576.0,,0.0,0,陽台外推；,RPXNMLOKNHJGFEA48DA,70.19,1.34,9.48,有,58.0,32.0
士林區,房地(土地+建物),光華路２６巷１之２號三樓,51.93,住,,,1130508,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,661108.0,143.08,8,0,8,有,無,15360000,107353.0,,0.0,0,陽台外推；,RPPOMLMLNHJGFEA77EA,131.5,0.0,11.58,無,,47.0
內湖區,房地(土地+建物),康寧路三段９９巷２號五樓之１,39.25,住,,,1130501,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,831202.0,123.69,3,2,2,有,有,25500000,206161.0,,0.0,0,其他增建；,RPOOMLQJNHJGFCA57DA,76.59,0.5,14.28,有,,29.0
內湖區,房地(土地+建物)+車位,江南街９６巷７號四樓之１,13.71,住,,,1130503,土地1建物1車位1,四層，電梯樓梯間,十六層,住宅大樓(11層含以上有電梯),住家用,851113.0,149.63,2,1,1,有,有,28200000,188465.0,坡道平面,0.0,0,陽台外推；其他增建；,RPUNMLKLNHJGFCA67DA,56.88,29.64,7.05,有,,27.0
內湖區,房地(土地+建物)+車位,內湖路二段３５５巷１８號二樓,27.23,住,,,1130505,土地2建物1車位2,二層,十層,華廈(10層含以下有電梯),住家用,1030513.0,177.34,3,2,2,有,有,36500000,205819.0,其他,0.0,2800000,,RPOOMLMLNHJGFCA37DA,90.62,6.41,8.09,有,64.0,10.0
北投區,房地(土地+建物)+車位,復興四路９號,82.35,住,,,1130508,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,970806.0,190.99,3,2,3,有,有,35200000,184303.0,坡道平面,0.0,0,,RPXNMLOLNHJGFEA68EA,98.87,12.33,9.04,有,,16.0
萬華區,房地(土地+建物),西園路二段３７２巷１０１弄２２號,1.49,住,,,1130510,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,591109.0,3.5,0,0,0,無,無,600000,171429.0,,0.0,0,,RPSNMLOLNHJGFBA77DA,3.5,0.0,0.0,無,,54.0
南港區,房地(土地+建物)+車位,經貿二路２３５巷２６號八樓,20.18,住,,,1130505,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,1031002.0,118.1,2,2,1,有,有,34500000,292125.0,塔式車位,12.5,0,,RPUNMLOKNHJGFDA08DA,64.31,1.22,6.37,有,76.0,10.0
北投區,房地(土地+建物)+車位,公路５５號二樓,42.77,住,,,1130507,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,1000609.0,219.66,3,2,2,有,有,33000000,176148.0,坡道平面,46.51,2500000,,RPQOMLLLNHJGFEA67DA,101.8,5.72,3.61,有,,13.0
北投區,房地(土地+建物),大度路三段３０１巷２８弄９號四樓,37.56,住,,,1130514,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,751113.0,123.03,4,2,2,有,無,9500000,77217.0,,0.0,0,,RPPNMLNLNHJGFEA67DA,101.67,0.0,9.27,無,,38.0
內湖區,房地(土地+建物)+車位,內湖路三段７２巷６３號五樓,31.11,住,,,1130505,土地1建物1車位1,五層,十六層,住宅大樓(11層含以上有電梯),住家用,830729.0,160.16,3,2,2,有,有,28000000,174825.0,坡道平面,0.0,2500000,,RPQNMLOLNHJGFCA77EA,128.48,1.58,15.75,有,,30.0
南港區,建物,興中路８０巷８號二樓,0.0,,,,1130515,土地0建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,640510.0,16.14,3,2,1,有,無,1150000,71252.0,,0.0,0,建物坐落地號：南港段一小段1082地號；,RPQOMLNLMHJGFDA77EA,16.14,0.0,0.0,無,80.0,49.0
內湖區,房地(土地+建物),瑞光路１１２巷５６弄２號,141.93,住,,,1130505,土地2建物1車位0,全,四層,透天厝,住家用,860108.0,253.04,4,3,3,有,有,54000000,213405.0,,0.0,0,,RPPNMLNLNHJGFCA47DA,200.39,11.98,23.62,無,87.0,27.0
南港區,房地(土地+建物)+車位,舊莊街一段２１２巷１８號二樓,36.51,住,,,1130501,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,1050325.0,90.74,2,1,2,有,有,15600000,207824.0,坡道機械,25.3,2000000,夾層；,RPWNMLRLNHJGFDA68DA,36.24,0.0,2.96,有,,8.0
萬華區,房地(土地+建物),和平西路三段３８２巷１２弄５０號四樓,17.27,住,,,1130503,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,650709.0,51.35,2,2,1,有,無,8000000,155794.0,,0.0,0,,RPPNMLRLNHJGFBA87EA,48.65,0.0,2.7,無,94.0,48.0
中正區,房地(土地+建物),連雲街１８之１號二樓,50.25,住,,,1130514,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,630503.0,136.01,3,2,2,有,無,34000000,249982.0,,0.0,0,陽台外推；其他增建；,RPTNMLOLNHJGFBA87DA,136.01,0.0,0.0,無,,50.0
內湖區,房地(土地+建物),內湖路三段６０巷１２弄１０號四樓,31.53,住,,,1130504,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,681128.0,99.54,2,2,2,有,無,16500000,165763.0,,0.0,0,其他增建；,RPVNMLRLNHJGFCA48DA,87.94,0.0,11.6,無,99.0,44.0
士林區,房地(土地+建物),延平北路六段２５８巷３６弄１號二樓,37.39,住,,,1130501,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,690426.0,101.15,3,2,2,有,無,13380000,132279.0,,0.0,0,,RPRNMLLJNHJGFEA47DA,87.92,0.0,10.69,無,104.0,44.0
士林區,房地(土地+建物),光華路２６巷２弄２號四樓,50.78,住,,,1130512,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,640916.0,114.58,8,0,8,有,無,13000000,113458.0,,0.0,0,頂樓加蓋；,RPSNMLSLNHJGFEA58EA,114.58,0.0,0.0,無,,49.0
文山區,房地(土地+建物),溪口街１０７巷３號四樓,21.75,住,,,1130505,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,690125.0,69.89,2,2,1,有,無,12000000,171698.0,,0.0,0,其他增建；,RPUNMLRKNHJGFAA08DA,60.11,0.0,6.54,無,,44.0
文山區,房地(土地+建物),和興路４４巷１４弄１４號二樓,39.33,住,,,1130502,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,,71.82,2,2,1,有,無,10500000,146199.0,,0.0,0,,RPWNMLOLNHJGFAA08DA,71.82,0.0,0.0,無,,
文山區,房地(土地+建物),辛亥路四段１３０巷３號六樓之２,8.36,住,,,1130511,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,840727.0,31.659999999999997,0,1,1,有,有,7480000,236260.0,,0.0,0,陽台外推；,RPTNMLSLNHJGFAA18DA,19.49,0.0,5.34,有,,29.0
內湖區,房地(土地+建物),行善路２５巷１４號九樓,45.36,住,,,1130507,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,860526.0,120.55,3,2,1,有,有,23000000,190792.0,,0.0,0,,RPRPMLRLNHJGFCA28DA,69.08,0.0,7.64,有,,27.0
