鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
內湖區,房地(土地+建物),內湖路二段１０３巷９２弄１６號三樓之２,25.2,住,,,1130901,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,1120216.0,48.33,1,1,1,有,有,15200000,314504.0,,0.0,0,,RPQNMLPJRHJGFCA08EA,25.66,1.9,2.85,有,1.0,2.0
萬華區,房地(土地+建物)+車位,民和街９６號九樓之１,33.79,住,,,1130801,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,1121213.0,236.61,4,2,2,有,無,46600000,216222.0,坡道平面,34.04,2800000,,RPXNMLTJQHJGFBA88DA,112.36,12.13,10.5,有,,1.0
南港區,房地(土地+建物)+車位,東新街１４２號十二樓,32.08,住,,,1130813,土地3建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,990331.0,222.21,3,2,2,有,有,54160000,243733.0,坡道平面,0.0,0,臺北市政府市有房地標售政府機關標讓售；,RPTOMLOKQHJGFDA38DA,109.89,0.0,11.06,有,,14.0
北投區,房地(土地+建物),泉源路４８號三樓,11.58,住,,,1130802,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,890615.0,49.77,1,1,1,有,有,9000000,180832.0,,0.0,0,,RPROMLQKQHJGFEA48DA,33.15,0.0,4.05,有,14.0,24.0
內湖區,房地(土地+建物),民權東路六段９０巷６弄８號三樓,29.92,住,,,1130802,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,701102.0,106.08,3,2,2,有,無,19000000,179110.0,,0.0,0,陽台外推；,RPSPMLPKQHJGFCA38DA,91.63,0.0,14.45,無,,43.0
士林區,房地(土地+建物),基河路１２８號五樓之３,7.55,住,,,1130811,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,850916.0,26.909999999999997,0,0,0,無,有,7100000,263842.0,,0.0,0,,RPVOMLOKQHJGFEA68DA,15.92,0.0,2.37,有,19.0,28.0
松山區,房地(土地+建物),南京東路四段１３３巷９弄１３號四樓,38.0,住,,,1130801,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,96.52,3,1,1,有,無,20000000,207211.0,,0.0,0,,RPPNMLKLQHJGFDA67EA,96.52,0.0,0.0,無,,
松山區,房地(土地+建物)+車位,延壽街３３２號九樓之２,57.96,住,,,1130803,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,980320.0,211.53,4,2,2,有,有,58600000,277029.0,坡道平面,0.0,0,,RPSNMLTKQHJGFDA68DA,117.23,0.0,10.76,有,26.0,15.0
內湖區,房地(土地+建物),內湖路一段２０３巷１１號四樓,13.91,住,,,1130801,土地1建物1車位0,四層，電梯樓梯間,七層,華廈(10層含以下有電梯),住家用,850805.0,46.59,2,1,1,有,有,11300000,242541.0,,0.0,0,,RPRNMLKLQHJGFCA77EA,34.41,0.98,4.27,有,,28.0
南港區,房地(土地+建物),經貿二路１５７巷３６弄８８號三樓之７,12.13,住,,,1130811,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,970910.0,50.44,1,1,1,有,有,16880000,334655.0,,0.0,0,其他增建：陽台加窗戶。夾層；其他增建；,RPRNMLOKQHJGFDA08DA,28.07,1.57,3.11,有,37.0,16.0
北投區,房地(土地+建物),立農街一段２２巷２弄２號三樓,37.0,住,,,1130804,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,611108.0,84.64,3,1,1,有,無,16200000,191399.0,,0.0,0,,RPUNMLLLQHJGFEA28DA,84.64,0.0,0.0,無,,52.0
大同區,房地(土地+建物),民權西路２７９號八樓之１,5.76,住,,,1130809,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,931029.0,32.879999999999995,0,0,0,無,有,7500000,228102.0,,0.0,0,,RPWNMLMKQHJGFBA18DA,22.24,0.0,0.0,有,,20.0
南港區,房地(土地+建物)+車位,東新街１２６號三樓,24.51,住,,,1130815,土地3建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,990331.0,158.10000000000002,3,2,2,有,有,41000000,259330.0,坡道平面,26.79,0,,RPOOMLKLQHJGFDA57DA,79.87,0.0,8.72,有,,14.0
大安區,房地(土地+建物),永康街３７巷３４號二樓,39.0,住,,,1130808,土地1建物1車位0,二層，陽臺,四層,公寓(5樓含以下無電梯),住家用,650701.0,109.58,3,2,2,有,無,33680000,307355.0,,0.0,0,陽台外推；,RPRNMLTKQHJGFFA78DA,109.58,0.0,0.0,無,,48.0
中山區,房地(土地+建物)+車位,北安路６０８巷４弄６之１號,28.59,住,,,1130803,土地1建物3車位2,一層,五層,華廈(10層含以下有電梯),住家用,850216.0,145.25,2,1,1,有,無,23200000,280985.0,升降平面,73.36,3000000,含一樓空地專用部份。,RPQNMLNLQHJGFCA97EA,48.01,4.4,3.94,有,,28.0
南港區,房地(土地+建物)+車位,東新街１８０巷６號,92.29,住,,,1130814,土地2建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,1120426.0,162.03,3,2,2,有,有,42000000,308428.0,坡道機械,32.33,2000000,本買賣標的含新光段一小段338建號權利範圍2689/100000,RPPNMLNLQHJGFDA87DA,85.08,0.0,0.0,有,,1.0
北投區,房地(土地+建物)+車位,北科路１９０號二樓,47.03,住,,,1130808,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,1130126.0,216.63,3,2,3,有,有,61000000,313719.0,坡道平面,32.07,3100000,,RPXNMLNLQHJGFEA78DA,109.62,0.0,10.95,有,,1.0
北投區,房地(土地+建物),尊賢街２４９巷２６號,31.25,住,,,1130801,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,630905.0,93.0,3,2,2,有,無,22000000,236559.0,,0.0,0,,RPRNMLNLQHJGFEA28EA,93.0,0.0,0.0,無,,50.0
士林區,房地(土地+建物),忠義街９１巷２１號三樓,34.81,住,,,1130812,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,750220.0,129.52,3,2,2,有,無,28100000,216955.0,,0.0,0,陽台外推；,RPPNMLQLQHJGFEA38EA,115.5,0.0,10.91,無,56.0,38.0
松山區,房地(土地+建物)+車位,八德路四段２４５巷２７號五樓,30.41,住,,,1130806,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,700619.0,175.11999999999998,3,2,2,有,有,37000000,211284.0,坡道平面,43.14,0,,RPSNMLQLQHJGFDA58EA,150.22,0.0,16.23,有,,43.0
大安區,房地(土地+建物)+車位,大安路二段３巷５３號十二樓,37.17,住,,,1130811,土地1建物1車位2,十二層，夾層,十二層,住宅大樓(11層含以上有電梯),住家用,1061228.0,293.24,0,2,2,有,有,80000000,318638.0,坡道平面,64.14,7000000,其他增建；,RPQOMLMLQHJGFFA18DA,133.67,0.0,12.13,有,65.0,7.0
北投區,房地(土地+建物)+車位,三合街一段８２巷５８號二樓,50.73,住,,,1130811,土地1建物1車位2,二層,九層,華廈(10層含以下有電梯),住家用,1050921.0,332.5,3,2,2,有,有,67380000,202647.0,坡道平面,83.02,0,,RPSNMLRLQHJGFEA68DA,145.8,4.75,16.73,有,81.0,8.0
松山區,房地(土地+建物),健康路１６８之１號八樓,12.79,住,,,1130812,土地3建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,670720.0,129.13,3,2,2,有,有,30200000,233873.0,,0.0,0,,RPQNMLSLQHJGFDA58EA,98.24,0.0,15.89,有,,46.0
內湖區,房地(土地+建物),成功路五段４２０巷１１號十二樓,14.98,住,,,1130806,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,870925.0,73.68,2,1,1,有,有,22060000,299403.0,,0.0,0,陽台外推；其他增建；,RPRNMLSJQHJGFCA28DA,50.4,0.0,7.91,有,,26.0
松山區,房地(土地+建物),八德路三段１９９巷１９號六樓之７,11.38,住,,,1130803,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,730127.0,61.89,2,1,1,有,有,16200000,261755.0,,0.0,0,,RPVNMLTKQHJGFDA98DA,44.94,0.0,7.19,有,,41.0
士林區,房地(土地+建物),福港街２２１號四樓,28.4,住,,,1130804,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,700314.0,100.72,3,2,2,有,無,17000000,168785.0,,0.0,0,其他增建；,RPROMLLLQHJGFEA08DA,86.69,0.0,14.03,無,100.0,43.0
北投區,房地(土地+建物)+車位,北投路二段４７號五樓,23.89,住,,,1130813,土地3建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,1021106.0,186.7,3,2,2,有,有,36000000,253726.0,坡道平面,55.85,2800000,其他增建；,RPXNMLSLQHJGFEA66DA,73.06,9.67,5.8,有,103.0,11.0
文山區,房地(土地+建物)+車位,辛亥路四段７７巷８０號二樓,67.71,住,,,1130803,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,831101.0,141.45,3,2,2,有,有,25800000,182397.0,坡道平面,0.0,2200000,陽台外推；其他增建；,RPSNMLNJQHJGFAA67DA,83.63,2.45,9.01,有,110.0,30.0
中山區,房地(土地+建物),北安路６４３號四樓,23.66,住,,,1130803,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,751103.0,116.34,3,2,2,有,無,27300000,234657.0,,0.0,0,,RPVOMLSJQHJGFCA78DA,104.19,0.0,8.97,無,113.0,38.0
內湖區,房地(土地+建物),陽光街１８８號二樓,35.42,住,,,1130811,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,730207.0,100.51,3,2,1,有,有,20500000,203960.0,,0.0,0,,RPQPMLSLQHJGFCA58DA,67.24,0.0,7.64,有,,41.0
信義區,房地(土地+建物)+車位,吳興街６００巷７６弄３號七樓,18.69,住,,,1130806,土地4建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,1060907.0,145.49,2,2,2,有,有,33880000,232868.0,坡道平面,0.0,0,,RPTOMLRJQHJGFDA68EA,61.28,0.0,7.53,有,122.0,7.0
士林區,房地(土地+建物),中正路６３４號四樓,23.94,住,,,1130807,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,720725.0,85.97999999999999,2,2,1,有,無,10750000,125029.0,,0.0,0,,RPXNMLKLQHJGFEA58EA,74.02,0.0,9.5,無,,41.0
文山區,房地(土地+建物),辛亥路七段５巷４弄１４號四樓,29.5,住,,,1130804,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,640923.0,80.76,3,2,2,有,無,11480000,142150.0,,0.0,0,陽台外推；其他增建；,RPUNMLNLQHJGFAA08DA,80.76,0.0,0.0,無,,49.0
