鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
信義區,房地(土地+建物),和平東路三段４６１之１號三樓,25.87,住,,,1131101,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,690428.0,89.83,3,1,1,有,無,18899999,210397.0,,0.0,0,地清或未辦繼承標售；,RPQNMLKLJIJGFDA17EA,80.05,0.0,9.78,無,,45.0
中山區,房地(土地+建物)+車位,明水路３８７號十樓之１,33.94,住,,,1131104,土地1建物1車位1,十層，電梯樓梯間,十五層,住宅大樓(11層含以上有電梯),住家用,850527.0,188.78,3,2,2,有,有,63750000,402352.0,坡道平面,36.56,2500000,,RPTQMLSKJIJGFCA28DA,121.59,2.23,12.87,有,,28.0
中正區,房地(土地+建物),汀州路三段１５３號三樓,25.91,住,,,1131112,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,600120.0,95.61,3,2,1,有,無,23500000,245790.0,,0.0,0,,RPTNMLTKJIJGFAA87DA,95.61,0.0,0.0,無,,54.0
南港區,房地(土地+建物)+車位,大坑街４５０號四樓,13.31,住,,,1131104,土地2建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,1120719.0,101.85,1,1,1,有,有,20580000,281285.0,坡道平面,38.64,2800000,,RPTOMLRJJIJGFDA97DA,32.28,3.19,3.21,有,,1.0
士林區,房地(土地+建物)+車位,後港街１３４巷２號三樓,5.27,住,,,1131106,土地1建物1車位1,三層,二十二層,住宅大樓(11層含以上有電梯),住家用,1130530.0,40.260000000000005,4,2,2,有,無,1978234,49136.0,坡道平面,5.75,0,本案係屬都更權利變換安置戶之移轉案件應補金額。,RPUNMLTKJIJGFEA38DA,19.65,1.16,1.99,有,,
北投區,房地(土地+建物)+車位,明德路２９２號八樓,17.62,住,,,1131104,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,1041204.0,102.99,1,1,1,有,有,24700000,300657.0,坡道平面,31.48,3200000,其他增建；,RPQNMLKLJIJGFEA17DA,38.19,4.15,1.89,有,34.0,9.0
中山區,房地(土地+建物),農安街２２７巷３４號四樓之１,25.09,住,,,1131105,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,730623.0,128.6,3,2,2,有,無,25800000,200606.0,,0.0,0,其他增建；,RPUNMLKLJIJGFCA47EA,92.43,0.0,15.87,有,,40.0
內湖區,房地(土地+建物),文德路１０６號五樓之６,8.0,住,,,1131109,土地2建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,850206.0,37.1,0,0,0,無,有,9600000,258760.0,,0.0,0,陽台外推；夾層；,RPTOMLKLJIJGFCA37DA,25.14,1.53,1.71,有,,29.0
中山區,房地(土地+建物),建國北路三段６４號六樓,17.69,住,,,1131104,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,710723.0,93.91,2,1,1,有,有,19680000,209562.0,,0.0,0,,RPWNMLRJJIJGFCA08DA,80.31,0.0,13.6,有,49.0,42.0
士林區,房地(土地+建物),德行東路２０３巷８號四樓,32.77,住,,,1131112,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,680718.0,118.75,5,0,5,有,無,17500000,147368.0,,0.0,0,,RPPNMLLLJIJGFEA17DA,103.83,0.0,14.92,無,56.0,45.0
