鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,年度
大安區,房地(土地+建物),新生南路一段１１９巷９號四樓,36.42,住,,,1120401,土地1建物1車位0,四層，陽臺,六層,華廈(10層含以下有電梯),住家用,,147.02,3,2,2,有,無,40000000,272072.0,,0.0,0,陽台外推；其他增建；,RPUQMLRJMHIGFFA58DA,147.02,0.0,0.0,有,,,112
文山區,房地(土地+建物),興隆路四段２９巷２弄１２號四樓,29.23,住,,,1120416,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,86.17,3,2,1,有,無,9800000,113729.0,,0.0,0,其他增建；,RPQOMLPLNHIGFAA57DA,74.18,0.0,11.99,無,,,112
文山區,房地(土地+建物),木新路二段２４７號四樓,26.0,住,,,1120423,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,,84.42,3,2,2,有,無,13030000,154347.0,,0.0,0,,RPQOMLKMNHIGFAA17DA,76.11,3.69,4.62,無,718.0,,112
文山區,房地(土地+建物),永安街４８巷３５號,87.4,住,,,1120425,土地2建物1車位0,全,二層,透天厝,住家用,,59.02,2,1,2,有,無,25500000,432057.0,,0.0,0,頂樓加蓋；,RPXNMLRKNHIGFAA28DA,59.02,0.0,0.0,無,730.0,,112
南港區,房地(土地+建物),合順街８巷５弄２７號三樓,21.25,住,,,1120408,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,,77.0,3,1,2,有,無,9380000,121818.0,,0.0,0,其他增建；,RPPOMLTJNHIGFDA97DA,77.0,0.0,0.0,無,749.0,,112
萬華區,房地(土地+建物),武成街６２巷７號,20.0,住,,,1120428,土地1建物1車位0,全,二層,透天厝,住家用,,38.16,3,1,1,有,無,8000000,209644.0,,0.0,0,頂樓加蓋；其他增建；,RPPOMLMJNHIGFBA07DA,38.16,0.0,0.0,無,,,112
萬華區,房地(土地+建物),雙園街１０７巷１３號,24.25,住,,,1120308,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,68.02,2,2,1,有,無,15000000,220523.0,,0.0,0,,RPUNMLLMLHIGFBA57EA,68.02,0.0,0.0,無,,,112
中正區,房地(土地+建物),中華路二段３１１巷３號三樓,14.74,住,,,1120314,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,,35.11,1,1,1,有,無,5900000,168043.0,,0.0,0,土地增值稅等稅費由買方負擔。陽台外推；,RPSNMLLMLHIGFAA17DA,30.16,0.0,4.95,無,,,112
文山區,房地(土地+建物),恆光街１７巷５號,31.38,住,,,1120305,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,77.77,3,2,2,有,無,17500000,225023.0,,0.0,0,其他增建；,RPRNMLKKLHIGFAA76DA,64.74,13.03,0.0,無,,,112
松山區,房地(土地+建物),八德路四段１０６巷４弄１２號三樓,51.5,住,,,1120321,土地1建物1車位0,三層，露台,四層,公寓(5樓含以下無電梯),住家用,,151.18,4,2,2,有,無,27400000,181241.0,,0.0,0,,RPSNMLSLLHIGFDA08DA,151.18,0.0,0.0,無,,,112
