鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
中山區,房地(土地+建物),龍江路３９４巷２０號五樓,23.37,住,,,1120502,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,710918.0,89.33,3,2,2,有,無,16330000,182805.0,,0.0,0,陽台外推；頂樓加蓋；,RPTNMLKKNHIGFCA47EA,77.34,0.0,11.99,無,8.0,41.0
北投區,房地(土地+建物),立農街一段２５７巷７弄５之１號三樓,35.25,住,,,1120505,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,660117.0,90.51,2,2,1,有,無,15800000,174566.0,,0.0,0,陽台外推；其他增建；,RPUNMLKKNHIGFEA67DA,81.6,0.0,8.91,無,,46.0
大安區,房地(土地+建物),敦化南路二段３３１巷１２號六樓,26.87,住,,,1120501,土地3建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,,122.92,3,2,2,有,有,30280000,246339.0,,0.0,0,陽台外推；,RPQNMLPJNHIGFFA77DA,92.8,0.0,13.08,有,11.0,
內湖區,房地(土地+建物),文德路６６巷３４弄３號,40.46,住,,,1120504,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,730207.0,117.95,3,2,2,有,有,29900000,253497.0,,0.0,0,,RPUNMLPKNHIGFCA08EA,77.85,12.49,0.0,無,17.0,39.0
中山區,房地(土地+建物)+車位,吉林路８號四樓之１,63.5,住,,,1120503,土地1建物1車位4,四層,十四層,住宅大樓(11層含以上有電梯),住家用,1000503.0,519.03,5,2,3,有,有,131680000,253704.0,坡道平面,136.51,0,,RPSNMLQKNHIGFCA97EA,206.9,22.86,18.6,有,,12.0
大安區,房地(土地+建物),安東街３１號五樓,13.18,住,,,1120504,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,850910.0,37.82,1,1,1,有,無,9500000,251190.0,,0.0,0,增值稅、房地合一稅由權利人負責繳納,RPQNMLRKNHIGFFA18EA,22.7,0.0,3.82,無,23.0,27.0
北投區,房地(土地+建物),致遠二路９８號,21.5,住,,,1120503,土地2建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,610211.0,71.84,0,0,0,無,無,20500000,285356.0,,0.0,0,未登記建物；,RPPNMLRKNHIGFEA87DA,71.84,0.0,0.0,無,,51.0
信義區,房地(土地+建物),吳興街６００巷６０號三樓之７,9.15,住,,,1120501,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,1100503.0,47.13,1,1,1,有,有,16080000,341184.0,,0.0,0,,RPQNMLRKNHIGFDA87DA,17.32,2.27,3.12,有,,2.0
北投區,房地(土地+建物),中央北路三段４０巷１９弄１１號四樓之３,18.41,住,,,1120501,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,970702.0,79.35,2,2,1,有,有,12700000,160050.0,,0.0,0,,RPQOMLPJNHIGFEA77DA,44.62,2.72,6.53,有,44.0,15.0
中正區,房地(土地+建物),寧波東街９巷８號六樓,4.71,住,,,1120509,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,951115.0,22.61,1,1,1,有,有,9300000,411322.0,,0.0,0,,RPUNMLTKNHIGFAA18DA,11.63,0.0,3.46,有,51.0,16.0
大安區,房地(土地+建物),潮州街１０７巷９號三樓,26.4,住,,,1120507,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,710819.0,88.49,2,2,1,有,無,26930000,304328.0,,0.0,0,陽台外推；其他增建；,RPQNMLMKNHIGFFA57DA,79.86,0.0,8.63,無,,41.0
萬華區,房地(土地+建物),西園路二段３７２巷３弄５１號,25.25,住,,,1120515,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,590217.0,76.92,3,1,1,有,無,10500000,136505.0,,0.0,0,,RPVOMLTKNHIGFBA48DA,76.92,0.0,0.0,無,,53.0
