鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
文山區,房地(土地+建物),木柵路二段１６１巷８號三樓,29.0,住,,,1121106,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,,82.58,3,2,1,有,無,12400000,150157.0,,0.0,0,,RPQNMLQKJIIGFAA17DA,82.58,0.0,0.0,無,,
大安區,房地(土地+建物)+車位,和平東路三段４５２號四樓之３,13.29,住,,,1121105,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,1090804,114.2,2,1,1,有,有,26280000,304106.0,坡道平面,36.99,2800000,其他增建；,RPOOMLRJJIIGFFA57DA,45.63,0.0,3.21,有,27.0,3.0
士林區,房地(土地+建物)+車位,基河路２３８號七樓之８,9.22,住,,,1121106,土地2建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,0850919,59.34,1,0,1,有,有,8400000,141557.0,升降機械,38.11,0,,RPSOMLNKJIIGFEA57DA,18.06,1.29,1.88,有,,27.0
中山區,房地(土地+建物)+車位,民權東路二段７１巷８號四樓之７,13.76,,,,1121102,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,1120203,128.69,3,1,1,有,有,34900000,336938.0,升降平面,32.53,2500000,含裝潢費2400000元；,RPRNMLMLJIIGFCA17DA,56.4,0.0,4.6,有,,1.0
北投區,房地(土地+建物)+車位,中和街３６８號五樓之１０,14.74,,,,1121107,土地1建物1車位1,五層，電梯樓梯間,十九層,住宅大樓(11層含以上有電梯),住家用,0870624,127.18,2,2,2,有,有,15100000,118729.0,坡道平面,0.0,2000000,車位面積無法拆算陽台外推；其他增建；,RPRNMLKLJIIGFEA17DA,73.2,1.52,5.89,有,37.0,25.0
大安區,房地(土地+建物),和平東路一段２４８巷１７號二樓之１,26.74,住,,,1121105,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,0720125,128.9,4,2,2,有,有,36700000,284717.0,,0.0,0,前、後陽台外推。陽台外推；,RPTNMLRJJIIGFFA97DA,83.01,0.0,18.15,有,,41.0
士林區,房地(土地+建物),至誠路二段９２巷９弄９號,77.0,住,,,1121115,土地1建物1車位0,全,二層,透天厝,住家用,0560528,68.08,2,2,2,有,無,28300000,415687.0,,0.0,0,其他增建；,RPQNMLLLJIIGFEA27EA,68.08,0.0,0.0,無,40.0,56.0
文山區,房地(土地+建物)+車位,政大一街２７９號四樓,54.5,住,,,1121111,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,1031113,158.54000000000002,3,2,2,有,有,25680000,188760.0,坡道平面,33.09,2000000,其他增建；,RPUNMLOKJIIGFAA37DA,75.95,1.17,8.53,有,41.0,9.0
大同區,房地(土地+建物),歸綏街９７巷８號二樓之１,9.9,住,,,1121115,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,0841030,43.11,1,1,1,有,有,8900000,206449.0,,0.0,0,其他增建；,RPXNMLMLJIIGFBA67DA,27.03,0.91,3.79,有,,28.0
內湖區,房地(土地+建物)+車位,內湖路一段６５９號五樓之２,15.48,,,,1121116,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,0991123,149.85,0,0,0,無,有,31150206,260055.0,坡道平面,39.68,2500000,政府機關標讓售；,RPPNMLMLJIIGFCA07EA,65.89,3.04,4.32,有,,13.0
內湖區,房地(土地+建物)+車位,港華街９９號六樓之２,10.64,住,,,1121102,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,1010515,84.06,2,1,1,有,有,18600000,277273.0,升降機械,23.46,1800000,,RPPNMLNLJIIGFCA17EA,44.14,2.66,3.02,有,46.0,11.0
文山區,房地(土地+建物)+車位,政大三街１０８號三樓,74.76,住,,,1121101,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,0990106,170.1,4,2,2,有,有,29490000,182021.0,坡道平面,21.82,2500000,其他增建；,RPXNMLPKJIIGFAA77DA,97.11,0.0,10.03,有,,14.0
萬華區,房地(土地+建物),寶興街３６號二樓,21.6,住,,,1121113,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,0690824,73.41,2,1,1,有,無,7800000,106253.0,,0.0,0,含租約；,RPOPMLMLJIIGFBA96DA,64.35,0.0,9.06,無,,43.0
信義區,房地(土地+建物),虎林街２３２巷６２之１號四樓,34.38,住,,,1121106,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,0580703,83.08,4,0,4,有,無,18400000,221473.0,,0.0,0,頂樓平台增建、前後陽台增建陽台外推；頂樓加蓋；其他增建；,RPTNMLMLJIIGFDA47DA,74.37,0.0,8.71,無,53.0,54.0
士林區,房地(土地+建物),中山北路七段２０９之２號三樓,31.55,住,,,1121101,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,0740320,156.89,4,2,2,有,有,26580000,169418.0,,0.0,0,其他增建；,RPQNMLOKJIIGFEA37DA,116.99,0.0,18.02,有,,39.0
文山區,房地(土地+建物),福興路９５巷１７之２號九樓,27.05,住,,,1121103,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,0961121,99.27,3,1,2,有,有,18550000,186864.0,,0.0,0,陽台外推；,RPSPMLMLJIIGFAA27DA,65.06,2.46,6.96,有,,16.0
大同區,房地(土地+建物),哈密街６３巷１０號五樓,16.8,住,,,1121101,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,0690125,51.24,2,1,1,有,無,8140000,158860.0,,0.0,0,陽台外推；其他增建；,RPXNMLNLJIIGFBA77DA,40.68,0.0,10.56,無,,44.0
內湖區,房地(土地+建物),康寧路三段２４９號五樓,16.12,住,,,1121105,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,0830701,100.29,3,2,2,有,有,17900000,178482.0,,0.0,0,,RPUOMLKKJIIGFCA27DA,75.35,2.97,7.96,有,58.0,29.0
中山區,房地(土地+建物),龍江路１４７號六樓之１,21.77,住,,,1121107,土地1建物2車位0,六層,七層,華廈(10層含以下有電梯),住家用,0711210,156.89999999999998,0,0,2,有,有,38000000,242192.0,,0.0,0,含租約；,RPTNMLRLJIIGFCA87DA,133.92,0.0,0.0,有,,41.0
北投區,房地(土地+建物)+車位,泉源路１６號九樓,54.16,住,,,1121103,土地1建物1車位2,九層,十二層,住宅大樓(11層含以上有電梯),住家用,0921119,258.94,4,2,2,有,有,38500000,168274.0,坡道平面,59.86,5000000,其他增建；,RPUNMLRKJIIGFEA08DA,143.24,0.0,11.5,有,60.0,20.0
大安區,房地(土地+建物),敦化南路二段１１巷５８號三樓,19.57,住,,,1121104,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,0690310,106.71,3,2,2,有,無,32000000,299878.0,,0.0,0,陽台外推；,RPSOMLTJJIIGFFA18DA,79.68,0.0,20.28,有,,44.0
