鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
信義區,房地(土地+建物),松隆路１０９號四樓,22.23,住,,,1120803,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,731102.0,87.56,3,1,1,有,無,15700000,179306.0,,0.0,0,,RPWNMLOJQHIGFDA38DA,69.86,2.36,7.22,無,,39.0
文山區,房地(土地+建物),萬盛街８９之６號七樓,11.24,住,,,1120801,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,1050816.0,67.69999999999999,2,2,1,有,有,18000000,265879.0,,0.0,0,夾層；,RPPNMLOKQHIGFAA57EA,33.9,8.15,0.0,有,15.0,7.0
大同區,房地(土地+建物),大龍街９１巷１２號十三樓之３,5.12,住,,,1120804,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,1110422.0,36.19,1,1,1,有,有,8700000,240398.0,,0.0,0,,RPQNMLQKQHIGFBA97EA,21.2,0.0,2.78,有,,1.0
萬華區,房地(土地+建物),西園路二段２６１巷３９號,65.0,住,,,1120809,土地2建物1車位0,全,二層,透天厝,住家用,491231.0,67.32,0,0,0,無,無,22600000,335710.0,,0.0,0,陽台外推；頂樓加蓋；,RPPNMLTJQHIGFBA97DA,67.32,0.0,0.0,無,,63.0
中山區,房地(土地+建物),龍江路１００巷１之２號,31.0,住,,,1120810,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,561229.0,93.33,0,0,0,無,無,39000000,417872.0,,0.0,0,,RPQNMLRKQHIGFCA08DA,93.33,0.0,0.0,無,,56.0
大安區,房地(土地+建物),和平東路三段１巷７２弄９號九樓,19.94,住,,,1120805,土地1建物1車位0,九層,十七層,住宅大樓(11層含以上有電梯),住家用,740522.0,102.6,2,2,1,有,有,26500000,258285.0,,0.0,0,,RPPNMLLLQHIGFFA87EA,75.13,1.26,7.07,有,,38.0
信義區,房地(土地+建物),和平東路三段３９１巷２９之１號四樓,26.5,住,,,1120812,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,660921.0,72.81,2,3,2,有,無,17780000,244197.0,,0.0,0,增建項目：頂樓平台、前後陽台,RPSOMLOKQHIGFDA18DA,62.79,0.79,9.23,無,,46.0
萬華區,房地(土地+建物),興義街７５號四樓,27.25,住,,,1120801,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,590630.0,80.83,0,3,1,有,無,8900000,110108.0,,0.0,0,其他增建；,RPSNMLLJQHIGFBA47DA,80.83,0.0,0.0,無,,53.0
內湖區,房地(土地+建物)+車位,文湖街２１巷９１弄７號四樓,22.32,住,,,1120811,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,1070105.0,105.07,2,1,1,有,有,24928000,237251.0,升降機械,0.0,0,,RPQOMLMLQHIGFCA77DA,48.48,8.77,3.9,有,,6.0
內湖區,房地(土地+建物),康寧路一段１９５巷１弄５號五樓,45.49,住,,,1120813,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,780808.0,122.08,3,1,2,有,無,20800000,170380.0,,0.0,0,,RPSNMLOLQHIGFCA18EA,102.97,0.36,10.7,無,,34.0
