交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺)
房地(土地+建物),民生東路三段１１３巷６弄１號六樓,6.0,44.0,1,50.04,655443,0.0,,25.058577,121.546047,中山國中站出口,325
房地(土地+建物),金龍路２２２巷４號十一樓,11.0,30.0,1,30.82,619045,0.0,,25.087846,121.586284,內湖站出口1,924
房地(土地+建物),溫州街７４巷３弄２號六樓之４,6.0,45.0,1,11.36,1116012,0.0,,25.019546,121.532386,台電大樓站出口2,339
房地(土地+建物),連雲街７７號二樓,2.0,39.0,0,24.64,945555,0.0,,25.034407,121.530157,東門站出口6,57
房地(土地+建物)+車位,汀州路四段２０３號五樓,5.0,13.0,1,19.13,627185,0.0,,25.003118,121.535842,萬隆站出口4,279
房地(土地+建物),虎林街１２０巷１４號,,56.0,0,28.1,1085202,0.0,,25.042078,121.57629,永春站出口5,129
房地(土地+建物),青年路１０６巷３０弄２８號三樓,3.0,49.0,0,9.43,530114,0.0,,25.02304,121.502305,龍山寺站出口2,1366
房地(土地+建物)+車位,松仁路３０８巷９３號,1.0,10.0,1,46.23,1008115,2.21,0.0,25.020398,121.570782,麟光站出口,1244
房地(土地+建物),松仁路２５３巷３弄５號四樓,4.0,55.0,0,30.66,636042,0.0,,25.025888,121.569358,象山站出口2,724
房地(土地+建物),仁愛路二段９巷１７號四樓之６,4.0,15.0,1,12.94,1313968,0.0,,25.03876,121.525889,東門站出口2,532
房地(土地+建物),內湖路三段６０巷１２弄１０號三樓,3.0,44.0,0,30.11,553954,0.0,,25.088109,121.59173,內湖站出口1,548
房地(土地+建物),東園街６６巷２４弄８號十一樓之１,11.0,7.0,1,32.75,610600,0.0,,25.024802,121.495488,龍山寺站出口2,1226
房地(土地+建物),大龍街４４號,,,0,32.88,1855135,0.0,,25.064688,121.515944,大橋頭站出口3,273
房地(土地+建物),敦化北路１４５巷２３弄３號三樓之１,3.0,3.0,1,20.65,1344974,0.0,,25.053206,121.550469,台北小巨蛋站出口2,183
房地(土地+建物),農安街７７巷９弄２２號二樓,2.0,56.0,0,14.65,682450,0.0,,25.066137,121.529122,中山國小站出口4,433
房地(土地+建物)+車位,東明街２８號三樓,3.0,15.0,1,76.8,1099431,23.45,0.0,25.055676,121.604162,南港站出口1,473
房地(土地+建物)+車位,天母西路５０巷２５號五樓,5.0,23.0,1,91.97,674163,0.0,,25.117557,121.52485,石牌站出口2,975
房地(土地+建物),麗山街６２巷６號四樓,4.0,46.0,0,28.38,581323,0.0,,25.08142,121.580006,港墘站出口1,447
房地(土地+建物)+車位,市民大道六段１０８號四樓之３,4.0,2.0,1,14.69,808748,0.0,,25.049134,121.57254,松山站出口2,391
房地(土地+建物)+車位,石牌路一段１６６巷２８之１號五樓,5.0,9.0,1,22.17,960890,3.85,571429.0,25.11399,121.513763,石牌站出口1,185
房地(土地+建物),興隆路四段２９巷４弄１號六樓之１,6.0,25.0,1,16.51,787526,0.0,,24.990806,121.56007,萬芳醫院站出口,982
房地(土地+建物),林森南路９９巷６號四樓,4.0,38.0,0,24.71,760975,0.0,,25.037815,121.521932,中正紀念堂站出口5,568
房地(土地+建物),寶清街８９巷２５號三樓,3.0,52.0,0,22.3,745406,0.0,,25.052435,121.568814,南京三民站出口4,424
房地(土地+建物)+車位,德行東路７４巷１５弄２號三樓,3.0,37.0,1,6.13,811347,0.0,,25.106497,121.527479,芝山站出口2,596
房地(土地+建物),指南路三段４３號五樓,5.0,40.0,0,37.1,343623,0.0,,24.984377,121.579931,動物園站出口2,1513
房地(土地+建物),至善路二段１２１號,1.0,37.0,0,27.5,654540,0.0,,25.098657,121.54699,劍南路站出口1,1690
房地(土地+建物),羅斯福路五段１７０巷１１號,1.0,46.0,0,30.22,916712,0.0,,25.00456,121.53768,萬隆站出口4,228
房地(土地+建物)+車位,承德路七段１６６號十八樓,18.0,1.0,1,89.22,870051,15.08,364721.0,25.113407,121.508698,石牌站出口1,682
房地(土地+建物),中山北路七段１９０巷２７號六樓,6.0,44.0,1,41.24,533505,0.0,,25.125946,121.535242,石牌站出口1,2354
房地(土地+建物),承德路七段２８０巷３８號四樓,4.0,53.0,0,25.74,505116,0.0,,25.116663,121.507131,唭哩岸站出口1,450
房地(土地+建物)+車位,北安路８２９號十三樓之２,13.0,13.0,1,25.86,522089,0.0,,25.084811,121.556951,劍南路站出口3,104
房地(土地+建物),重慶北路四段１９０巷５弄５號,1.0,55.0,0,26.33,569767,0.0,,25.085048,121.512016,劍潭站出口2,1298
房地(土地+建物),和平東路三段２９８號二樓,2.0,51.0,0,19.38,628966,0.0,,25.020585,121.556292,麟光站出口,325
房地(土地+建物)+車位,興隆路二段３０１巷２２號七樓之３,7.0,29.0,1,25.79,600691,0.0,,25.002908,121.554085,辛亥站出口,385
房地(土地+建物)+車位,幽雅路７號十二樓之９,12.0,15.0,1,30.57,496474,14.05,0.0,25.137316,121.513129,新北投站出口1,968
房地(土地+建物),士東路５８號五樓,5.0,38.0,1,38.37,854923,0.0,,25.111899,121.52807,明德站出口1,943
房地(土地+建物),新生南路二段１６巷２號二樓之１,2.0,16.0,1,13.86,1352762,0.0,,25.032586,121.532457,大安森林公園站出口2,223
房地(土地+建物)+車位,辛亥路四段７７巷９２弄１２號五樓,5.0,29.0,1,63.55,443730,0.0,,25.008238,121.561326,辛亥站出口,555
房地(土地+建物),吳興街５８３巷２０弄１８號,,62.0,0,10.91,687179,0.0,,25.02124,121.569818,麟光站出口,1169
房地(土地+建物),和平東路三段３００號二樓,2.0,51.0,0,19.38,628966,0.0,,25.020565,121.556314,麟光站出口,321
房地(土地+建物),民權東路六段１９１巷６２弄１０號,,17.0,1,116.08,585782,0.0,,25.069382,121.598116,葫洲站出口2,979
房地(土地+建物),新興路７０巷１號四樓,4.0,30.0,0,56.74,299629,0.0,,25.141068,121.487977,復興崗站出口1,458
房地(土地+建物),福興路８１之１號五樓,5.0,28.0,1,16.91,586645,0.0,,25.004302,121.549728,辛亥站出口,741
房地(土地+建物),重慶北路四段２４４號,3.0,54.0,0,28.54,455439,0.0,,25.08654,121.511331,劍潭站出口3,1395
房地(土地+建物),重慶北路四段２４４號,2.0,54.0,0,28.54,455439,0.0,,25.08654,121.511331,劍潭站出口3,1395
房地(土地+建物),重慶北路四段２４４號,4.0,54.0,0,28.54,455439,0.0,,25.08654,121.511331,劍潭站出口3,1395
房地(土地+建物),安居街８４巷１４號二樓,2.0,47.0,0,28.67,662763,0.0,,25.019786,121.552487,六張犁站出口,453
房地(土地+建物),天祥路４８巷５號,1.0,56.0,0,3.12,801309,0.0,,25.061858,121.520739,民權西路站出口4,88
房地(土地+建物),行義路１８６巷５５號二樓,2.0,39.0,1,12.99,398789,0.0,,25.133311,121.530301,石牌站出口1,2541
房地(土地+建物),知行路５巷１號二樓,2.0,7.0,1,33.0,348456,0.0,,25.118279,121.46636,關渡站出口1,800
房地(土地+建物),景華街１２１巷１７弄３號三樓,3.0,48.0,0,30.48,610179,0.0,,24.996773,121.546009,景美站出口2,612
