交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺)
房地(土地+建物),福興路４６巷２弄５號,1.0,,0,20.75,481823,0.0,,25.003351,121.551183,辛亥站出口,620
房地(土地+建物),延平北路五段５０號九樓,9.0,9.0,1,43.4,553039,0.0,,25.080185,121.511019,圓山站出口2,1309
房地(土地+建物),四平街１０７號六樓之１,6.0,20.0,1,11.77,824323,0.0,,25.053745,121.535802,松江南京站出口6,264
房地(土地+建物)+車位,辛亥路六段３７號三樓之２,3.0,14.0,1,39.96,737850,13.13,0.0,24.989292,121.55355,萬芳醫院站出口,1199
房地(土地+建物),明德路３３３巷２２號,1.0,49.0,0,28.53,816807,0.0,,25.116449,121.518978,石牌站出口1,410
房地(土地+建物)+車位,文湖街２１巷１１８弄１２號五樓之１,5.0,4.0,1,40.31,669882,7.53,225764.0,25.091489,121.559856,劍南路站出口1,807
房地(土地+建物)+車位,基湖路１３９號七樓,7.0,16.0,1,59.98,1080527,11.86,0.0,25.078309,121.564066,西湖站出口2,516
房地(土地+建物)+車位,松信路５０巷５號五樓,5.0,8.0,1,140.67,1066984,55.68,0.0,25.047354,121.571475,松山站出口2,574
房地(土地+建物)+車位,文德路２１０巷３０弄１００號八樓之１,8.0,19.0,1,38.6,787891,8.77,0.0,25.076408,121.584807,文德站出口2,217
房地(土地+建物),龍江路３１８巷２５號五樓,5.0,44.0,0,34.91,515590,0.0,,25.064861,121.539053,中山國中站出口,669
房地(土地+建物),臨沂街６５巷２之２號五樓,5.0,38.0,0,28.11,839701,0.0,,25.036202,121.528629,東門站出口1,236
房地(土地+建物),嘉興街１８１巷５號,1.0,53.0,0,32.07,1029064,0.0,,25.026434,121.556829,六張犁站出口,502
房地(土地+建物),吳興街６００巷７６弄７４號,1.0,28.0,1,45.76,393390,0.0,,25.018713,121.570272,麟光站出口,1176
房地(土地+建物),溫州街５８巷８號二樓,2.0,,0,3.45,696567,0.0,,25.020624,121.532676,台電大樓站出口2,364
房地(土地+建物)+車位,舊莊街一段２１２巷１０號二樓,2.0,6.0,1,29.69,503627,7.65,0.0,25.038286,121.622277,南港展覽館站出口7,1800
房地(土地+建物),重慶北路三段２０５巷７號,1.0,13.0,1,25.23,939415,0.0,,25.0701,121.514397,圓山站出口1,573
房地(土地+建物)+車位,松江路４２８號十三樓,13.0,15.0,1,61.27,956966,11.95,0.0,25.065279,121.532976,行天宮站出口4,546
房地(土地+建物),文林北路２６４號三樓,3.0,51.0,0,22.31,582637,0.0,,25.109161,121.513283,明德站出口3,537
房地(土地+建物),和平東路三段３０８巷１弄２號三樓,3.0,,0,11.51,521418,0.0,,25.020101,121.55641,麟光站出口,280
房地(土地+建物),涼州街２號五樓之９,5.0,11.0,1,29.38,793090,0.0,,25.060812,121.515804,大橋頭站出口2,369
房地(土地+建物),汀州路三段６０巷２弄２號八樓之１,8.0,21.0,1,46.83,764419,0.0,,25.015412,121.530835,公館站出口4,282
房地(土地+建物),文湖街８１巷３８號,1.0,9.0,1,25.99,807885,0.0,,25.087514,121.564143,西湖站出口1,628
房地(土地+建物),石牌路二段３１５巷２號三樓之４,3.0,27.0,1,11.74,596098,0.0,,25.121941,121.523167,石牌站出口1,1112
房地(土地+建物),和平東路二段３１１巷５５號四樓,4.0,37.0,1,33.63,743409,0.0,,25.026092,121.545405,科技大樓站出口,178
房地(土地+建物)+車位,福興路１０６巷３１號六樓,6.0,9.0,1,39.22,557012,3.94,0.0,25.006772,121.549899,辛亥站出口,741
房地(土地+建物),成功路三段１８７巷２３號,1.0,42.0,0,26.08,766738,0.0,,25.079757,121.591703,內湖站出口1,513
房地(土地+建物),羅斯福路三段２６９巷３６之１號二樓,2.0,38.0,1,37.48,693765,0.0,,25.02016,121.530807,台電大樓站出口2,173
房地(土地+建物)+車位,五常街１１巷７號三樓,3.0,2.0,1,59.0,905350,11.51,0.0,25.064767,121.537842,行天宮站出口4,692
房地(土地+建物),南京東路六段１０５號四樓,4.0,25.0,1,39.28,518885,0.0,,25.055481,121.577318,松山站出口5,549
房地(土地+建物),中央北路二段４０４號四樓之１,4.0,16.0,1,14.38,563368,0.0,,25.138493,121.487541,復興崗站出口1,234
房地(土地+建物),安泰街８６巷３號三樓,3.0,42.0,0,27.02,407163,0.0,,25.076421,121.616576,葫洲站出口1,961
房地(土地+建物),逸仙路２６巷９號八樓,8.0,44.0,1,37.95,974848,0.0,,25.039707,121.562159,市政府站出口2,324
房地(土地+建物),三民路８０巷５號二樓,2.0,17.0,1,67.8,691422,0.0,,25.056602,121.564336,南京三民站出口4,559
房地(土地+建物)+車位,松平路６０號五樓,5.0,21.0,1,148.02,1212481,24.3,0.0,25.030356,121.564836,台北101/世貿站出口3,291
房地(土地+建物),試院路１４４巷４弄４０號五樓,5.0,27.0,1,20.62,436568,0.0,,24.990566,121.548078,景美站出口2,717
房地(土地+建物),南京東路五段２９１巷２９弄２２號五樓之１,5.0,18.0,1,7.24,739380,0.0,,25.052776,121.567028,南京三民站出口4,268
房地(土地+建物),木新路三段３１０巷６弄４號二樓,2.0,,0,33.08,411183,0.0,,24.981664,121.557077,大坪林站出口5,1404
房地(土地+建物),中山北路六段４１９巷３７號,1.0,37.0,0,41.68,527852,0.0,,25.115007,121.526321,明德站出口2,945
房地(土地+建物)+車位,汀州路四段１９１號十一樓,11.0,11.0,1,77.8,656788,0.0,,25.003649,121.535826,萬隆站出口4,297
房地(土地+建物),東園街２８巷５０號五樓之８,5.0,29.0,1,10.51,397532,0.0,,25.026496,121.494786,龍山寺站出口2,1083
房地(土地+建物)+車位,民權東路六段２８０巷３８號,1.0,31.0,1,52.93,978589,9.5,0.0,25.070897,121.607099,葫洲站出口2,182
房地(土地+建物),寶清街１０號二樓之６,2.0,25.0,1,12.58,794661,0.0,,25.049948,121.568749,南京三民站出口3,446
房地(土地+建物),忠誠路一段１６巷２３之１號,1.0,26.0,1,20.29,803525,0.0,,25.105747,121.525856,芝山站出口2,413
房地(土地+建物)+車位,健康路３２５巷２５弄１０號十樓,10.0,1.0,1,54.73,1129584,12.06,0.0,25.05638,121.566473,南京三民站出口4,562
房地(土地+建物)+車位,南港路二段２８６號七樓,7.0,1.0,1,79.03,711818,10.61,0.0,25.05449,121.59608,昆陽站出口4,493
房地(土地+建物),建民路１５３號,,54.0,0,36.21,1237151,0.0,,25.110554,121.519417,明德站出口2,92
房地(土地+建物),松山路２６０號十一樓,11.0,38.0,1,20.99,709847,0.0,,25.044135,121.577452,永春站出口5,363
房地(土地+建物),內湖路三段６０巷１２弄５９號二樓,2.0,38.0,0,27.2,349216,0.0,,25.088876,121.592011,內湖站出口1,614
房地(土地+建物),吉林路４４７巷１２號四樓,4.0,37.0,0,29.97,533945,0.0,,25.067263,121.531058,中山國小站出口4,651
房地(土地+建物),師大路９２巷８之１號五樓,5.0,39.0,1,16.66,864102,0.0,,25.02255,121.527886,台電大樓站出口3,152
房地(土地+建物),建國北路二段１０９號十一樓,11.0,36.0,1,37.26,730022,0.0,,25.059293,121.53732,行天宮站出口3,401
房地(土地+建物),永興路一段３７號二樓,2.0,44.0,0,23.46,458131,0.0,,25.139329,121.500179,新北投站出口2,360
房地(土地+建物),中坡南路３１巷８號三樓之２,3.0,1.0,1,15.36,982363,0.0,,25.043169,121.583167,後山埤站出口2,145
房地(土地+建物)+車位,大業路４６０號十三樓,13.0,25.0,1,37.85,597161,0.0,,25.13187,121.496372,北投站出口1,183
房地(土地+建物)+車位,吉林路８巷１２號,1.0,13.0,1,61.89,794941,0.0,,25.049329,121.529416,松江南京站出口3,399
房地(土地+建物)+車位,麗山街５９號十二樓,12.0,10.0,1,85.86,997211,13.15,0.0,25.081324,121.580526,港墘站出口1,494
房地(土地+建物),建民路１２５巷２１號四樓,4.0,43.0,0,29.55,406117,0.0,,25.110261,121.516913,明德站出口3,167
房地(土地+建物),延壽街３３２號九樓之３,9.0,13.0,1,63.99,875168,0.0,,25.056447,121.559878,南京三民站出口1,631
房地(土地+建物)+車位,汀州路一段３５０號十五樓之２,15.0,2.0,1,56.54,919948,11.7,256410.0,25.026296,121.512699,中正紀念堂站出口2,881
房地(土地+建物),興隆路三段１３７號十樓之５,10.0,14.0,1,10.94,749861,0.0,,24.998332,121.55878,萬芳醫院站出口,157
房地(土地+建物)+車位,民權東路六段１９０巷２１弄３１號二樓,2.0,7.0,0,14.14,784757,3.94,0.0,25.067826,121.59531,葫洲站出口2,1307
房地(土地+建物),雨聲街８巷１之１號四樓,4.0,39.0,0,34.8,439623,0.0,,25.102346,121.533649,芝山站出口1,1109
房地(土地+建物),大道路４２巷１８號二樓,2.0,47.0,0,29.11,611547,0.0,,25.041382,121.581271,後山埤站出口2,265
房地(土地+建物),忠孝東路六段２７８巷５弄１號,1.0,39.0,0,30.81,967232,0.0,,25.048929,121.589532,昆陽站出口1,357
房地(土地+建物),艋舺大道３８８巷７號二樓,2.0,50.0,0,23.73,379201,0.0,,25.030805,121.494385,龍山寺站出口2,726
房地(土地+建物),金龍路２２２巷１６號十樓之６,10.0,28.0,1,11.31,698469,0.0,,25.087985,121.585356,內湖站出口1,1014
房地(土地+建物),忠孝東路三段２５１巷７弄２之１號,2.0,53.0,0,32.95,846627,0.0,,25.04291,121.541762,忠孝復興站出口1,186
房地(土地+建物),木柵路一段２１６號二樓,2.0,34.0,0,4.71,403145,0.0,,24.98788,121.553341,大坪林站出口5,1164
房地(土地+建物),吳興街３９４巷１２號五樓之１,5.0,30.0,1,14.22,597856,0.0,,25.024563,121.566724,象山站出口2,926
房地(土地+建物),東園街４６巷７之１號三樓,3.0,48.0,0,28.57,350078,0.0,,25.026436,121.496135,龍山寺站出口2,1033
房地(土地+建物),新生南路一段１４５號十一樓之３,11.0,1.0,1,14.76,1574992,0.0,,25.035887,121.532987,大安森林公園站出口1,285
房地(土地+建物)+車位,仁愛路二段７１號三樓之３,3.0,45.0,1,32.07,1074280,0.0,,25.0384,121.530976,忠孝新生站出口5,327
房地(土地+建物)+車位,新生南路一段１４５號十一樓之２,11.0,1.0,1,25.55,1557968,4.85,515464.0,25.035887,121.532987,大安森林公園站出口1,285
房地(土地+建物),敦化北路４巷３７號三樓之１,3.0,6.0,1,10.88,1011226,0.0,,25.050097,121.545154,南京復興站出口5,199
房地(土地+建物),羅斯福路五段２１１巷２６弄１號四樓,4.0,,0,31.84,424061,0.0,,25.00218,121.539784,萬隆站出口3,59
房地(土地+建物),臨沂街６３巷１３之３號,1.0,50.0,0,24.55,1303577,0.0,,25.036215,121.529778,東門站出口7,251
房地(土地+建物),南深路３３號七樓之２,7.0,23.0,1,11.23,400864,0.0,,25.036678,121.620821,南港展覽館站出口7,1949
房地(土地+建物),中山北路七段１４巷６５弄５號五樓,5.0,37.0,0,30.62,457187,0.0,,25.121859,121.53457,石牌站出口2,2064
房地(土地+建物),文昌路１７９巷１７號,1.0,48.0,0,25.49,745254,0.0,,25.098328,121.519168,芝山站出口1,541
房地(土地+建物),忠誠路二段１３０巷８號五樓,5.0,44.0,0,23.55,509628,0.0,,25.114281,121.531695,明德站出口1,1379
房地(土地+建物)+車位,忠勇街４０巷４弄１號五樓,5.0,18.0,1,120.43,514830,0.0,,25.098719,121.533772,士林站出口1,939
房地(土地+建物)+車位,德行東路３５８巷１４弄１０號,1.0,34.0,0,46.61,600913,7.51,0.0,25.109825,121.538943,芝山站出口2,1800
房地(土地+建物),重慶南路三段６３號六樓之２,6.0,9.0,1,21.23,753779,0.0,,25.026572,121.516316,古亭站出口7,558
房地(土地+建物),景福街５４巷５弄４號五樓,5.0,34.0,0,43.96,500429,0.0,,24.99985,121.538031,萬隆站出口1,190
房地(土地+建物)+車位,萬壽路６２之８號,1.0,14.0,1,13.58,536338,3.33,0.0,24.985924,121.587227,動物園站出口2,1559
房地(土地+建物),行善路３５號五樓,5.0,24.0,1,38.66,556182,0.0,,25.056832,121.576425,松山站出口5,711
房地(土地+建物),辛亥路四段１６６巷２６弄４之４號二樓,2.0,,0,22.21,450319,0.0,,25.004946,121.556142,辛亥站出口,91
房地(土地+建物),環河南路三段１０９號六樓,6.0,43.0,1,37.08,404493,0.0,,25.024876,121.490773,龍山寺站出口2,1457
房地(土地+建物),內湖路一段４１１巷９０弄６號四樓,4.0,38.0,0,29.31,375309,0.0,,25.08461,121.571735,西湖站出口2,545
房地(土地+建物)+車位,文湖街２１巷１１８弄１２號五樓,5.0,3.0,1,42.27,697774,7.53,225764.0,25.091489,121.559856,劍南路站出口1,807
房地(土地+建物)+車位,東園街６６巷２４弄８號二樓,2.0,5.0,1,54.7,484425,0.0,,25.024802,121.495488,龍山寺站出口2,1226
房地(土地+建物),研究院路一段１１９號二樓,2.0,43.0,0,27.11,651124,0.0,,25.051466,121.615991,南港展覽館站出口7,359
房地(土地+建物),德昌街１８５巷１２弄３４號,1.0,,0,13.34,524729,0.0,,25.022997,121.493297,龍山寺站出口2,1498
房地(土地+建物),忠誠路二段２１巷５３號,,47.0,0,41.1,1009792,0.0,,25.110119,121.533451,芝山站出口2,1319
房地(土地+建物),致遠一路二段６５號二樓,2.0,38.0,0,29.17,572505,0.0,,25.112402,121.513308,石牌站出口2,321
房地(土地+建物)+車位,天母北路１５號二樓,2.0,28.0,1,59.97,616970,0.0,,25.119412,121.526724,石牌站出口2,1241
房地(土地+建物),興隆路四段１６５巷１４號五樓,5.0,,0,29.14,417985,0.0,,24.984092,121.562657,萬芳社區站出口,1712
房地(土地+建物),木柵路四段１５９巷１７０弄１３號二樓,2.0,39.0,0,28.23,301138,0.0,,25.00336,121.577393,動物園站出口1,619
房地(土地+建物),永吉路５２７號二樓,2.0,37.0,0,39.95,735399,0.0,,25.045536,121.5804,後山埤站出口1,160
房地(土地+建物),文林路７６３號十樓之２,10.0,41.0,1,21.79,463536,0.0,,25.103191,121.519026,芝山站出口2,341
房地(土地+建物),葫蘆街６１巷１０號三樓,3.0,43.0,0,29.39,330035,0.0,,25.08007,121.508619,圓山站出口2,1480
房地(土地+建物)+車位,辛亥路四段１６２號五樓,5.0,12.0,1,62.91,701656,10.46,0.0,25.00395,121.556275,辛亥站出口,150
房地(土地+建物)+車位,芝玉路一段２２６號十三樓之２,13.0,13.0,1,72.54,774264,9.25,324324.0,25.10904,121.534286,芝山站出口2,1335
房地(土地+建物),德行東路２８４巷２４號二樓,2.0,39.0,0,39.11,460274,0.0,,25.109631,121.536206,芝山站出口2,1538
房地(土地+建物)+車位,中山北路二段１２８巷９號七樓之２,7.0,10.0,1,37.39,881663,14.93,167448.0,25.061837,121.521529,民權西路站出口8,136
房地(土地+建物)+車位,迪化街二段１５８號十樓之９,10.0,1.0,1,35.04,784799,9.71,0.0,25.066822,121.510066,大橋頭站出口1A,423
房地(土地+建物),德行東路１０９巷７３弄４號二樓,2.0,42.0,0,30.72,645893,0.0,,25.109882,121.528173,芝山站出口2,893
