交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺)
房地(土地+建物),幽雅路７號十一樓之８,11.0,13.0,1,18.62,412552,0.0,,25.137316,121.513129,新北投站出口1,968
房地(土地+建物)+車位,民權東路六段２２２之１號八樓之１,8.0,14.0,1,45.25,743915,9.63,290758.0,25.066877,121.598798,葫洲站出口2,1054
房地(土地+建物),環山路二段２６巷７號四樓,4.0,40.0,0,32.66,532698,0.0,,25.086215,121.572685,港墘站出口2,713
房地(土地+建物),吳興街３９４巷１６號四樓,4.0,30.0,1,12.14,650616,0.0,,25.024583,121.56653,象山站出口2,931
房地(土地+建物)+車位,建國北路三段７１號十一樓之９,11.0,6.0,1,37.27,752015,8.01,474407.0,25.065123,121.537204,行天宮站出口4,678
房地(土地+建物),承德路四段４０巷１號五樓之１１,5.0,49.0,0,9.29,430722,0.0,,25.080995,121.522197,劍潭站出口2,361
房地(土地+建物),天母西路２２巷２０號二樓,2.0,40.0,0,31.02,614536,0.0,,25.117518,121.527344,石牌站出口2,1202
房地(土地+建物),萬慶街２２之３號四樓,4.0,47.0,0,27.38,416420,0.0,,24.992821,121.539349,景美站出口3,121
房地(土地+建物)+車位,街２６號四樓,4.0,11.0,1,50.93,956634,12.99,192456.0,25.05467,121.606829,南港站出口2,300
房地(土地+建物),吉利街１２２巷３號四樓,4.0,49.0,0,32.07,477111,0.0,,25.118348,121.507178,唭哩岸站出口1,264
房地(土地+建物),中央南路一段１１７號四樓,4.0,45.0,0,33.01,469529,0.0,,25.130413,121.501232,北投站出口2,216
房地(土地+建物),武成街３１號,1.0,52.0,0,19.08,628975,0.0,,25.018473,121.495418,中原站出口,1593
房地(土地+建物),和平東路三段４１６巷１５弄１４號,1.0,36.0,0,30.96,558716,0.0,,25.017694,121.559144,麟光站出口,110
房地(土地+建物)+車位,敦化南路二段５６號十一樓之１,11.0,40.0,1,90.52,1239210,14.66,341064.0,25.030632,121.548405,信義安和站出口2,477
房地(土地+建物),成福路１４９巷５弄１號二樓,2.0,8.0,1,54.19,713748,0.0,,25.041899,121.588377,後山埤站出口3,634
房地(土地+建物),光復南路４１７巷１號二樓,2.0,28.0,1,38.42,959049,0.0,,25.036906,121.557901,國父紀念館站出口2,474
房地(土地+建物),萬大路４８６巷３７弄１０號三樓,3.0,53.0,0,13.47,497390,0.0,,25.019869,121.496116,龍山寺站出口2,1735
房地(土地+建物),仁愛路四段２３２號四樓之２,4.0,43.0,1,26.8,1104293,0.0,,25.037507,121.552262,忠孝敦化站出口3,432
房地(土地+建物),福德街３３９巷７弄８號二樓,2.0,45.0,0,18.86,678546,0.0,,25.038193,121.589782,後山埤站出口2,1007
房地(土地+建物),瑞安街１７之２號二樓,2.0,39.0,1,42.09,812607,0.0,,25.031553,121.544066,大安站出口5,150
房地(土地+建物),光復南路４５巷１８號四樓,3.0,38.0,1,40.83,707736,0.0,,25.046175,121.558764,國父紀念館站出口5,525
房地(土地+建物)+車位,內湖路二段３３８之１號九樓,9.0,7.0,1,26.75,578264,0.0,,25.081747,121.589394,文德站出口1,510
房地(土地+建物)+車位,三合街一段６５號四樓,4.0,7.0,1,96.11,687267,36.74,209581.0,25.126845,121.505591,奇岩站出口1,471
房地(土地+建物)+車位,文林路７６０號十一樓,11.0,18.0,1,67.91,845912,9.98,300601.0,25.103333,121.519905,芝山站出口2,251
房地(土地+建物),成功路二段１９３巷８號五樓之３,5.0,12.0,1,13.68,660281,0.0,,25.066493,121.591044,文德站出口1,1459
房地(土地+建物),民生東路三段１１３巷２５弄１２號四樓,4.0,40.0,1,40.39,825705,0.0,,25.059205,121.547034,中山國中站出口,357
房地(土地+建物)+車位,興隆路一段５３號三樓之５,3.0,25.0,1,29.54,466766,4.56,0.0,25.004061,121.540933,萬隆站出口3,270
房地(土地+建物),敦化南路二段６３巷５４弄４號五樓,5.0,38.0,1,35.97,978113,0.0,,25.030723,121.551447,信義安和站出口2A,263
房地(土地+建物)+車位,芝玉路一段１９７巷７號六樓,6.0,10.0,1,61.95,882968,13.25,226415.0,25.107205,121.533489,芝山站出口2,1184
房地(土地+建物),天母北路１０５巷１５弄１號八樓之２,8.0,27.0,1,10.13,592435,0.0,,25.124083,121.527458,石牌站出口1,1593
房地(土地+建物)+車位,瑞安街２４４巷１６號五樓,5.0,5.0,1,82.32,1314121,15.45,388350.0,25.027575,121.539083,科技大樓站出口,485
房地(土地+建物),和平東路三段３９１巷８弄６６號二樓,2.0,45.0,0,21.8,607851,0.0,,25.021185,121.558081,麟光站出口,297
房地(土地+建物)+車位,南京東路三段１９４巷５號五樓之３,5.0,31.0,1,16.33,820630,3.44,436047.0,25.05124,121.542548,南京復興站出口3,81
房地(土地+建物),中山北路七段２１９巷３弄１４７號,1.0,37.0,1,33.92,512983,0.0,,25.128296,121.530414,石牌站出口1,2128
房地(土地+建物)+車位,金湖路６５巷７號五樓之１,5.0,16.0,1,40.58,861142,12.48,216346.0,25.081894,121.596651,內湖站出口2,282
房地(土地+建物),玉成街７８號五樓,5.0,37.0,0,35.49,539600,0.0,,25.046375,121.582575,後山埤站出口4,81
房地(土地+建物),南京東路五段２５０巷３６弄１２號五樓,5.0,43.0,0,31.77,645170,0.0,,25.049525,121.566603,南京三民站出口3,285
房地(土地+建物)+車位,和平東路二段１８巷５號十樓之１,10.0,13.0,1,50.8,895638,0.0,,25.024653,121.53602,科技大樓站出口,785
房地(土地+建物),社正路１７巷２號四樓之１,4.0,6.0,1,20.04,601189,0.0,,25.0891,121.509143,劍潭站出口1,1677
房地(土地+建物),德行東路６之２號,1.0,39.0,1,50.42,1933848,0.0,,25.107725,121.528575,芝山站出口2,762
房地(土地+建物)+車位,內湖路一段４１１巷６８號九樓,9.0,5.0,1,166.36,957240,30.55,0.0,25.083995,121.57088,西湖站出口2,436
房地(土地+建物),仁愛路四段２３０號五樓之３,5.0,43.0,1,27.02,1040115,0.0,,25.037508,121.552177,忠孝敦化站出口3,430
房地(土地+建物),伊寧街７４號,1.0,50.0,0,30.3,649961,0.0,,25.064643,121.509943,大橋頭站出口1A,232
房地(土地+建物)+車位,明水路４７９號三樓,3.0,26.0,1,73.23,913735,22.45,222717.0,25.078043,121.551638,大直站出口3,491
房地(土地+建物)+車位,五常街１１巷５號十樓之１,10.0,2.0,1,46.7,943759,10.62,188324.0,25.064522,121.537885,行天宮站出口4,676
房地(土地+建物),復興南路二段１２５巷２０弄６之５號三樓,3.0,50.0,0,14.94,910096,0.0,,25.028741,121.544501,科技大樓站出口,301
房地(土地+建物)+車位,辛亥路四段２０９巷２０號二十二樓,22.0,2.0,1,44.13,911356,10.0,200000.0,25.002049,121.55605,萬芳醫院站出口,342
房地(土地+建物)+車位,研究院路三段１２巷３號二樓,2.0,18.0,1,54.12,431447,0.0,,25.035772,121.616435,南港站出口2,2022
房地(土地+建物)+車位,至善路二段９０號五樓之６,5.0,6.0,0,34.32,869721,10.75,0.0,25.097688,121.546186,劍南路站出口1,1641
房地(土地+建物)+車位,經貿二路２３５巷２９號十一樓,11.0,7.0,1,104.16,840081,0.0,,25.061246,121.616227,南港軟體園區站出口1,103
房地(土地+建物),康寧路三段２６５巷２９號五樓,5.0,37.0,0,32.2,571517,0.0,,25.066438,121.612538,東湖站出口3,91
房地(土地+建物),興隆路二段９６巷２弄９號五樓,5.0,,0,29.62,506453,0.0,,25.000147,121.549779,萬芳醫院站出口,806
房地(土地+建物)+車位,信安街１０３巷６之６號二樓,2.0,1.0,1,38.18,869855,8.69,270426.0,25.025037,121.557337,六張犁站出口,482
房地(土地+建物),知行路４巷６號四樓,4.0,36.0,0,27.88,251036,0.0,,25.117733,121.466443,關渡站出口1,859
房地(土地+建物),復興北路４８９號三樓之６,3.0,15.0,1,12.62,736909,0.0,,25.065071,121.544475,中山國中站出口,475
房地(土地+建物),金龍路４７巷２０之１號,1.0,38.0,0,28.78,573258,0.0,,25.085472,121.593634,內湖站出口1,202
房地(土地+建物),承德路三段１２２巷１２號二樓之１,2.0,1.0,1,20.31,713940,0.0,,25.067345,121.517649,圓山站出口1,452
房地(土地+建物)+車位,萬芳路１０７巷８號十四樓,14.0,9.0,1,79.3,779299,20.71,0.0,24.996967,121.561955,萬芳醫院站出口,503
房地(土地+建物),敦化南路一段２３３巷３１號八樓,8.0,34.0,1,26.32,990749,0.0,,25.040494,121.551035,忠孝敦化站出口4,106
房地(土地+建物)+車位,通河西街一段３號十樓,10.0,13.0,1,82.6,726388,0.0,,25.079456,121.515108,圓山站出口2,991
房地(土地+建物)+車位,福華路２號,1.0,3.0,1,42.83,987278,11.43,218723.0,25.100187,121.523726,芝山站出口1,234
房地(土地+建物),基河路１２８號四樓之１７,4.0,25.0,1,11.84,574479,0.0,,25.088648,121.523185,劍潭站出口1,449
房地(土地+建物),環山路一段１３６巷１４弄６號三樓,3.0,45.0,0,23.2,560376,0.0,,25.087575,121.568276,西湖站出口1,605
房地(土地+建物),八德路三段１９９巷８號,1.0,42.0,0,27.18,907400,0.0,,25.048969,121.556261,台北小巨蛋站出口4,443
房地(土地+建物),八德路四段１０６巷６弄１２號四樓,4.0,52.0,0,26.67,704875,0.0,,25.047298,121.560496,南京三民站出口2,507
房地(土地+建物),忠孝東路五段４２３巷８０號三樓,3.0,38.0,0,14.33,767490,0.0,,25.043855,121.575504,永春站出口1,320
房地(土地+建物)+車位,信安街１０３巷８號二樓,2.0,1.0,1,36.66,886255,9.49,273973.0,25.025088,121.557524,六張犁站出口,502
房地(土地+建物),中社路一段４３巷７號,1.0,46.0,0,20.81,478090,0.0,,25.108983,121.560278,劍南路站出口1,2660
房地(土地+建物),市民大道三段１６９號四樓之３,4.0,14.0,1,20.72,591181,0.0,,25.044811,121.540648,忠孝復興站出口1,419
房地(土地+建物),大興街２３巷２５號二樓,2.0,39.0,0,35.09,398940,0.0,,25.130698,121.498102,北投站出口2,116
房地(土地+建物)+車位,中坡南路２０１巷１８之３號十二樓,12.0,1.0,1,42.44,974461,9.91,302725.0,25.041398,121.586504,後山埤站出口2,534
房地(土地+建物),文化三路１６６號五樓,5.0,3.0,1,28.63,586889,0.0,,25.139525,121.499009,新北投站出口2,458
房地(土地+建物)+車位,安東街３５巷１７號二樓之４,2.0,19.0,1,15.79,948960,2.31,865801.0,25.044221,121.543079,忠孝復興站出口5,261
房地(土地+建物)+車位,研究院路一段１０１巷１６弄１０號九樓,9.0,9.0,1,42.99,799889,2.99,602007.0,25.05145,121.616278,南港展覽館站出口7,344
房地(土地+建物),文林路６４３巷３弄１９號,1.0,54.0,0,15.63,1103850,0.0,,25.099724,121.522797,芝山站出口1,259
房地(土地+建物)+車位,星雲街１３５號十二樓之３,12.0,17.0,1,71.99,908085,16.38,305250.0,25.080803,121.596185,內湖站出口2,353
房地(土地+建物)+車位,信安街１０３巷８號四樓之５,4.0,1.0,1,39.34,882549,9.49,258166.0,25.025088,121.557524,六張犁站出口,502
房地(土地+建物),光復北路１６１巷１號五樓,5.0,44.0,0,39.88,677108,0.0,,25.055882,121.555834,台北小巨蛋站出口4,567
房地(土地+建物),復興北路４０２巷１２號四樓,4.0,38.0,1,43.4,879962,0.0,,25.061711,121.543247,中山國中站出口,123
房地(土地+建物),寶興街８０巷１７弄１號二樓,2.0,49.0,0,23.92,489158,0.0,,25.025465,121.494207,龍山寺站出口2,1211
房地(土地+建物),大興街２３巷２５號,1.0,39.0,0,61.29,391604,0.0,,25.130698,121.498102,北投站出口2,116
房地(土地+建物),松信路１１７號五樓,5.0,44.0,0,26.83,797474,0.0,,25.044537,121.572184,永春站出口1,493
房地(土地+建物)+車位,承德路七段１６２號七樓之１,7.0,8.0,1,57.3,721661,11.09,252480.0,25.113279,121.508866,石牌站出口1,670
房地(土地+建物)+車位,和平東路一段１８３巷７弄８號四樓,4.0,15.0,1,68.75,1015242,0.0,,25.027169,121.533774,大安森林公園站出口2,696
房地(土地+建物),青年路１６８巷１８號三樓,3.0,47.0,0,11.46,471383,0.0,,25.020395,121.502116,頂溪站出口2,1508
房地(土地+建物),辛亥路四段７７巷９２弄１１號十三樓之１,13.0,18.0,1,13.19,515582,0.0,,25.008661,121.561555,辛亥站出口,603
房地(土地+建物),奇岩路６之７號四樓,4.0,40.0,1,10.33,358272,0.0,,25.134285,121.507278,新北投站出口1,481
房地(土地+建物),雙溪街１０２號七樓之２,7.0,30.0,1,8.48,760426,0.0,,25.100855,121.525978,芝山站出口1,362
房地(土地+建物)+車位,建國北路三段７１號四樓之５,4.0,6.0,1,27.1,797066,2.51,717131.0,25.065123,121.537204,行天宮站出口4,678
房地(土地+建物)+車位,臨沂街７１巷１９弄３號二樓之１,2.0,20.0,1,23.66,858043,0.0,,25.035406,121.529466,東門站出口8,156
