交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺)
房地(土地+建物),清江路１７７巷９號五樓,5.0,42.0,0,5.56,359912,0.0,,25.128145,121.502234,奇岩站出口1,258
房地(土地+建物),莊敬路３９１巷６號三樓,3.0,40.0,1,37.36,843041,0.0,,25.027992,121.565786,台北101/世貿站出口3,570
房地(土地+建物)+車位,市民大道四段３９之１號二十一樓,21.0,3.0,1,108.6,2121140,24.54,334148.0,25.045789,121.545875,忠孝復興站出口4,454
房地(土地+建物)+車位,中央北路四段１８巷４６弄２０號三樓,3.0,22.0,1,60.92,385749,0.0,,25.136408,121.479219,復興崗站出口2,603
房地(土地+建物),文德路２２巷５３弄２５號四樓,4.0,39.0,1,32.01,574757,0.0,,25.07567,121.57982,文德站出口2,566
房地(土地+建物),福德街２６８巷４弄１１號,1.0,44.0,0,22.79,759094,0.0,,25.039477,121.586319,後山埤站出口2,650
建物,和平西路二段６０巷１９號,,66.0,0,10.85,193483,0.0,,25.028183,121.511944,小南門站出口4,785
房地(土地+建物)+車位,敦化南路一段１３８號十二樓之６,12.0,2.0,1,64.63,1525132,9.76,461066.0,25.044549,121.548483,忠孝敦化站出口8,300
房地(土地+建物)+車位,市民大道四段３９號二十一樓,21.0,3.0,1,123.83,2150214,24.54,334148.0,25.045789,121.545875,忠孝復興站出口4,454
房地(土地+建物)+車位,公路４０６號十樓之１,10.0,25.0,1,44.72,720410,8.91,0.0,25.132303,121.502681,北投站出口2,379
房地(土地+建物),民生西路４５巷５弄１９號三樓,3.0,55.0,0,18.25,569964,0.0,,25.058472,121.521472,雙連站出口2,112
房地(土地+建物),愛國東路７４巷２５號五樓之１,5.0,15.0,1,12.91,1452286,0.0,,25.033145,121.519024,中正紀念堂站出口3,96
房地(土地+建物),新民路１巷８號七樓之９,7.0,42.0,1,23.63,347087,0.0,,25.141353,121.507536,新北投站出口1,633
房地(土地+建物),景雲街２２之１號四樓,4.0,42.0,1,29.93,524622,0.0,,25.019405,121.573759,象山站出口2,1493
