鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
信義區,房地(土地+建物),信義路五段１５０巷４６３號三樓之２,9.45,住,,,1110501,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,830715.0,33.47,0,0,0,無,有,7300000,218106.0,,0.0,0,,RPTNMLKKNHHGFDA37DA,20.32,0.0,3.59,有,,28.0
北投區,房地(土地+建物),大度路三段３０１巷２８弄２８號二樓,25.96,住,,,1110505,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,760123.0,91.27,3,3,3,有,無,10000000,109565.0,,0.0,0,,RPWOMLMKNHHGFEA08DA,74.12,0.0,9.7,無,9.0,35.0
大安區,房地(土地+建物),羅斯福路二段８１巷７之２號,40.4,住,,,1110505,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,900117.0,155.62,3,2,2,有,有,66000000,424110.0,,0.0,0,,RPSOMLRKNHHGFFA28DA,91.93,5.18,10.09,有,,21.0
內湖區,房地(土地+建物)+車位,大湖山莊街２１９巷３１弄５１號二樓,41.15,住,,,1110509,土地1建物1車位1,二層，三層,五層,公寓(5樓含以下無電梯),住家用,770816.0,156.18,3,2,2,有,無,20880000,133692.0,坡道平面,33.77,0,,RPTOMLRKNHHGFCA08DA,139.91,2.04,12.16,無,18.0,34.0
信義區,房地(土地+建物)+車位,忠孝東路五段７４３巷２１弄２３號七樓,14.45,住,,,1110503,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,1040821.0,107.65,2,1,1,有,有,26580000,358835.0,坡道平面,41.38,2800000,,RPOPMLMLMHHGFDA37EA,36.81,1.68,4.24,有,19.0,7.0
北投區,房地(土地+建物),清江路９１巷４號,128.0,住,,,1110505,土地2建物1車位0,全,二層,透天厝,住家用,610914.0,161.18,0,0,0,無,無,37500000,232659.0,,0.0,0,,RPQNMLTKNHHGFEA18EA,161.18,0.0,0.0,無,22.0,50.0
大安區,房地(土地+建物)+車位,忠孝東路四段２６巷８６號三樓,23.5,住,,,1110511,土地2建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,990212.0,225.0,3,2,2,有,有,73500000,326667.0,坡道機械,33.44,0,,RPTNMLRKNHHGFFA28DA,117.17,0.0,11.98,有,,12.0
士林區,房地(土地+建物)+車位,中山北路五段７１８號十一樓,21.67,住,,,1110502,土地2建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,1080730.0,244.98,3,2,2,有,有,69500000,283697.0,坡道平面,0.0,0,,RPSPMLSKNHHGFEA48EA,124.96,4.66,15.02,有,25.0,3.0
大安區,房地(土地+建物)+車位,新生南路一段１１９巷２６號二樓,32.5,住,,,1110501,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,951206.0,142.01,2,2,1,有,無,44880000,316034.0,塔式車位,0.0,0,陽台外推；,RPOPMLSKNHHGFFA18EA,67.32,7.86,8.57,有,,15.0
北投區,房地(土地+建物),行義路１０巷２號三樓之５,16.6,,,,1110502,土地2建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,821224.0,82.21,2,1,1,有,有,14850000,180635.0,,0.0,0,,RPQNMLKLNHHGFEA37EA,56.62,0.9,7.89,有,31.0,28.0
北投區,房地(土地+建物)+車位,知行路２９３巷１６號十樓之１,17.18,住,,,1110501,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,980717.0,123.61,1,1,1,有,有,14500000,117304.0,坡道平面,49.48,0,,RPOOMLTKNHHGFEA08EA,43.19,0.0,4.21,有,,13.0
信義區,房地(土地+建物),吳興街１８４巷６號,64.0,住,,,1110509,土地1建物1車位0,全,二層,透天厝,住家用,,94.3,4,2,2,有,無,34848000,369544.0,,0.0,0,,RPPNMLNLNHHGFDA47EA,94.3,0.0,0.0,無,,
士林區,房地(土地+建物),中山北路五段８２９巷１５弄７號,21.25,住,,,1110501,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,621228.0,69.75,3,2,1,有,無,17500000,250896.0,,0.0,0,其他增建；,RPTOMLKLNHHGFEA77EA,59.38,10.37,0.0,無,,48.0
中山區,房地(土地+建物)+車位,北安路６６８號六樓,35.14,住,,,1110505,土地1建物1車位2,六層,十層,華廈(10層含以下有電梯),住家用,1090110.0,219.81,0,0,0,無,無,68800000,375527.0,其他,46.72,3800000,,RPROMLKLNHHGFCA37EA,98.81,0.0,11.05,有,,2.0
士林區,房地(土地+建物),承德路四段４０巷５０號三樓之６,12.82,住,,,1110503,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,591008.0,35.6,2,1,1,有,有,4380000,123034.0,,0.0,0,陽台外推；,RPOOMLKLNHHGFEA27EA,32.4,1.85,1.35,無,,52.0
