鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
北投區,房地(土地+建物)+車位,關渡路４６號八樓,34.62,住,,,1110802,土地2建物1車位4,八層,二十七層,住宅大樓(11層含以上有電梯),住家用,1010810.0,339.77,4,2,3,有,有,60180000,177120.0,坡道機械,91.0,0,外牆挑空補板陽台外推；其他增建；,RPXOMLSJQHHGFEA98DA,138.94,13.32,18.15,有,2.0,10.0
南港區,房地(土地+建物),南港路二段８６巷９弄７號二樓,7.67,住,,,1110802,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,730211.0,19.88,4,2,2,有,無,3800000,191147.0,,0.0,0,,RPWNMLMKQHHGFDA28EA,15.61,0.0,3.53,無,,38.0
文山區,房地(土地+建物),指南路三段２６號六樓之１,11.48,住,,,1110804,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,970508.0,43.01,1,1,1,有,有,8820000,205069.0,,0.0,0,,RPVNMLOJQHHGFAA87DA,24.69,0.0,3.51,有,9.0,14.0
內湖區,房地(土地+建物)+車位,內湖路一段９１巷５７號六樓之３,18.54,住,,,1110802,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,921205.0,97.34,2,1,1,有,有,16800000,172591.0,坡道機械,19.07,0,夾層；,RPTNMLQKQHHGFCA18DA,51.86,1.12,4.75,有,11.0,19.0
北投區,房地(土地+建物),石牌路一段１６６巷１１１號五樓,19.0,住,,,1110801,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,691205.0,65.19,1,1,1,有,無,12900000,197883.0,,0.0,0,頂樓加蓋；,RPUOMLPKQHHGFEA48DA,48.91,11.44,4.84,無,15.0,42.0
士林區,房地(土地+建物)+車位,中山北路五段６９８巷１６號六樓,35.64,住,,,1110808,土地1建物1車位2,六層,八層,華廈(10層含以下有電梯),住家用,911105.0,253.34,3,2,2,有,有,43000000,169732.0,升降平面,0.0,5000000,陽台外推；,RPPPMLRKQHHGFEA38EA,95.61,3.98,6.1,有,21.0,20.0
大安區,房地(土地+建物),復興南路二段３２９號十八樓之２,15.97,住,,,1110802,土地2建物1車位0,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,760519.0,141.29,3,3,3,有,有,41000000,290183.0,,0.0,0,,RPQNMLSKQHHGFFA38DA,85.99,0.0,25.9,有,,35.0
士林區,房地(土地+建物)+車位,中山北路七段２１８之８號,130.35,住,,,1110803,土地1建物1車位2,全,四層,透天厝,住家用,860910.0,316.43,4,3,5,有,有,69580000,219891.0,坡道平面,0.0,0,陽台外推；夾層；,RPPNMLTKQHHGFEA38EA,159.42,38.88,23.3,無,,25.0
中山區,房地(土地+建物)+車位,南京東路三段８９巷２７弄８號三樓,18.38,住,,,1110803,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,1061002.0,137.8,3,2,2,有,有,34880000,345995.0,坡道平面,45.66,3000000,夾層；,RPUNMLTKQHHGFCA58DA,51.68,7.06,3.54,有,39.0,5.0
北投區,房地(土地+建物),懷德街８４巷８號,23.46,住,,,1110808,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,670621.0,83.08,2,2,1,有,無,20500000,246750.0,,0.0,0,其他增建；,RPPPMLNLQHHGFEA97DA,69.16,7.7,0.0,無,,44.0
文山區,房地(土地+建物),萬壽路６２之６號五樓,20.17,住,,,1110803,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,961023.0,41.96,1,0,1,有,有,5880000,140133.0,,0.0,0,其他增建；,RPVPMLPKQHHGFAA28DA,22.18,0.0,4.24,有,49.0,15.0
信義區,房地(土地+建物)+車位,信義路五段９１巷１２弄１號七樓之５,20.37,住,,,1110809,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,971224.0,117.1,2,2,1,有,有,31000000,264731.0,坡道平面,0.0,0,陽台外推；,RPSOMLOLQHHGFDA28EA,37.9,2.45,4.3,有,53.0,14.0
松山區,房地(土地+建物),民權東路三段１４０巷９號六樓之３,25.05,住,,,1110801,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,691107.0,173.08999999999995,2,3,2,有,有,39200000,226472.0,,0.0,0,陽台外推；其他增建；,RPSPMLPKQHHGFDA28DA,132.16,0.0,19.07,有,65.0,42.0
中山區,房地(土地+建物),松江路１６０巷１７號四樓,40.88,住,,,1110801,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,630109.0,118.93,3,2,2,有,無,25600000,215253.0,,0.0,0,頂樓加蓋；,RPWOMLQKOHHGFCA48EA,102.13,0.0,16.8,無,,49.0
松山區,房地(土地+建物),寧安街９巷４號四樓,44.98,住,,,1110807,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,,146.28,4,2,2,有,無,29500000,201668.0,,0.0,0,頂樓加蓋；,RPSOMLPLQHHGFDA38EA,146.28,0.0,0.0,無,,
信義區,房地(土地+建物),吳興街６００巷６０號五樓,12.5,住,,,1110806,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,1100503.0,50.709999999999994,1,1,1,有,有,17080000,336817.0,,0.0,0,,RPTNMLOLQHHGFDA18DA,27.08,1.53,2.29,有,,1.0
內湖區,房地(土地+建物),麗山街６２巷１８弄７號四樓,41.21,住,,,1110804,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,661209.0,95.04,3,2,1,有,無,14520000,152778.0,,0.0,0,頂樓加蓋；,RPXOMLQKOHHGFCA58EA,82.12,0.0,12.92,無,,45.0
北投區,房地(土地+建物)+車位,石牌路二段３１３號十二樓,30.06,住,,,1110809,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,1101027.0,196.23,3,2,2,有,無,45750000,233145.0,坡道平面,42.89,0,,RPQNMLQLQHHGFEA18DA,92.46,3.07,9.71,有,,1.0
萬華區,房地(土地+建物)+車位,中華路二段４１６巷５２號十四樓,44.95,住,,,1110802,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,1020702.0,173.74,3,2,2,有,有,33600000,193392.0,坡道平面,0.0,0,,RPXNMLSKQHHGFBA68DA,95.98,0.0,11.66,有,88.0,9.0
文山區,房地(土地+建物)+車位,福興路１０６巷２８弄１號二樓之２,16.93,住,,,1110813,土地2建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,981202.0,110.91,2,2,1,有,有,15100000,176241.0,坡道平面,36.58,2000000,,RPXNMLTLQHHGFAA78DA,44.44,2.33,3.92,有,,13.0
松山區,房地(土地+建物),南京東路五段２５０巷２弄１２之１號,40.14,住,,,1110810,土地1建物1車位0,一層，平台,六層,華廈(10層含以下有電梯),住家用,650609.0,178.88,2,1,1,有,無,46500000,259951.0,,0.0,0,其他增建；,RPPQMLTLQHHGFDA58DA,178.88,0.0,0.0,有,90.0,46.0
內湖區,房地(土地+建物)+車位,新富街１６０號二樓,51.22,住,,,1110805,土地1建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),住家用,1010601.0,348.35,4,2,4,有,有,69000000,198077.0,坡道平面,0.0,0,,RPXOMLSKQHHGFCA88DA,161.97,2.0,18.6,有,,10.0
萬華區,房地(土地+建物),長順街１４巷１弄１９號四樓,20.64,住,,,1110812,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,561129.0,53.5,2,1,1,有,無,5100000,95327.0,,0.0,0,,RPUNMLTLQHHGFBA68EA,46.64,0.0,6.86,無,,55.0
南港區,房地(土地+建物),南深路３３號五樓之１０,12.84,住,,,1110821,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,880316.0,36.83,0,0,0,無,有,5650000,153408.0,,0.0,0,,RPPPMLLJQHHGFDA57EA,24.62,0.0,3.88,有,,23.0
內湖區,房地(土地+建物)+車位,民權東路六段４０９號三樓之２,24.11,住,,,1110807,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,940914.0,142.14999999999998,3,2,2,有,有,30800000,262134.0,坡道平面,34.19,2500000,,RPOPMLQLQHHGFCA97DA,69.3,0.0,7.22,有,,17.0
松山區,房地(土地+建物),民族東路６６８巷２弄１２號二樓,39.0,住,,,1110802,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,600615.0,103.25,2,2,2,有,無,18750000,181598.0,,0.0,0,,RPPNMLRLQHHGFDA08DA,88.82,0.0,14.43,無,92.0,51.0
